"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36016.4837574639","","","",
"Andorra","AND","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","866.70445306671","920.748143536978","920.106877255381","1020.07279107041","1076.46137755223","1222.76409923143","1258.73994429474","1497.88425632092","1604.19145658038","1695.1534360731","1927.1387671297","1946.19380603184","",
"Angola","AGO","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2737.7126065224","2710.88236930342","2499.27121121188","1864.20643151084","1908.13946046239","2086.34341992936","2296.46592460767","2453.63920529218","2579.23069145257","2626.33065426854","2684.77463506197","2770.24008509718","3093.70563264484","3205.84341849113","3525.263937929","4155.50302347808","4996.76653548488","6079.39017136304","6821.20299424074","6813.1030476225","6904.56260697824","7094.08430203827","7360.59859526429","7736.17468163313","",
"Albania","ALB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2843.94328072607","2081.34558154916","1987.55740279707","2243.9182859309","2497.06319390141","2906.14139466581","3248.51012672996","2985.97729281793","3423.17336949248","3847.15711084088","4249.08885750581","4693.91464411645","4918.87084278159","5322.75463799461","5815.92113441086","6365.68088362333","7181.09419201385","7659.17352668723","8769.11767025522","9345.09376150331","9297.49275289637","9640.13021649275","9666.72823816349","9930.94322639175","",
"Arab World","ARB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6468.09862296488","6366.2154742405","6720.91627424001","6968.31998151355","7167.41349524072","7307.01872160952","7641.58750057675","8017.24526411053","8410.98925182299","8654.23850476691","9085.57807227885","9320.0917131626","9395.8916312145","9699.9014760195","10670.889755825","11406.4752621799","12284.7409390039","13005.8611159133","13739.893442421","13851.7226420216","14418.2045812797","14792.7731714935","15673.0099935163","16006.5871276584","",
"United Arab Emirates","ARE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74292.1179328229","73296.879318739","73435.9185668332","72251.5741953732","74951.8199775883","77662.7205149382","79447.5256877047","82802.8460677315","79539.8914540398","78999.050519938","85641.1689503228","85818.2710064805","86712.0422857497","92074.3592085433","95455.1202400456","91102.6829095127","87766.147264222","78193.619487205","70133.1529753682","59291.1038381634","55764.8732505196","56376.7699227134","59845.2568174939","","",
"Argentina","ARG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2416.75880360594","2225.32802303042","1348.64811796835","1289.10530299811","1421.20390339313","1583.11874832464","1733.27095612295","1842.4197956479","2014.21181618526","2123.52204635736","2313.32032023682","2605.78615827305","3007.37895853632","3510.63694625266","3998.34446309027","4715.94103044422","5524.41541067862","6479.64380521236","7089.76750004565","6153.82967152114","6376.32621880003","6812.35195593287","7421.82329489282","7776.2860430691","",
"American Samoa","ASM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11097.8265433074","11604.3982892637","11776.8874191871","12426.499970659","13152.4107235358","12527.5598805977","13248.0571346004","13745.6273859105","14121.2427549376","14553.8558206109","15312.4895463018","14906.7855787062","15372.1477521814","16426.3231713619","17592.8433712148","19065.8463761301","22039.7279330081","24503.7182865403","24715.4436835715","21670.5772295669","20151.4931709097","19987.9241389288","20947.5499204627","21027.8266399337","",
"Australia","AUS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17357.6567413215","17807.9577933837","18200.8047529247","19141.2308228701","20066.216532507","20966.3071384641","22020.4206883911","22938.7963877894","24220.6392148085","25269.8234773227","26333.8858273582","27386.2180850096","28689.2659459317","29691.1542280732","31318.6234494447","32571.8201206212","34325.0175743595","36555.7775415274","37494.5933995015","40192.7267393892","39086.3272320122","41705.9898845551","43011.3698434674","43202.3676878115","",
"Austria","AUT","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19513.8789509736","20650.1753632122","21327.0604266954","21769.2297067551","22679.0925029236","23733.4618225785","24598.0109077179","25551.7236385648","26741.8916088306","27752.7177491225","29574.1665556106","29849.3743292163","31261.5516292637","32199.2739782206","33809.7507594333","34691.2089614866","37649.5289771786","39238.3031978469","41151.585043147","40633.3842153789","41804.2230606124","44028.7726180606","44872.6408238394","45079.0922111043","",
