sciname,name_verified,iucn_sid,iucn_category,popn_trend,popn_category,spp_group,id_no,iucn_subpop
Balaena mysticetus,TRUE,2468,NT,NA,NT,MARINE_MAMMALS,2467,Bering-Chukchi-Beaufort Sea
Balaena mysticetus,TRUE,2469,EN,Unknown,EN,MARINE_MAMMALS,2467,Okhotsk Sea
Balaena mysticetus,TRUE,2472,CR,Unknown,CR,MARINE_MAMMALS,2467,Svalbard-Barents Sea (Spitsbergen)
Chelonia mydas,TRUE,16285718,LC,Increasing,LC,REPTILES,16285718,Chelonia mydas Hawaiian
Delphinapterus leucas,TRUE,61442,CR,Decreasing,CR,MARINE_MAMMALS,6335,Cook Inlet
Delphinus delphis,TRUE,41762,EN,Decreasing,EN,MARINE_MAMMALS,6336,Mediterranean
Dermochelys coriacea,TRUE,46967807,CR,Decreasing,CR,REPTILES,6494,East Pacific
Dermochelys coriacea,TRUE,46967817,CR,Decreasing,CR,REPTILES,6494,West Pacific
Dermochelys coriacea,TRUE,46967827,LC,Increasing,LC,REPTILES,6494,Northwest Atlantic
Dermochelys coriacea,TRUE,46967838,CR,Increasing,CR,REPTILES,6494,Southwest Atlantic
Dermochelys coriacea,TRUE,46967848,DD,Unknown,DD,REPTILES,6494,Southeast Atlantic
Dermochelys coriacea,TRUE,46967863,CR,Decreasing,CR,REPTILES,6494,Southwest Indian
Dermochelys coriacea,TRUE,46967873,DD,Unknown,DD,REPTILES,6494,Northeast Indian
Eschrichtius robustus,TRUE,8099,CR,Increasing,CR,MARINE_MAMMALS,8097,Western
Orcaella brevirostris,TRUE,39428,CR,Unknown,VU,MARINE_MAMMALS,15419,Mahakam River
Orcaella brevirostris,TRUE,44187,CR,Decreasing,CR,MARINE_MAMMALS,15419,Malampaya Sound
Orcaella brevirostris,TRUE,44555,CR,Decreasing,VU,MARINE_MAMMALS,15419,Mekong River
Orcaella brevirostris,TRUE,44556,CR,Decreasing,VU,MARINE_MAMMALS,15419,Ayeyarwady River
Orcaella brevirostris,TRUE,44557,CR,Decreasing,VU,MARINE_MAMMALS,15419,Songkhla Lake
Phocoena phocoena,TRUE,17031,CR,Decreasing,CR,MARINE_MAMMALS,17027,Baltic Sea
Pontoporia blainvillei,TRUE,41761,VU,Decreasing,VU,MARINE_MAMMALS,17978,Rio Grande do Sul/Uruguay
Sousa chinensis,TRUE,133710,CR,Decreasing,CR,MARINE_MAMMALS,20424,Eastern Taiwan Strait
Tursiops truncatus,TRUE,194300,CR,Decreasing,CR,MARINE_MAMMALS,22563,Fiordland
Tursiops truncatus,TRUE,16369383,VU,Decreasing,VU,MARINE_MAMMALS,22563,Mediterranean
,,,,,,,,
,,,,,,,,
Caretta caretta,TRUE,84156809,CR,NA,NA,REPTILES,3897,Pacific South
Caretta caretta,TRUE,83652278,LC,NA,NA,REPTILES,3897,Pacific North
Caretta caretta,TRUE,83644804,VU,NA,NA,REPTILES,3897,Mediterranean
Caretta caretta,TRUE,84199475,NT,NA,NA,REPTILES,3897,Indian Southwest
Caretta caretta,TRUE,84189617,NT,NA,NA,REPTILES,3897,Indian Southeast
Caretta caretta,TRUE,84127873,CR,NA,NA,REPTILES,3897,Indian Northwest
Caretta caretta,TRUE,84126444,VU,NA,NA,REPTILES,3897,Indian Northeast
Caretta caretta,TRUE,84191235,LC,NA,NA,REPTILES,3897,Atlantic Southwest
Caretta caretta,TRUE,83776383,VU,NA,NA,REPTILES,3897,Atlantic Notheast
Caretta caretta,TRUE,84131194,LC,NA,NA,REPTILES,3897,Atlantic Northwest
