"year","maxDensity"
2003,2292.26624384483
2004,2176.90116577928
2005,2139.68968650356
2006,1768.82604182284
2007,2153.49784555217
2008,1901.73852857642
2009,2053.12945333298
2010,2061.26220616623
2011,2432.34812674154
2012,2637.14915830894
2013,2939.97605641785
2014,2752.89299238703
