Common.name,Scientific name,TaxonName,rfmo,TL,Taxonkey
pelagic thresher,Alopias pelagicus,Alopias pelagicus,iotc,6,#N/A
lanternfish,Electrona carlsbergi,Electrona carlsbergi,ccamlr,6,#N/A
striped-eye rockcod,Lepidonithothen kempi,Lepidonotothen kempi,ccamlr,6,#N/A
Danube sturgeon,Acipenser gueldenstaedtii,Acipenser gueldenstaedtii,gfcm,6,#N/A
Starry sturgeon,Acipenser stellatus,Acipenser stellatus,gfcm,6,#N/A
sturgeon,Acipenser sturio,Acipenser sturio,gfcm,6,#N/A
european eel,Anguilla anguilla,Anguilla anguilla anguilla,gfcm,6,#N/A
giant red shrimp,Aristaeomorpha foliacea,Aristaeomorpha foliacea,gfcm,6,#N/A
musky octopus,Eledone moschata,Eledone moschata,gfcm,6,#N/A
Beluga,Huso huso,Huso huso,gfcm,6,#N/A
red mullet,Mullus barbatus,Mullus barbatus,gfcm,6,#N/A
white skate,Raja alba,Raja alba,gfcm,6,#N/A
thorny skate,Amblyraja radiata,Amblyraja radiata,nafo,6,#N/A
shrimp,Shrimps and prawns,Natantian decapods,nafo,6,#N/A
Blurred lanternshark (deep water demersal sharks),Etmopterus bigelowi,Etmopterus bigelowi,seafo,6,#N/A
oreo dories,Allocyttus verrucosus,Allocyttus verrucosus,seafo,6,#N/A
horned octopus,Eledone cirrosa,Eledone cirrhosa,gfcm,6,690684
Squid,Bigfin reef squid,Sepioteuthis lessoniana,seafo,6,690670
Squid,Bigfin reef squid,Sepioteuthis lessoniana,sprfmo,6,690670
Squid,California market squid,Loligo opalescens,seafo,6,690658
Squid,California market squid,Loligo opalescens,sprfmo,6,690658
Squid,European Squid,Loligo vulgaris vulgaris,seafo,6,690601
Squid,European Squid,Loligo vulgaris vulgaris,sprfmo,6,690601
Squid,Veined Squid,Loligo forbesii,seafo,6,690595
Squid,Veined Squid,Loligo forbesii,sprfmo,6,690595
Squid,Neon flying squid,Ommastrephes bartramii,seafo,6,690470
Squid,Neon flying squid,Ommastrephes bartramii,sprfmo,6,690470
Squid,Wellington flying squid,Nototodarus sloanii,seafo,6,690430
Squid,Wellington flying squid,Nototodarus sloanii,sprfmo,6,690430
