TaxonKey,TaxonName,CommonName,TargetGrpNum,Description
600002,Oreochromis niloticus niloticus,Nile tilapia,14,Medium Benthopelagics (30 - 90 cm)
600003,Oreochromis mossambicus,Mozambique tilapia,14,Medium Benthopelagics (30 - 90 cm)
600029,Merlangius merlangus,Whiting,14,Medium Benthopelagics (30 - 90 cm)
600031,Micromesistius poutassou,Blue whiting,14,Medium Benthopelagics (30 - 90 cm)
600034,Pollachius pollachius,Pollack,15,Large Benthopelagics (>=90 cm)
600037,Ammodytes marinus,Lesser sand-eel,13,Small Benthopelagics (<30 cm)
600040,Argyropelecus affinis,Pacific hatchet fish,7,Small Bathypelagics (<30 cm)
600046,Bathylagus bericoides,Bathylagus bericoides,7,Small Bathypelagics (<30 cm)
600057,Chirolophis ascanii,Yarrells blenny,13,Small Benthopelagics (<30 cm)
600062,Cyclopterus lumpus,Lumpsucker,14,Medium Benthopelagics (30 - 90 cm)
600065,Echiodon drummondi,Echiodon drummondi,11,Medium Bathydemersals (30 - 90 cm)
600069,Gadus morhua,Atlantic cod,15,Large Benthopelagics (>=90 cm)
600076,Helicolenus dactylopterus,Blackbelly rosefish,11,Medium Bathydemersals (30 - 90 cm)
600080,Chanos chanos,Milkfish,15,Large Benthopelagics (>=90 cm)
600082,Labeo rohita,Rohu,15,Large Benthopelagics (>=90 cm)
600099,Alepisaurus ferox,Longnose lancetfish,9,Large Bathypelagics (>=90 cm)
600130,Argyropelecus aculeatus,Lovely hatchetfish,7,Small Bathypelagics (<30 cm)
600193,Paracaesio stonei,Cocoa snapper,8,Medium Bathypelagics (30 - 90 cm)
600204,Sarpa salpa,Salema,14,Medium Benthopelagics (30 - 90 cm)
600206,Pristipomoides macrophthalmus,Cardinal snapper,14,Medium Benthopelagics (30 - 90 cm)
600209,Pristipomoides sieboldii,Lavender jobfish,11,Medium Bathydemersals (30 - 90 cm)
600229,Pterothrissus belloci,Longfin bonefish,11,Medium Bathydemersals (30 - 90 cm)
600230,Alepocephalus bairdii,Bairds smooth-head,12,Large Bathydemersals (>=90 cm)
600236,Salmo salar,Atlantic salmon,15,Large Benthopelagics (>=90 cm)
