"rgn_id","rgn_nam","value","units","layer","year"
5,"New Caledonia",,"usd","gdp","1960"
5,"New Caledonia",,"usd","gdp","1961"
5,"New Caledonia",,"usd","gdp","1962"
5,"New Caledonia",,"usd","gdp","1963"
5,"New Caledonia",,"usd","gdp","1964"
5,"New Caledonia",159594493.548808,"usd","gdp","1965"
5,"New Caledonia",164206537.561675,"usd","gdp","1966"
5,"New Caledonia",180036768.87301,"usd","gdp","1967"
5,"New Caledonia",215507164.034258,"usd","gdp","1968"
5,"New Caledonia",263108834.536684,"usd","gdp","1969"
5,"New Caledonia",358815681.903216,"usd","gdp","1970"
5,"New Caledonia",413634335.270098,"usd","gdp","1971"
5,"New Caledonia",505892512.861927,"usd","gdp","1972"
5,"New Caledonia",542294864.812429,"usd","gdp","1973"
5,"New Caledonia",637400199.110489,"usd","gdp","1974"
5,"New Caledonia",816647865.83143,"usd","gdp","1975"
5,"New Caledonia",798310509.647433,"usd","gdp","1976"
5,"New Caledonia",837616756.533736,"usd","gdp","1977"
5,"New Caledonia",846007597.720396,"usd","gdp","1978"
5,"New Caledonia",1047225130.24333,"usd","gdp","1979"
5,"New Caledonia",1182457142.60648,"usd","gdp","1980"
5,"New Caledonia",972563810.230325,"usd","gdp","1981"
5,"New Caledonia",904619629.797272,"usd","gdp","1982"
5,"New Caledonia",823832940.450511,"usd","gdp","1983"
5,"New Caledonia",796018978.471302,"usd","gdp","1984"
5,"New Caledonia",854823821.723175,"usd","gdp","1985"
5,"New Caledonia",1201262517.87644,"usd","gdp","1986"
5,"New Caledonia",1488113532.28584,"usd","gdp","1987"
5,"New Caledonia",2072735787.31779,"usd","gdp","1988"
5,"New Caledonia",2185072798.33184,"usd","gdp","1989"
5,"New Caledonia",2529310103.83608,"usd","gdp","1990"
5,"New Caledonia",2653781596.46008,"usd","gdp","1991"
5,"New Caledonia",2923764926.39718,"usd","gdp","1992"
5,"New Caledonia",3070161471.04451,"usd","gdp","1993"
5,"New Caledonia",3038727617.03902,"usd","gdp","1994"
5,"New Caledonia",3628440274.67001,"usd","gdp","1995"
5,"New Caledonia",3606968433.92682,"usd","gdp","1996"
5,"New Caledonia",3291489840.57143,"usd","gdp","1997"
5,"New Caledonia",3158806480.26107,"usd","gdp","1998"
5,"New Caledonia",3056999988.09146,"usd","gdp","1999"
5,"New Caledonia",2682347064.36419,"usd","gdp","2000"
5,"New Caledonia",,"usd","gdp","2001"
5,"New Caledonia",,"usd","gdp","2002"
5,"New Caledonia",,"usd","gdp","2003"
5,"New Caledonia",,"usd","gdp","2004"
5,"New Caledonia",,"usd","gdp","2005"
5,"New Caledonia",,"usd","gdp","2006"
5,"New Caledonia",,"usd","gdp","2007"
5,"New Caledonia",,"usd","gdp","2008"
5,"New Caledonia",,"usd","gdp","2009"
5,"New Caledonia",,"usd","gdp","2010"
5,"New Caledonia",,"usd","gdp","2011"
5,"New Caledonia",,"usd","gdp","2012"
5,"New Caledonia",,"count","tlf","1960"
5,"New Caledonia",,"count","tlf","1961"
5,"New Caledonia",,"count","tlf","1962"
5,"New Caledonia",,"count","tlf","1963"
5,"New Caledonia",,"count","tlf","1964"
5,"New Caledonia",,"count","tlf","1965"
5,"New Caledonia",,"count","tlf","1966"
5,"New Caledonia",,"count","tlf","1967"
5,"New Caledonia",,"count","tlf","1968"
5,"New Caledonia",,"count","tlf","1969"
5,"New Caledonia",,"count","tlf","1970"
5,"New Caledonia",,"count","tlf","1971"
5,"New Caledonia",,"count","tlf","1972"
5,"New Caledonia",,"count","tlf","1973"
5,"New Caledonia",,"count","tlf","1974"
5,"New Caledonia",,"count","tlf","1975"
5,"New Caledonia",,"count","tlf","1976"
5,"New Caledonia",,"count","tlf","1977"
5,"New Caledonia",,"count","tlf","1978"
5,"New Caledonia",,"count","tlf","1979"
5,"New Caledonia",,"count","tlf","1980"
5,"New Caledonia",,"count","tlf","1981"
5,"New Caledonia",,"count","tlf","1982"
5,"New Caledonia",,"count","tlf","1983"
5,"New Caledonia",,"count","tlf","1984"
5,"New Caledonia",,"count","tlf","1985"
5,"New Caledonia",,"count","tlf","1986"
5,"New Caledonia",,"count","tlf","1987"
5,"New Caledonia",,"count","tlf","1988"
5,"New Caledonia",,"count","tlf","1989"
5,"New Caledonia",67866.5841158585,"count","tlf","1990"
5,"New Caledonia",70168.5303985288,"count","tlf","1991"
5,"New Caledonia",72818.0103939165,"count","tlf","1992"
5,"New Caledonia",75614.212949707,"count","tlf","1993"
