"region_id","dimension","score"
18,"trend",0
21,"trend",0.06
27,"trend",-0.1
31,"trend",0
34,"trend",-0.02
41,"trend",-0.18
47,"trend",-0.04
48,"trend",-0.07
51,"trend",-0.08
57,"trend",0
58,"trend",0.04
61,"trend",0.01
67,"trend",-0.02
71,"trend",0.07
77,"trend",0
81,"trend",-0.07
87,"trend",0.03
88,"trend",0.29
