"rgn_name","rgn_id","product","year","tonnes","usd","tonnes_orig","usd_orig","n_years","tonnes_peak","usd_peak","usd_peak_product_weight","usd_rel","tonnes_rel"
"Democratic Republic of the Congo",199,"ornamentals",1995,0.999999999999998,455.666666666667,,549,17,0.65,296.183333333333,1,1,1
"Democratic Republic of the Congo",199,"ornamentals",1996,0.999999999999999,431.75,,458,17,0.65,296.183333333333,1,1,1
"Democratic Republic of the Congo",199,"ornamentals",1997,0.999999999999999,358.25,,360,17,0.65,296.183333333333,1,1,1
"Democratic Republic of the Congo",199,"ornamentals",1998,0.999999999999999,320,,360,17,0.65,296.183333333333,1,1,1
"Democratic Republic of the Congo",199,"ornamentals",1999,1,261.75,,255,17,0.65,296.183333333333,1,0.883743177086264,1
"Democratic Republic of the Congo",199,"ornamentals",2000,1,238.75,,305,17,0.65,296.183333333333,1,0.806088571267796,1
"Democratic Republic of the Congo",199,"ornamentals",2001,1,247.5,,127,17,0.65,296.183333333333,1,0.835631084350909,1
"Democratic Republic of the Congo",199,"ornamentals",2002,1,228.25,,268,17,0.65,296.183333333333,1,0.77063755556806,1
"Democratic Republic of the Congo",199,"ornamentals",2003,1,261.25,,290,17,0.65,296.183333333333,1,0.882055033481515,1
"Democratic Republic of the Congo",199,"ornamentals",2004,1,261.25,,228,17,0.65,296.183333333333,1,0.882055033481515,1
"Democratic Republic of the Congo",199,"ornamentals",2005,1,260,,259,17,0.65,296.183333333333,1,0.877834674469642,1
"Democratic Republic of the Congo",199,"ornamentals",2006,1,268,,268,17,0.65,296.183333333333,1,0.904844972145631,1
"Democratic Republic of the Congo",199,"ornamentals",2007,1,275.5,,285,17,0.65,296.183333333333,1,0.93016712621687,1
"Democratic Republic of the Congo",199,"ornamentals",2008,1,280,,260,17,0.65,296.183333333333,1,0.945360418659614,1
"Democratic Republic of the Congo",199,"ornamentals",2009,1,268.75,,289,17,0.65,296.183333333333,1,0.907377187552754,1
"Democratic Republic of the Congo",199,"ornamentals",2010,1,271.666666666667,1,286,17,0.65,296.183333333333,1,0.917224691913792,1
"Democratic Republic of the Congo",199,"ornamentals",2011,1,263,1,240,17,0.65,296.183333333333,1,0.887963536098137,1
