"rgn_name","rgn_id","product","year","tonnes_orig","tonnes","usd_orig","usd","n_years","usd_ix0","usd_coef","tonnes_mdl","tonnes_ix0","tonnes_coef","usd_mdl","tonnes_rollmean","usd_rollmean","tonnes_peak","usd_peak","usd_peak_product_weight"
"New Caledonia",5,"ornamentals",1984,3,2,23,22.6666666666667,27,,,,,,,2,22.6666666666667,3.7375,102.05,0.104145936981758
"New Caledonia",5,"ornamentals",1985,0,2.75,0,32.5,27,,,,,,,2.75,32.5,3.7375,102.05,0.104145936981758
"New Caledonia",5,"ornamentals",1986,3,2,45,26.75,27,,,,,,,2,26.75,3.7375,102.05,0.104145936981758
"New Caledonia",5,"ornamentals",1987,5,2,62,26.75,27,,,,,,,2,26.75,3.7375,102.05,0.104145936981758
"New Caledonia",5,"ornamentals",1988,0,1.25,0,15.5,27,,,,,,,1.25,15.5,3.7375,102.05,0.104145936981758
"New Caledonia",5,"ornamentals",1989,0,0,0,0,27,,,,,,,0,0,3.7375,102.05,0.104145936981758
"New Caledonia",5,"ornamentals",1990,0,0,0,0,27,,,,,,,0,0,3.7375,102.05,0.104145936981758
"New Caledonia",5,"ornamentals",1991,0,0,0,0,27,,,,,,,0,0,3.7375,102.05,0.104145936981758
"New Caledonia",5,"ornamentals",1992,0,0,0,0,27,,,,,,,0,0,3.7375,102.05,0.104145936981758
"New Caledonia",5,"ornamentals",1993,0,0,0,0,27,,,,,,,0,0,3.7375,102.05,0.104145936981758
"New Caledonia",5,"ornamentals",1994,0,0,0,0,27,,,,,,,0,0,3.7375,102.05,0.104145936981758
"New Caledonia",5,"ornamentals",1995,0,1,0,32.75,27,,,,,,,1,32.75,3.7375,102.05,0.104145936981758
"New Caledonia",5,"ornamentals",1996,0,2.25,0,60.5,27,,,,,,,2.25,60.5,3.7375,102.05,0.104145936981758
"New Caledonia",5,"ornamentals",1997,4,2.5,131,65.5,27,,,,,,,2.5,65.5,3.7375,102.05,0.104145936981758
"New Caledonia",5,"ornamentals",1998,5,4.25,111,89.5,27,,,,,,,4.25,89.5,3.7375,102.05,0.104145936981758
"New Caledonia",5,"ornamentals",1999,1,5,20,84.75,27,,,,,,,5,84.75,3.7375,102.05,0.104145936981758
"New Caledonia",5,"ornamentals",2000,7,4.75,96,78.75,27,,,,,,,4.75,78.75,3.7375,102.05,0.104145936981758
"New Caledonia",5,"ornamentals",2001,7,5.75,112,100,27,,,,,,,5.75,100,3.7375,102.05,0.104145936981758
"New Caledonia",5,"ornamentals",2002,4,5.25,87,106,27,,,,,,,5.25,106,3.7375,102.05,0.104145936981758
"New Caledonia",5,"ornamentals",2003,5,4.5,105,104.5,27,,,,,,,4.5,104.5,3.7375,102.05,0.104145936981758
"New Caledonia",5,"ornamentals",2004,5,4.25,120,108,27,,,,,,,4.25,108,3.7375,102.05,0.104145936981758
"New Caledonia",5,"ornamentals",2005,4,4,106,110,27,,,,,,,4,110,3.7375,102.05,0.104145936981758
"New Caledonia",5,"ornamentals",2006,3,3.75,101,115.25,27,,,,,,,3.75,115.25,3.7375,102.05,0.104145936981758
"New Caledonia",5,"ornamentals",2007,4,3.5,113,121.75,27,,,,,,,3.5,121.75,3.7375,102.05,0.104145936981758
"New Caledonia",5,"ornamentals",2008,4,4.25,141,142,27,,,,,,,4.25,142,3.7375,102.05,0.104145936981758
"New Caledonia",5,"ornamentals",2009,3,4.33333333333333,132,151.666666666667,27,,,,,,,4.33333333333333,151.666666666667,3.7375,102.05,0.104145936981758
"New Caledonia",5,"ornamentals",2010,6,4.5,182,157,27,,,,,,,4.5,157,3.7375,102.05,0.104145936981758
"New Caledonia",5,"shells",1999,98,179,351,408.666666666667,12,,,,,,,179,408.666666666667,164.125,877.825,0.895854063018242
"New Caledonia",5,"shells",2000,96,153.75,333,366,12,,,,,,,153.75,366,164.125,877.825,0.895854063018242
"New Caledonia",5,"shells",2001,343,154.25,542,369.5,12,,,,,,,154.25,369.5,164.125,877.825,0.895854063018242
"New Caledonia",5,"shells",2002,78,160.25,238,407.25,12,,,,,,,160.25,407.25,164.125,877.825,0.895854063018242
"New Caledonia",5,"shells",2003,100,112.75,365,446.5,12,,,,,,,112.75,446.5,164.125,877.825,0.895854063018242
"New Caledonia",5,"shells",2004,120,140,484,669.25,12,,,,,,,140,669.25,164.125,877.825,0.895854063018242
"New Caledonia",5,"shells",2005,153,164.5,699,852.25,12,,,,,,,164.5,852.25,164.125,877.825,0.895854063018242
"New Caledonia",5,"shells",2006,187,184.25,1129,1012.25,12,,,,,,,184.25,1012.25,164.125,877.825,0.895854063018242
"New Caledonia",5,"shells",2007,198,215.25,1097,1211.5,12,,,,,,,215.25,1211.5,164.125,877.825,0.895854063018242
"New Caledonia",5,"shells",2008,199,225.5,1124,1230.5,12,,,,,,,225.5,1230.5,164.125,877.825,0.895854063018242
"New Caledonia",5,"shells",2009,277,234.666666666667,1496,1275,12,,,,,,,234.666666666667,1275,164.125,877.825,0.895854063018242
"New Caledonia",5,"shells",2010,228,252.5,1205,1350.5,12,,,,,,,252.5,1350.5,164.125,877.825,0.895854063018242
"Vanuatu",6,"corals",1998,25,24.3333333333333,34,29.3333333333333,13,,,,,,,24.3333333333333,29.3333333333333,30.875,67.6,0.1419795221843
"Vanuatu",6,"corals",1999,48,25.5,54,46.75,13,,,,,,,25.5,46.75,30.875,67.6,0.1419795221843
"Vanuatu",6,"corals",2000,0,34,0,52.5,13,,,,,,,34,52.5,30.875,67.6,0.1419795221843
"Vanuatu",6,"corals",2001,29,37.75,99,93.75,13,,,,,,,37.75,93.75,30.875,67.6,0.1419795221843
"Vanuatu",6,"corals",2002,59,46.75,57,104,13,,,,,,,46.75,104,30.875,67.6,0.1419795221843
"Vanuatu",6,"corals",2003,63,47.5,219,83,13,,,,,,,47.5,83,30.875,67.6,0.1419795221843
"Vanuatu",6,"corals",2004,36,32.75,41,68.75,13,,,,,,,32.75,68.75,30.875,67.6,0.1419795221843
"Vanuatu",6,"corals",2005,32,17,15,14,13,,,,,,,17,14,30.875,67.6,0.1419795221843
"Vanuatu",6,"corals",2006,0,8,0,3.75,13,,,,,,,8,3.75,30.875,67.6,0.1419795221843
"Vanuatu",6,"corals",2007,0,0,0,0,13,,,,,,,0,0,30.875,67.6,0.1419795221843
"Vanuatu",6,"corals",2008,0,0,0,0,13,,,,,,,0,0,30.875,67.6,0.1419795221843
"Vanuatu",6,"corals",2009,0,0,0,0,13,,,,,,,0,0,30.875,67.6,0.1419795221843
"Vanuatu",6,"corals",2010,0,0,0,0,13,,,,,,,0,0,30.875,67.6,0.1419795221843
"Vanuatu",6,"ornamentals",2003,,,366,501,8,,,,,,,,501,,325.65,0.683959044368601
"Vanuatu",6,"ornamentals",2004,,,475,375.75,8,,,,,,,,375.75,,325.65,0.683959044368601
"Vanuatu",6,"ornamentals",2005,,,662,284.25,8,,,,,,,,284.25,,325.65,0.683959044368601
"Vanuatu",6,"ornamentals",2006,,,0,165.5,8,,,,,,,,165.5,,325.65,0.683959044368601
"Vanuatu",6,"ornamentals",2007,,,0,0,8,,,,,,,,0,,325.65,0.683959044368601
"Vanuatu",6,"ornamentals",2008,,,0,0,8,,,,,,,,0,,325.65,0.683959044368601
"Vanuatu",6,"ornamentals",2009,,,0,0,8,,,,,,,,0,,325.65,0.683959044368601
"Vanuatu",6,"ornamentals",2010,,,0,0,8,,,,,,,,0,,325.65,0.683959044368601
"Vanuatu",6,"shells",2001,12,4,15,5,10,,,,,,,4,5,13.975,82.875,0.174061433447099
"Vanuatu",6,"shells",2002,0,3,0,3.75,10,,,,,,,3,3.75,13.975,82.875,0.174061433447099
"Vanuatu",6,"shells",2003,0,3,0,3.25,10,,,,,,,3,3.25,13.975,82.875,0.174061433447099
"Vanuatu",6,"shells",2004,0,5.75,0,17,10,,,,,,,5.75,17,13.975,82.875,0.174061433447099
"Vanuatu",6,"shells",2005,12,6.25,13,18.75,10,,,,,,,6.25,18.75,13.975,82.875,0.174061433447099
"Vanuatu",6,"shells",2006,11,8.75,55,25,10,,,,,,,8.75,25,13.975,82.875,0.174061433447099
"Vanuatu",6,"shells",2007,2,12.25,7,58.5,10,,,,,,,12.25,58.5,13.975,82.875,0.174061433447099
"Vanuatu",6,"shells",2008,10,13.75,25,71.75,10,,,,,,,13.75,71.75,13.975,82.875,0.174061433447099
"Vanuatu",6,"shells",2009,26,17.6666666666667,147,93.3333333333333,10,,,,,,,17.6666666666667,93.3333333333333,13.975,82.875,0.174061433447099
"Vanuatu",6,"shells",2010,17,21.5,108,127.5,10,,,,,,,21.5,127.5,13.975,82.875,0.174061433447099
"Solomon Islands",7,"corals",1998,391,266,1007,819.666666666667,13,,,,,,,266,819.666666666667,240.0125,540.6375,0.64190623191202
"Solomon Islands",7,"corals",1999,238,235.25,810,818,13,,,,,,,235.25,818,240.0125,540.6375,0.64190623191202
"Solomon Islands",7,"corals",2000,169,204,642,722.25,13,,,,,,,204,722.25,240.0125,540.6375,0.64190623191202
"Solomon Islands",7,"corals",2001,143,177.25,813,651.25,13,,,,,,,177.25,651.25,240.0125,540.6375,0.64190623191202
"Solomon Islands",7,"corals",2002,266,183.5,624,712.25,13,,,,,,,183.5,712.25,240.0125,540.6375,0.64190623191202
"Solomon Islands",7,"corals",2003,131,218.25,526,745.5,13,,,,,,,218.25,745.5,240.0125,540.6375,0.64190623191202
