"rgn_name","rgn_id","product","year","tonnes_eez2013","tonnes_2013a","tonnes_dif"
"New Caledonia",5,"seaweeds",2006,0,0.1,-0.1
"New Caledonia",5,"shells",2002,78,78.1,-0.0999999999999943
"New Caledonia",5,"shells",2003,100,100.1,-0.0999999999999943
"New Caledonia",5,"shells",2004,120,120.1,-0.0999999999999943
"New Caledonia",5,"shells",2005,153,153.1,-0.0999999999999943
"New Caledonia",5,"shells",2006,187,187.1,-0.0999999999999943
"New Caledonia",5,"shells",2007,198,198.1,-0.0999999999999943
"New Caledonia",5,"sponges",2003,0,0.1,-0.1
"New Caledonia",5,"sponges",2004,0,0.1,-0.1
"New Caledonia",5,"sponges",2006,0,0.1,-0.1
"New Caledonia",5,"sponges",2007,0,0.1,-0.1
"Vanuatu",6,"corals",2002,59,0.1,58.9
"Vanuatu",6,"corals",2003,63,0,63
"Vanuatu",6,"corals",2004,36,10,26
"Vanuatu",6,"corals",2005,32,0,32
"Vanuatu",6,"corals",2008,0,0.1,-0.1
"Vanuatu",6,"ornamentals",2009,0,13.1,-13.1
"Vanuatu",6,"shells",2004,0,0.1,-0.1
"Vanuatu",6,"shells",2008,10,0,10
"Vanuatu",6,"shells",2009,26,0,26
"Solomon Islands",7,"corals",2002,266,15,251
"Solomon Islands",7,"corals",2003,131,0,131
"Solomon Islands",7,"corals",2004,194,0,194
"Solomon Islands",7,"corals",2005,282,0,282
"Solomon Islands",7,"corals",2006,378,0,378
"Solomon Islands",7,"corals",2007,397,21,376
"Solomon Islands",7,"corals",2008,420,0,420
"Solomon Islands",7,"corals",2009,280,0,280
"Solomon Islands",7,"ornamentals",2008,69,0.1,68.9
"Solomon Islands",7,"ornamentals",2009,0,1,-1
"Solomon Islands",7,"seaweeds",2008,50,42,8
"Solomon Islands",7,"seaweeds",2009,150,147,3
"Palau",8,"corals",2003,0,1,-1
"Palau",8,"corals",2004,0,1,-1
"Palau",8,"corals",2005,55,0,55
"Palau",8,"corals",2006,14,11,3
"Palau",8,"corals",2007,1,0.1,0.9
"Palau",8,"corals",2008,96,0.1,95.9
"Palau",8,"corals",2009,0,0.1,-0.1
"Micronesia",9,"corals",2002,12,0,12
"Micronesia",9,"corals",2003,3,0,3
"Micronesia",9,"corals",2004,0,0.1,-0.1
"Micronesia",9,"corals",2005,40,12,28
"Micronesia",9,"corals",2006,151,11,140
"Micronesia",9,"corals",2007,24,2,22
"Micronesia",9,"corals",2008,15,0,15
"Micronesia",9,"corals",2009,2,0,2
"Micronesia",9,"ornamentals",2009,0,0.2,-0.2
"Marshall Islands",11,"corals",2002,7,0,7
"Marshall Islands",11,"corals",2003,12,0,12
"Marshall Islands",11,"corals",2004,18,0,18
"Marshall Islands",11,"corals",2005,34,0,34
"Marshall Islands",11,"corals",2006,42,0,42
"Marshall Islands",11,"corals",2007,12,0,12
"Marshall Islands",11,"corals",2008,7,0.1,6.9
"Marshall Islands",11,"corals",2009,16,0,16
"Marshall Islands",11,"ornamentals",2009,0,31,-31
"Marshall Islands",11,"shells",2006,10,0,10
"Marshall Islands",11,"shells",2007,21,0,21
"Marshall Islands",11,"shells",2008,4,0,4
"Taiwan",14,"corals",2002,31,0,31
"Taiwan",14,"corals",2003,16,14,2
"Taiwan",14,"corals",2004,15,51,-36
"Taiwan",14,"corals",2005,19,35,-16
"Taiwan",14,"corals",2006,37,56,-19
"Taiwan",14,"corals",2007,27,6,21
"Taiwan",14,"corals",2008,24,36,-12
"Taiwan",14,"corals",2009,5,16,-11
"Taiwan",14,"ornamentals",2004,93,93.1,-0.0999999999999943
"Taiwan",14,"seaweeds",2004,682,682.1,-0.100000000000023
"Taiwan",14,"shells",2009,0,0.1,-0.1
"Philippines",15,"corals",2002,2196,0,2196
"Philippines",15,"corals",2003,3207,0,3207
