"rgn_name","rgn_id","product","commodity","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"Albania",82,"corals","Coral and the like",,,,,,,,,,,,,,,,,,,,,315,87,221,100,27,45,78,44,77,19,14,0,50,16,0,104
"Albania",82,"corals","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,315,87,221,100,27,45,78,44,77,19,14,0,50,16,0,104
"Albania",82,"ornamentals","Ornamental fish nei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,3,1,0,0
"Albania",82,"ornamentals","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,3,1,0,0
"Albania",82,"seaweeds","Other seaweeds and aquatic plants and products thereof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
"Albania",82,"seaweeds","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
"Algeria",84,"fish_oil","Fish liver oils, nei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
"Algeria",84,"fish_oil","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
"Algeria",84,"ornamentals","Ornamental fish nei",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0
"Algeria",84,"ornamentals","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0
"Algeria",84,"seaweeds","Other seaweeds and aquatic plants and products thereof",,,,,,,,,,,,,,,,,,,,,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Algeria",84,"seaweeds","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angola",200,"fish_oil","Fish body oils, nei",,,,,,,,,,,,,,,,,,,,,,,931,688,400,0,0,922,811,851,500,0,0,0,0,499
"Angola",200,"fish_oil","Fish liver oils, nei",,,,,,,,,,,,,,,,,,,,,,90,34,2,0,0,0,0,0,0,0,0,40,8,8,160
"Angola",200,"fish_oil","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,90,965,690,400,0,0,922,811,851,500,0,40,8,8,659
"Angola",200,"ornamentals","Ornamental fish nei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
"Angola",200,"ornamentals","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
"Antigua and Barbuda",120,"ornamentals","Ornamental fish nei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Antigua and Barbuda",120,"ornamentals","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Argentina",172,"fish_oil","Fish body oils, nei",,,,,,,,,,,,,74,184,353,375,368,46,209,537,531,575,443,113,96,913,1249,1000,992,685,463,959,1543,1015,1243,1224
"Argentina",172,"fish_oil","Fish liver oils, nei",,,,,,,,,,,,1,6,0,1,0,1,1,1995,5,0,0,0,0,0,0,0,31,27,5,2,0,0,0,0,0
"Argentina",172,"fish_oil","Hake liver oil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23,0,0,0,0,0
"Argentina",172,"fish_oil","Z_TOTAL",,,,,,,,,,,,1,80,184,354,375,369,47,2204,542,531,575,443,113,96,913,1249,1031,1019,690,488,959,1543,1015,1243,1224
"Argentina",172,"ornamentals","Ornamental fish nei",,,,,,,,,,,,1,0,0,1,8,1,0,0,0,0,0,0,0,0,1,1,2,1,2,2,1,1,1,1,1
"Argentina",172,"ornamentals","Z_TOTAL",,,,,,,,,,,,1,0,0,1,8,1,0,0,0,0,0,0,0,0,1,1,2,1,2,2,1,1,1,1,1
"Argentina",172,"seaweeds","Agar agar nei",,,,,,,,,,,,,,,,,,,49,55,25,2,1,1,1,1,1,3,4,2,2,5,1,1,2,2
"Argentina",172,"seaweeds","Other seaweeds and aquatic plants and products thereof",,,,,,,,,,,,,,,,276,74,239,704,375,211,198,229,120,18,1,0,59,42,88,169,84,116,126,125,119
"Argentina",172,"seaweeds","Z_TOTAL",,,,,,,,,,,,,,,,276,74,239,753,430,236,200,230,121,19,2,1,62,46,90,171,89,117,127,127,121
"Argentina",172,"shells","Miscellaneous corals and shells",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,26,0,0,0,0,0,0,0,0
"Argentina",172,"shells","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,26,0,0,0,0,0,0,0,0
"Argentina",172,"sponges","Natural sponges nei",,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"Argentina",172,"sponges","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"Aruba",250,"seaweeds","Other seaweeds and aquatic plants and products thereof",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aruba",250,"seaweeds","Z_TOTAL",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Australia",16,"corals","Coral and the like",464,524,705,981,1505,663,739,613,535,468,0,0,0,0,1618,1420,1300,1369,1780,1188,894,902,1377,861,982,829,1412,941,782,707,1676,616,446,294,353,426
"Australia",16,"corals","Z_TOTAL",464,524,705,981,1505,663,739,613,535,468,0,0,0,0,1618,1420,1300,1369,1780,1188,894,902,1377,861,982,829,1412,941,782,707,1676,616,446,294,353,426
"Australia",16,"fish_oil","Fish body oils, nei",21,56,62,1,2,6,7,28,719,4,84,0,230,515,2,0,353,44,45,53,24,1,130,12,103,64,21,114,69,260,389,448,302,1517,1282,1555
"Australia",16,"fish_oil","Fish liver oils, nei",,,,,,,,,,,,,,18,27,79,132,282,526,200,244,219,219,173,143,105,68,129,110,61,52,68,59,69,98,113
"Australia",16,"fish_oil","Z_TOTAL",21,56,62,1,2,6,7,28,719,4,84,0,230,533,29,79,485,326,571,253,268,220,349,185,246,169,89,243,179,321,441,516,361,1586,1380,1668
"Australia",16,"ornamentals","Ornamental fish nei",,,,,,,,,,,,,,,,,,,166,172,377,324,131,167,179,191,80,52,56,8,20,5,1,8,48,48
"Australia",16,"ornamentals","Ornamental saltwater fish",,,,,,,,,,,,,,,,,,,,,,,,,,11,0,0,0,0,0,0,0,0,0,0
"Australia",16,"ornamentals","Z_TOTAL",,,,,,,,,,,,,,,,,,,166,172,377,324,131,167,179,202,80,52,56,8,20,5,1,8,48,48
"Australia",16,"seaweeds","Agar agar nei",,,,,,,,,,,,,,,,,,,,7,4,4,2,0,0,0,0,0,0,4,55,200,122,1,0,0
"Australia",16,"seaweeds","Other seaweeds and aquatic plants and products thereof",,,,,,,,,,,,,,,1551,2692,2138,3156,3000,3431,3126,3569,3400,3964,2700,3370,4430,1350,4150,5400,5420,3340,2690,1980,3240,2450
"Australia",16,"seaweeds","Z_TOTAL",,,,,,,,,,,,,,,1551,2692,2138,3156,3000,3438,3130,3573,3402,3964,2700,3370,4430,1350,4150,5404,5475,3540,2812,1981,3240,2450
"Australia",16,"shells","Mother of pearl shells",,,,,,,,,,,,,,,,,,,,,234,0,0,0,209,219,0,181,133,268,150,189,215,135,342,204
"Australia",16,"shells","Shells nei",366,451,538,331,496,395,312,259,233,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Australia",16,"shells","Z_TOTAL",366,451,538,331,496,395,312,259,233,184,0,0,0,0,0,0,0,0,0,0,234,0,0,0,209,219,0,181,133,268,150,189,215,135,342,204
"Australia",16,"sponges","Natural sponges raw",,,,,,,,,,,,,,,,,,,,11,7,51,9,26,0,0,225,639,128,45,11,2,4,9,16,10
"Australia",16,"sponges","Z_TOTAL",,,,,,,,,,,,,,,,,,,,11,7,51,9,26,0,0,225,639,128,45,11,2,4,9,16,10
"Azerbaijan",255,"fish_oil","Fish body oils, nei",,,,,,,,,,,,,,,,,,,,,,,,143,71,36,13,0,0,0,0,0,0,0,0,0
"Azerbaijan",255,"fish_oil","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,143,71,36,13,0,0,0,0,0,0,0,0,0
"Bahamas",110,"shells","Miscellaneous corals and shells",,,,,,,,,,,,,,,,,,,,,,,,,7,4,0,0,0,20,45,4,95,62,13,113
"Bahamas",110,"shells","Shells nei",,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,0,0,0,0,0,0,0,0,0
"Bahamas",110,"shells","Z_TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,9,8,0,0,0,20,45,4,95,62,13,113
"Bahamas",110,"sponges","Natural sponges nei",,,,,,,,,,,,,,,,,,,,90,73,66,96,97,84,67,8,3,31,23,50,31,26,0,0,0
"Bahamas",110,"sponges","Z_TOTAL",,,,,,,,,,,,,,,,,,,,90,73,66,96,97,84,67,8,3,31,23,50,31,26,0,0,0
"Bahrain",52,"fish_oil","Fish body oils, nei",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bahrain",52,"fish_oil","Z_TOTAL",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0
