"rgn_name","rgn_id","n_diffs_per_rgn"
"Algeria",84,2
"Argentina",172,7
"Aruba",250,1
"Australia",16,15
"Bangladesh",204,1
"Barbados",124,6
"Belgium",59,6
"Belize",164,2
"Bonaire",245,13
"Bosnia and Herzegovina",232,2
"Brazil",171,17
"Bulgaria",71,10
"Canada",218,8
"Cayman Islands",113,1
"Chile",224,8
"China",209,20
"Colombia",132,13
"Cook Islands",153,9
"Costa Rica",130,4
"Croatia",187,18
"Cuba",112,19
"Curacao",244,1
"Cyprus",81,2
"Denmark",175,6
"Djibouti",46,2
"Dominica",123,4
"Dominican Republic",115,12
"Ecuador",137,7
"Egypt",214,8
"El Salvador",134,6
"Equatorial Guinea",104,2
"Eritrea",45,1
"Estonia",70,11
"Faeroe Islands",141,2
"Fiji",18,3
"Finland",174,25
"France",179,12
"French Guiana",169,5
"French Polynesia",147,11
"Gabon",198,3
"Gambia",65,2
"Georgia",74,3
"Germany",176,17
"Ghana",106,9
"Greece",80,16
"Greenland",145,9
"Guadeloupe and Martinique",140,2
"Guatemala",136,13
"Guinea",194,9
"Guinea Bissau",193,6
"Guyana",167,10
"Haiti",114,18
"Honduras",133,13
"Iceland",143,8
"India",203,20
"Indonesia",216,16
"Iran",191,6
"Ireland",181,10
"Israel",79,9
"Italy",184,9
"Ivory Coast",195,3
"Jamaica",166,10
"Japan",210,18
"Jordan",215,1
"Kenya",43,11
"Kiribati",212,7
"Kuwait",51,12
"Latvia",69,20
"Lebanon",78,12
"Liberia",97,2
"Libya",67,12
"Lithuania",189,11
"Madagascar",42,14
"Malaysia",206,15
"Maldives",39,11
"Marshall Islands",11,12
"Mauritius",37,19
"Mayotte",29,3
"Mexico",135,18
"Micronesia",9,9
"Montenegro",186,14
"Morocco",62,8
"Mozambique",41,5
"Namibia",101,15
"Netherlands",177,7
"New Caledonia",5,11
"New Zealand",162,10
"Nicaragua",131,8
"Nigeria",196,3
"North Korea",21,10
"Norway",223,14
"Oman",48,5
"Pakistan",53,9
"Palau",8,7
"Panama",129,1
"Papua New Guinea",17,13
"Peru",138,9
"Philippines",15,20
"Poland",178,9
"Portugal",183,9
"Romania",72,14
"Russia",73,10
"Saba",248,13
"Saint Helena",86,1
"Saint Lucia",122,4
"Saint Pierre and Miquelon",219,1
"Saint Vincent and the Grenadines",127,7
"Samoa",152,10
"Saudi Arabia",50,4
"Senegal",66,8
"Seychelles",31,3
"Sierra Leone",96,11
"Singapore",208,8
"Sint Eustatius",249,13
"Sint Maarten",220,13
"Slovenia",188,22
"Solomon Islands",7,12
"Somalia",44,9
"South Africa",102,20
"South Korea",20,12
"Spain",182,10
"Sri Lanka",40,32
"Sudan",49,8
"Suriname",168,12
"Sweden",222,14
"Syria",77,11
"Taiwan",14,11
"Tanzania",202,3
"Thailand",25,20
"Togo",98,1
"Tonga",155,4
"Trinidad and Tobago",126,12
"Tunisia",61,9
"Turkey",76,23
"Ukraine",75,7
"United Arab Emirates",54,6
"United States",163,8
"Uruguay",173,1
"Vanuatu",6,9
"Venezuela",139,14
"Vietnam",207,11
"Yemen",47,6
