"rgn_id","rgn_name","year","Ed","Ep","L","U","S_score","r1","r2","pcgdp","gaps"
92,"Amsterdam Island and Saint Paul Island",2013,NA,NA,NA,NA,NA,"Southern Islands","Southern Islands",NA,"EUSLG"
26,"Andaman and Nicobar",2013,NA,NA,NA,NA,NA,"Asia","South-Eastern Asia",NA,"EUSLG"
213,"Antarctica",2013,NA,NA,NA,NA,NA,NA,NA,NA,"EUSLG"
85,"Ascension",2013,NA,NA,NA,NA,NA,"Europe","Northern Europe",NA,"EUSLG"
55,"Azores",2013,NA,NA,NA,NA,NA,"Europe","Southern Europe",NA,"EUSLG"
34,"Bassas da India",2013,NA,NA,NA,NA,NA,"Africa","Eastern Africa",NA,"EUSLG"
245,"Bonaire",2013,NA,NA,NA,NA,NA,"Latin America and the Caribbean","Caribbean",NA,"EUSLG"
105,"Bouvet Island",2013,NA,NA,NA,NA,NA,"Southern Islands","Southern Islands",NA,"EUSLG"
38,"British Indian Ocean Territory",2013,NA,NA,NA,NA,NA,"Asia","Southern Asia",NA,"EUSLG"
58,"Canary Islands",2013,NA,NA,NA,NA,NA,"Europe","Southern Europe",NA,"EUSLG"
2,"Christmas Island",2013,NA,NA,NA,NA,NA,"Oceania","Australia and New Zealand",NA,"EUSLG"
107,"Clipperton Island",2013,NA,NA,NA,NA,NA,"Latin America and the Caribbean","Central America",NA,"EUSLG"
1,"Cocos Islands",2013,NA,NA,NA,NA,NA,"Oceania","Australia and New Zealand",NA,"EUSLG"
91,"Crozet Islands",2013,NA,NA,NA,NA,NA,"Southern Islands","Southern Islands",NA,"EUSLG"
169,"French Guiana",2013,NA,NA,NA,NA,NA,"Latin America and the Caribbean","South America",NA,"EUSLG"
30,"Glorioso Islands",2013,NA,NA,NA,NA,NA,"Africa","Eastern Africa",NA,"EUSLG"
140,"Guadeloupe and Martinique",2013,8201,0.0322573,NA,NA,NA,"Latin America and the Caribbean","Caribbean",NA,"_*S*G"
94,"Heard and McDonald Islands",2013,NA,NA,NA,NA,NA,"Southern Islands","Southern Islands",NA,"EUSLG"
158,"Howland Island and Baker Island",2013,NA,NA,NA,NA,NA,"Oceania","Micronesia",NA,"EUSLG"
35,"Ile Europa",2013,NA,NA,NA,NA,NA,"Africa","Eastern Africa",NA,"EUSLG"
36,"Ile Tromelin",2013,NA,NA,NA,NA,NA,"Africa","Eastern Africa",NA,"EUSLG"
144,"Jan Mayen",2013,NA,NA,NA,NA,NA,"Europe","Northern Europe",NA,"EUSLG"
149,"Jarvis Island",2013,NA,NA,NA,NA,NA,"Oceania","Micronesia",NA,"EUSLG"
159,"Johnston Atoll",2013,NA,NA,NA,NA,NA,"Oceania","Micronesia",NA,"EUSLG"
33,"Juan de Nova Island",2013,NA,NA,NA,NA,NA,"Africa","Eastern Africa",NA,"EUSLG"
93,"Kerguelen Islands",2013,NA,NA,NA,NA,NA,"Southern Islands","Southern Islands",NA,"EUSLG"
148,"Line Group",2013,NA,NA,NA,NA,NA,"Oceania","Micronesia",NA,"EUSLG"
4,"Macquarie Island",2013,NA,NA,NA,NA,NA,"Oceania","Australia and New Zealand",NA,"EUSLG"
57,"Madeira",2013,NA,NA,NA,NA,NA,"Europe","Southern Europe",NA,"EUSLG"
29,"Mayotte",2013,NA,NA,NA,NA,NA,"Africa","Eastern Africa",NA,"EUSLG"
3,"Norfolk Island",2013,NA,NA,NA,NA,NA,"Oceania","Australia and New Zealand",NA,"EUSLG"
237,"Oecussi Ambeno",2013,NA,NA,NA,NA,NA,"Asia","South-Eastern Asia",NA,"EUSLG"
150,"Palmyra Atoll",2013,NA,NA,NA,NA,NA,"Oceania","Micronesia",NA,"EUSLG"
157,"Phoenix Group",2013,NA,NA,NA,NA,NA,"Oceania","Micronesia",NA,"EUSLG"
146,"Pitcairn",2013,NA,NA,NA,NA,NA,"Oceania","Polynesia",NA,"EUSLG"
90,"Prince Edward Islands",2013,NA,NA,NA,NA,NA,"Southern Islands","Southern Islands",NA,"EUSLG"
32,"R_union",2013,7707,0.0316117,NA,NA,NA,"Africa","Eastern Africa",NA,"_*S*G"
248,"Saba",2013,NA,NA,NA,NA,NA,"Latin America and the Caribbean","Caribbean",NA,"EUSLG"
86,"Saint Helena",2013,NA,NA,NA,NA,NA,"Europe","Northern Europe",NA,"EUSLG"
249,"Sint Eustatius",2013,NA,NA,NA,NA,NA,"Latin America and the Caribbean","Caribbean",NA,"EUSLG"
89,"South Georgia and the South Sandwich Islands",2013,NA,NA,NA,NA,NA,"Southern Islands","Southern Islands",NA,"EUSLG"
88,"Tristan da Cunha",2013,NA,NA,NA,NA,NA,"Europe","Northern Europe",NA,"EUSLG"
12,"Wake Island",2013,NA,NA,NA,NA,NA,"Oceania","Micronesia",NA,"EUSLG"
