"rgn_id","year","Ed","L","U","S_score","rgn_label","E","S","Xtr","gaps","r1","r2"
6,2013,10688,112624,NA,NA,"Vanuatu",NA,NA,NA,"_US_","Oceania","Melanesia"
7,2013,7227,222614,0.038,NA,"Solomon Islands",0.0337466,NA,NA,"__S_","Oceania","Melanesia"
14,2013,264419,NA,NA,4.35,"Taiwan",NA,0.67,NA,"_U_L","Asia","Eastern Asia"
17,2013,17922,3.28117e+06,0.021,NA,"Papua New Guinea",0.00557924,NA,NA,"__S_","Oceania","Melanesia"
18,2013,41518,344739,0.081,NA,"Fiji",0.131048,NA,NA,"__S_","Oceania","Melanesia"
28,2013,3393,245166,0.065,NA,"Comoro Islands",0.0148017,NA,NA,"__S_","Africa","Eastern Africa"
31,2013,10444,NA,NA,4,"Seychelles",NA,0.6,NA,"_U_L","Africa","Eastern Africa"
32,2013,7707,NA,NA,NA,"R_union",NA,NA,NA,"_USL","Africa","Eastern Africa"
39,2013,46626,164252,0.116,NA,"Maldives",0.321118,NA,NA,"__S_","Asia","Southern Asia"
67,2013,36413,2.3191e+06,0.196,NA,"Libya",0.019529,NA,NA,"__S_","Africa","Northern Africa"
75,2013,389179,2.31123e+07,0.079,NA,"Ukraine",0.018283,NA,NA,"__S_","Europe","Eastern Europe"
77,2013,129786,6.46538e+06,0.108,NA,"Syria",0.0225045,NA,NA,"__S_","Asia","Western Asia"
98,2013,24871,3.21108e+06,0.069,NA,"Togo",0.00831941,NA,NA,"__S_","Africa","Western Africa"
99,2013,44703,4.30774e+06,0.01,NA,"Benin",0.0104822,NA,NA,"__S_","Africa","Western Africa"
103,2013,5756,68848,NA,NA,"Sao Tome and Principe",NA,NA,NA,"_US_","Africa","Middle Africa"
108,2013,3672,NA,NA,NA,"Bermuda",NA,NA,NA,"_USL","Latin America and the Caribbean","Caribbean"
110,2013,50593,219996,0.136,NA,"Bahamas",0.266172,NA,NA,"__S_","Latin America and the Caribbean","Caribbean"
112,2013,122281,5.35175e+06,0.032,NA,"Cuba",0.0236041,NA,NA,"__S_","Latin America and the Caribbean","Caribbean"
113,2013,2941,NA,NA,NA,"Cayman Islands",NA,NA,NA,"_USL","Latin America and the Caribbean","Caribbean"
117,2013,3371,NA,NA,NA,"British Virgin Islands",NA,NA,NA,"_USL","Latin America and the Caribbean","Caribbean"
118,2013,1578,NA,NA,NA,"Anguilla",NA,NA,NA,"_USL","Latin America and the Caribbean","Caribbean"
119,2013,1528,NA,NA,NA,"Saint Kitts and Nevis",NA,NA,NA,"_USL","Latin America and the Caribbean","Caribbean"
120,2013,4956,NA,NA,NA,"Antigua and Barbuda",NA,NA,NA,"_USL","Latin America and the Caribbean","Caribbean"
122,2013,14330,95909,NA,NA,"Saint Lucia",NA,NA,NA,"_US_","Latin America and the Caribbean","Caribbean"
123,2013,2535,NA,NA,NA,"Dominica",NA,NA,NA,"_USL","Latin America and the Caribbean","Caribbean"
125,2013,2835,NA,NA,NA,"Grenada",NA,NA,NA,"_USL","Latin America and the Caribbean","Caribbean"
127,2013,2183,54770,NA,NA,"Saint Vincent and the Grenadines",NA,NA,NA,"_US_","Latin America and the Caribbean","Caribbean"
137,2013,119265,7.56201e+06,0.042,NA,"Ecuador",0.016463,NA,NA,"__S_","Latin America and the Caribbean","South America"
140,2013,8201,NA,NA,NA,"Guadeloupe and Martinique",NA,NA,NA,"_USL","Latin America and the Caribbean","Caribbean"
155,2013,1964,42263,NA,NA,"Tonga",NA,NA,NA,"_US_","Oceania","Polynesia"
164,2013,16656,144006,0.146,NA,"Belize",0.135435,NA,NA,"__S_","Latin America and the Caribbean","Central America"
192,2013,149107,8.4732e+06,0.16,NA,"Iraq",0.0209494,NA,NA,"__S_","Asia","Western Asia"
