"EEZID","FAOAreaID"
8,37
12,37
16,77
24,34
24,47
28,31
32,41
36,57
36,71
36,81
37,81
38,81
44,31
48,51
50,57
52,31
56,27
60,21
60,31
70,37
74,48
76,31
76,41
77,41
84,31
86,51
90,71
92,31
96,71
100,37
104,57
111,51
116,71
120,34
132,34
136,31
144,57
152,41
152,87
153,87
154,87
155,87
156,61
156,71
157,61
157,71
162,57
166,57
174,51
175,51
178,34
178,47
180,34
180,47
184,77
184,81
191,37
192,31
197,37
198,37
204,34
212,31
214,31
218,87
219,87
222,77
226,34
233,27
234,27
238,41
239,48
242,71
242,81
246,27
251,51
252,51
254,31
254,41
258,77
258,81
262,51
266,34
266,47
268,37
270,34
274,37
277,27
278,27
288,34
300,37
304,21
304,27
308,31
312,31
316,71
324,34
328,31
332,31
334,58
344,61
352,27
356,51
356,57
357,57
361,57
361,71
368,51
372,27
380,37
384,34
388,31
390,61
393,61
393,71
396,77
400,51
404,51
408,61
410,61
414,51
422,37
428,27
430,34
434,37
440,27
450,51
459,57
459,71
460,71
461,71
462,51
462,57
463,71
470,37
474,31
478,34
480,51
488,61
488,77
500,31
508,51
512,51
516,47
520,71
528,27
540,71
540,81
548,71
548,81
554,81
555,81
566,34
570,77
574,81
578,27
579,27
580,61
580,71
583,71
584,71
585,71
586,51
598,71
604,87
608,61
608,71
612,77
612,81
616,27
620,27
620,34
621,27
621,34
622,27
622,34
624,34
626,57
626,71
630,31
634,51
638,51
642,37
645,27
647,37
648,27
649,61
649,67
654,47
659,31
660,31
662,31
666,21
670,31
678,34
683,51
684,51
686,34
690,51
694,34
702,71
704,61
704,71
705,37
706,51
711,51
711,58
723,34
736,51
740,31
744,27
760,37
768,34
772,71
772,77
776,71
776,77
776,81
780,31
784,51
788,37
793,37
794,37
796,31
798,71
804,37
826,27
830,27
834,51
842,77
844,77
845,77
846,71
846,77
848,67
848,77
850,31
851,21
851,31
852,31
855,34
855,47
856,47
858,41
862,31
872,61
872,71
876,71
876,77
882,77
891,37
895,51
895,57
896,51
896,58
897,58
898,77
899,37
900,37
901,37
902,37
903,37
904,31
905,31
906,31
907,31
908,31
909,31
910,41
910,48
911,51
912,18
913,18
914,27
915,27
916,51
917,51
918,37
919,27
920,77
921,31
922,51
923,51
924,18
924,21
925,67
926,21
927,31
928,87
929,31
930,77
930,87
931,27
932,27
933,37
934,51
935,31
936,77
937,57
937,71
938,57
938,71
939,37
940,51
941,71
942,77
943,71
943,77
944,31
945,77
946,34
946,37
947,37
948,34
949,31
950,77
951,31
952,77
953,47
954,47
954,51
956,57
957,71
958,18
959,61
959,67
962,27
962,34
962,37
963,27
966,37
967,31
968,51
969,41
970,34
970,41
971,61
972,51
