loiczid,mean_cat_score,mean_pop_trend_score,n_cat_species,n_trend_species,source
34969,0.3,-0.5,2,1,iucn
34970,0.3,-0.5,2,1,iucn
34971,0.3,-0.5,2,1,iucn
35688,0.3,-0.5,2,1,iucn
35689,0.3,-0.5,2,1,iucn
35690,0.3,-0.5,2,1,iucn
35691,0.3,-0.5,2,1,iucn
36406,0.3,-0.5,2,1,iucn
36407,0.3,-0.5,2,1,iucn
36408,0.3,-0.5,2,1,iucn
36409,0.3,-0.5,2,1,iucn
36410,0.3,-0.5,2,1,iucn
36411,0.3,-0.5,2,1,iucn
37125,0.3,-0.5,2,1,iucn
37126,0.3,-0.5,2,1,iucn
37127,0.3,-0.5,2,1,iucn
37128,0.3,-0.5,2,1,iucn
37129,0.3,-0.5,2,1,iucn
37842,0.3,-0.5,2,1,iucn
37843,0.3,-0.5,2,1,iucn
37844,0.3,-0.5,2,1,iucn
37845,0.3,-0.5,2,1,iucn
37846,0.3,-0.5,2,1,iucn
37847,0.3,-0.5,2,1,iucn
38560,0.3,-0.5,2,1,iucn
38561,0.3,-0.5,2,1,iucn
38562,0.3,-0.5,2,1,iucn
38563,0.3,-0.5,2,1,iucn
38564,0.3,-0.5,2,1,iucn
38565,0.3,-0.5,2,1,iucn
39280,0.3,-0.5,2,1,iucn
39281,0.3,-0.5,2,1,iucn
39282,0.3,-0.5,2,1,iucn
39283,0.3,-0.5,2,1,iucn
39999,0.3,-0.5,2,1,iucn
40000,0.3,-0.5,2,1,iucn
40001,0.3,-0.5,2,1,iucn
40002,0.3,-0.5,2,1,iucn
40003,0.3,-0.5,2,1,iucn
40719,0.3,-0.5,2,1,iucn
40720,0.3,-0.5,2,1,iucn
40721,0.3,-0.5,2,1,iucn
40722,0.3,-0.5,2,1,iucn
40723,0.3,-0.5,2,1,iucn
40724,0.3,-0.5,2,1,iucn
41439,0.3,-0.5,2,1,iucn
41440,0.3,-0.5,2,1,iucn
41441,0.3,-0.5,2,1,iucn
41442,0.3,-0.5,2,1,iucn
41443,0.3,-0.5,2,1,iucn
41444,0.3,-0.5,2,1,iucn
42159,0.2,-0.5,3,2,iucn
42160,0.2,-0.5,3,2,iucn
42161,0.2,-0.5,3,2,iucn
42162,0.2,-0.5,3,2,iucn
42163,0.2,-0.5,3,2,iucn
42164,0.2,-0.5,3,2,iucn
42175,0.3,-0.5,2,1,iucn
42176,0.3,-0.5,2,1,iucn
42879,0.2,-0.5,3,2,iucn
42880,0.2,-0.5,3,2,iucn
42881,0.2,-0.5,3,2,iucn
42882,0.2,-0.5,3,2,iucn
42883,0.2,-0.5,3,2,iucn
42884,0.2,-0.5,3,2,iucn
42885,0.2,-0.5,3,2,iucn
42886,0.2,-0.5,3,2,iucn
42887,0.3,-0.5,2,1,iucn
42889,0.3,-0.5,2,1,iucn
42890,0.3,-0.5,2,1,iucn
42891,0.3,-0.5,2,1,iucn
42892,0.3,-0.5,2,1,iucn
42893,0.3,-0.5,2,1,iucn
42894,0.3,-0.5,2,1,iucn
42895,0.3,-0.5,2,1,iucn
42896,0.3,-0.5,2,1,iucn
43599,0.2,-0.5,3,2,iucn
43600,0.2,-0.5,3,2,iucn
43601,0.2,-0.5,3,2,iucn
43602,0.2,-0.5,3,2,iucn
43603,0.2,-0.5,3,2,iucn
43604,0.2,-0.5,3,2,iucn
43605,0.2,-0.5,3,2,iucn
43606,0.2,-0.5,3,2,iucn
43607,0.3,-0.5,2,1,iucn
43608,0.3,-0.5,2,1,iucn
43609,0.3,-0.5,2,1,iucn
43610,0.3,-0.5,2,1,iucn
43611,0.3,-0.5,2,1,iucn
43612,0.3,-0.5,2,1,iucn
43613,0.3,-0.5,2,1,iucn
44321,0.2,-0.5,3,2,iucn
44322,0.2,-0.5,3,2,iucn
44323,0.2,-0.5,3,2,iucn
44324,0.2,-0.5,3,2,iucn
44325,0.2,-0.5,3,2,iucn
44326,0.3,-0.5,2,1,iucn
45041,0.2,-0.5,3,2,iucn
45042,0.2,-0.5,3,2,iucn
203402,0,-0.5,2,1,iucn
203403,0,-0.5,2,1,iucn
203404,0,-0.5,2,1,iucn
203405,0,-0.5,2,1,iucn
203406,0,NaN,1,0,iucn
203407,0,NaN,1,0,iucn
203408,0,NaN,1,0,iucn
203409,0,NaN,1,0,iucn
