Common name,Scientific name,Original,source,,
Krill,Euphausia superba,,http://www.nationalgeographic.com/sealab/antarctica/mission.html,,
Blue whale,Balaenoptera musculus,,http://www.nationalgeographic.com/sealab/antarctica/mission.html,,
Sei whale,Balaenoptera borealis,,http://www.nationalgeographic.com/sealab/antarctica/mission.html,,
fin whale,Balaenoptera physalus,,http://www.nationalgeographic.com/sealab/antarctica/mission.html,,
Humpback whale,Megaptera novaeangliae,,http://www.nationalgeographic.com/sealab/antarctica/mission.html,,
Minke whale,Balaenoptera bonaerensis,,http://www.nationalgeographic.com/sealab/antarctica/mission.html,,
southern right whale,Eubalaena australis,,http://www.nationalgeographic.com/sealab/antarctica/mission.html,,
Orca,Orcinus orca,,http://www.antarcticaxxi.com/sites-of-interest/,http://www.discoveringantarctica.org.uk/alevel_6_1.html,http://www.antarcticabound.com/whale_watching.asp
Emperor Penguin,Aptenodytes forsteri,,http://www.nationalgeographic.com/sealab/antarctica/mission.html,,
King penguin,Aptenodytes patagonicus,,http://www.antarctica.ac.uk/about_antarctica/wildlife/index.php,,
Adelie Penguin,Pygoscelis adeliae,,http://www.nationalgeographic.com/sealab/antarctica/mission.html,,
Gentoo penguin,Pygoscelis papua,,http://www.antarctica.ac.uk/about_antarctica/wildlife/index.php,,
Chinstrap penguin,Pygoscelis antarcticus,,http://www.antarctica.ac.uk/about_antarctica/wildlife/index.php,,
macaroni penguin,Eudyptes chrysolophus,Eudyptes chrysolopus,http://www.antarctica.ac.uk/about_antarctica/wildlife/index.php,,
Antarctic fur seal,Arctocephalus gazella,,http://www.nationalgeographic.com/sealab/antarctica/mission.html,,
Crabeater seal,Lobodon carcinophaga,Lobodon carcinophagus,http://www.nationalgeographic.com/sealab/antarctica/mission.html,,
Leopard seal,Hydrurga leptonyx,,http://www.nationalgeographic.com/sealab/antarctica/mission.html,,
Ross seal ,Ommatophoca rossii,,http://www.nationalgeographic.com/sealab/antarctica/mission.html,,
southern elephant seal ,Mirounga leonina,,http://www.nationalgeographic.com/sealab/antarctica/mission.html,,
Weddell seal,Leptonychotes weddellii,,http://www.nationalgeographic.com/sealab/antarctica/mission.html,,
Polar Skua,Catharacta sp.,synonym for: South Polar skua ? Cut?,http://www.antarcticaxxi.com/sites-of-interest/,,
Wandering albatross,Diomedea exulans,,http://www.antarcticaxxi.com/sites-of-interest/,,
Black-browed Albatross,Thalassarche melanophrys,Thalassarche melanophris,http://www.antarcticaxxi.com/sites-of-interest/,,
Blue-eyed Shag,Phalacrocorax atriceps,Phalacrocorax bransfieldensis; often considered same species (http://en.wikipedia.org/wiki/Imperial_Shag; ahttp://avibase.bsc-eoc.org/species.jsp?avibaseid=89CBCA28F098E8A5),http://www.antarcticaxxi.com/sites-of-interest/,,
Snowy Sheathbill,Chionis albus,Chionis alba,http://www.antarcticaxxi.com/sites-of-interest/,,
Southern Giant Petrel,Macronectes giganteus,,http://www.antarcticaxxi.com/sites-of-interest/,,
Cape or Pintado Petrel,Daption capense,Dapion capense,http://www.antarcticaxxi.com/sites-of-interest/,,
South Polar skua,Stercorarius maccormicki,,http://www.antarcticaxxi.com/sites-of-interest/,,
Brown skua,Stercorarius lonnbergi,,http://www.antarcticaxxi.com/sites-of-interest/,,
Wilson's Storm Petrel,Oceanites oceanicus,,http://www.antarcticaxxi.com/sites-of-interest/,,
