"ECOREGION_ID","N","N_HARMFUL"
1,0,0
2,1,1
3,1,0
4,1,0
5,2,1
6,1,0
7,1,0
8,1,1
9,0,0
10,0,0
11,0,0
12,3,1
13,1,1
14,3,1
15,0,0
16,0,0
17,0,0
18,1,1
19,1,1
20,3,2
21,11,8
22,11,8
23,3,3
24,46,31
25,77,51
26,51,35
27,43,28
28,9,6
29,21,12
30,38,29
31,62,32
32,74,37
33,20,13
34,32,19
35,66,44
36,14,9
37,8,5
38,6,4
39,11,7
40,22,14
41,50,28
42,24,14
43,31,21
44,23,15
45,2,1
46,2,2
47,2,0
48,8,2
49,10,4
50,8,2
51,18,6
52,11,5
53,4,1
54,17,12
55,28,19
56,62,40
57,65,44
58,92,58
59,49,35
60,12,7
61,12,8
62,5,1
63,5,1
64,10,5
65,14,6
66,16,9
67,12,8
68,9,5
69,11,6
70,45,23
71,4,2
72,3,0
73,1,0
74,4,2
75,7,4
76,6,2
77,0,0
78,0,0
79,1,1
80,8,6
81,6,6
82,4,4
83,3,3
84,2,2
85,5,4
86,5,4
87,7,2
88,4,2
89,2,2
90,3,1
91,3,1
92,4,2
93,3,2
94,5,4
95,5,3
96,2,2
97,1,1
98,4,2
99,2,1
100,2,1
101,3,1
102,2,1
103,7,2
104,8,4
105,2,1
106,2,1
107,6,2
108,3,2
109,3,1
110,2,1
111,3,1
112,7,2
113,12,4
114,2,0
115,4,2
116,3,2
117,7,5
118,4,2
119,2,1
120,2,0
121,11,4
122,0,0
123,4,2
124,3,3
125,2,2
126,3,2
127,4,2
128,2,1
129,2,1
130,2,1
131,7,5
132,5,3
133,5,3
134,1,1
135,1,1
136,1,1
137,7,3
138,3,3
139,4,2
140,4,3
141,5,3
142,11,5
143,12,5
144,8,4
145,7,3
146,2,2
147,5,4
148,3,2
149,5,3
150,8,3
151,1,1
152,74,30
153,1,1
154,1,1
155,1,1
156,0,0
157,0,0
158,1,1
159,0,0
160,1,1
161,4,4
162,1,1
163,0,0
164,1,0
165,0,0
166,5,2
167,4,2
168,7,3
169,1,1
170,6,3
171,2,1
172,1,0
173,1,0
174,1,0
175,3,2
176,6,3
177,5,3
178,4,3
179,1,1
180,18,7
181,11,6
182,14,6
183,9,4
184,7,3
185,5,3
186,5,3
187,8,7
188,4,2
189,0,0
190,6,5
191,5,3
192,12,7
193,8,4
194,0,0
195,1,0
196,27,16
197,16,9
198,0,0
199,23,12
200,11,3
201,0,0
202,10,4
203,13,7
204,42,22
205,42,22
206,32,16
207,23,14
208,9,3
209,18,9
210,7,4
211,25,10
212,0,0
213,0,0
214,1,1
215,0,0
216,0,0
217,1,1
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,1,1
224,0,0
225,0,0
226,0,0
227,1,1
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
