Total contribution to GDP,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),16.6937,19.7625,25.3777,40.8367,52.8868,56.9183,63.6461,90.8111,127.014,159.479,168.578,186.877,234.292,266.503,304.132,384.522,493.709,578.289,696.232,709.95,751.919,775.002,876.61,952.268,1051.95,1130.87,1222.12,1338.01,1447.41,1579.55,1726.55,1884.26,2052.48,2232.94,2417.62,2606.59,2807.85,3024.52
Percentage of GDP,4.80093,4.68259,4.57761,4.73671,4.92109,4.78416,4.279,4.52924,4.94211,5.73632,5.95578,5.771,5.68185,6.25474,6.72445,7.321,8.02894,7.64732,8.17668,7.57962,6.78802,7.74473,7.2842,6.57598,6.55359,6.63752,6.74793,6.89613,6.94387,7.04674,7.16965,7.28317,7.38452,7.43761,7.4742,7.48445,7.48373,7.48139
US$ in bn (Nominal),2.82235,2.59739,2.83312,2.21063,2.42199,2.43809,1.81542,1.90529,2.31993,2.76359,2.86995,2.80705,3.11311,3.45144,3.81682,4.96831,6.85131,7.8919,9.58382,10.2457,11.6427,10.668,11.7846,13.0559,13.5673,14.2484,15.2179,15.7392,16.9424,18.3082,19.8163,21.4146,23.0981,24.8357,26.5754,28.3175,30.1472,32.0551
Percentage growth,-100,2.21661,-1.01821,2.23391,5.55499,-4.82658,-11.3639,9.92082,13.2621,17.3469,9.12225,0,2.19644,13.3853,13.5303,16.7099,14.386,0.866463,8.73992,-4.15038,-8.6526,16.0336,-2.56037,-7.37553,2.2149,4.11661,5.22037,5.77969,4.51868,5.43912,5.61031,5.44368,5.24454,5.11329,4.60943,4.17046,4.07838,4.07422
Local currency in bn,420.83,430.159,425.779,435.29,459.47,437.294,387.6,426.053,482.556,566.265,617.921,617.91,631.482,716.008,812.886,948.718,1085.2,1094.6,1190.27,1140.87,1042.16,1209.25,1178.29,1091.38,1115.56,1161.48,1222.11,1292.75,1351.16,1424.65,1504.58,1586.49,1669.69,1755.07,1835.97,1912.53,1990.53,2071.63
US$ in bn,5.24025,5.3564,5.30187,5.4203,5.7214,5.44525,4.82646,5.30528,6.00887,7.05122,7.69446,7.69432,7.86332,8.91585,10.1222,11.8136,13.5131,13.6302,14.8214,14.2063,12.9771,15.0578,14.6722,13.5901,13.8911,14.4629,15.218,16.0975,16.8249,17.74,18.7353,19.7552,20.7913,21.8544,22.8617,23.8152,24.7865,25.7963
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0,0,0,0,0,0,0,0,0.02,0.04,0.101332,0.580221,2.57027,8.4761,19.5895,41.8491,75.8732,115.301,124.664,178.486,218.664,270.506,301.147,320.894,350.618,469.633,501.513,558.856,639.634,734.925,837.601,946.092,1058.94,1176.86,1307.55,1453.7,1618.44,1801.02
Percentage of GDP,1.14111,1.32311,1.40376,1.31122,1.05002,1.67998,2.38763,2.62424,2.35996,2.27165,4.00242,3.41496,2.88977,4.05708,3.93659,4.01922,4.59267,4.03184,3.71184,3.84934,3.46197,4.51696,3.97113,3.28109,3.15767,3.72416,3.55077,3.52155,3.5771,3.65789,3.71739,3.74774,3.74767,3.72457,3.70408,3.68875,3.67595,3.66315
