"rgn_id","rgn_mean_cat","rgn_mean_trend","status"
1,0.0966746,-0.26662,0.8711
2,0.100991,-0.276642,0.865345
3,0.112741,-0.187785,0.849679
4,0.15876,0.193644,0.78832
5,0.0943895,-0.236698,0.874147
6,0.089394,-0.246375,0.880808
7,0.0926634,-0.263558,0.876449
8,0.102154,-0.273274,0.863795
9,0.108549,-0.287942,0.855269
10,0.105466,-0.285596,0.859378
11,0.105785,-0.31065,0.858953
12,0.121758,-0.265239,0.837655
13,0.116532,-0.28707,0.844624
14,0.0916627,-0.25142,0.877783
15,0.105592,-0.303285,0.85921
16,0.102225,-0.21647,0.8637
17,0.0931097,NaN,0.875854
18,0.100625,-0.253314,0.865833
19,0.103722,-0.305161,0.861704
20,0.115471,-0.222775,0.846038
21,0.130926,-0.178227,0.825432
24,0.096915,-0.34257,0.87078
25,0.0958814,-0.327435,0.872158
26,0.0948617,-0.290339,0.873518
28,0.100658,-0.259663,0.865789
29,0.0986028,-0.284829,0.86853
30,0.0911076,-0.296487,0.878523
31,0.0980614,-0.274441,0.869252
32,0.103758,-0.217111,0.861656
33,0.0927769,-0.259419,0.876297
34,0.107261,-0.218107,0.856986
35,0.108694,-0.24403,0.855075
36,0.106904,-0.22015,0.857462
37,0.103656,-0.221316,0.861793
38,0.0963799,-0.271681,0.871494
39,0.0894159,-0.277422,0.880779
40,0.092214,-0.273089,0.877048
41,0.0920402,-0.243967,0.87728
42,0.103334,-0.257693,0.862221
43,0.0930072,-0.239303,0.87599
44,0.0921384,-0.245938,0.877149
45,0.0754674,-0.275018,0.899377
46,0.0756546,-0.26205,0.899127
47,0.0948531,-0.255822,0.873529
48,0.0990165,-0.239491,0.867978
49,0.0767364,-0.272882,0.897685
50,0.0710973,-0.259544,0.905204
51,0.0512594,-0.205054,0.931654
52,0.0596772,-0.226873,0.92043
53,0.0937779,-0.246685,0.874963
54,0.0558203,-0.205561,0.925573
55,0.141942,-0.242095,0.810744
56,0.136192,-0.253584,0.81841
57,0.145005,-0.251111,0.806659
58,0.130872,-0.251235,0.825504
