Iconics
Hydrurga leptonyx
Leptonychotes weddellii
Lobodon carcinophaga
Mirounga leonina
Ommatophoca rossii
Eubalaena australis
Balaenoptera acutorostrata
Balaenoptera borealis
Balaenoptera musculus
Balaenoptera physalus
Megaptera novaeangliae
Lagenorhynchus cruciger
Physeter macrocephalus
Hyperoodon planifrons
Arctocephalus gazella
Ziphius cavirostris
Diomedea exulans
Stercorarius maccormicki
Phalacrocorax atriceps
Macronectes giganteus
Aptenodytes forsteri
Aptenodytes patagonicus
Carcharhinus perezi
Catharacta antarctica
Catharacta maccormicki
Chionis albus
Daption capense
Eudyptes chrysolophus
Lutrogale perspicillata
Oceanites oceanicus
Orcaella heinsohni
Pygoscelis adeliae
Pygoscelis antarcticus
Pygoscelis papua
Stercorarius lonnbergi
Thalassarche melanophrys
Ursus maritimus
Prionace glauca
Lamna nasus
Cetorhinus maximus
