rgn_type,type_w_ant,rgn_id,rgn_ant_id,rgn_name
eez,eez,1,1,Cocos Islands
eez,eez,10,10,Nauru
eez,eez,100,100,Republique du Congo
eez,eez,101,101,Namibia
eez,eez,102,102,South Africa
eez,eez,103,103,Sao Tome and Principe
eez,eez,104,104,Equatorial Guinea
eez,eez,105,105,Bouvet Island
eez,eez,106,106,Ghana
eez,eez,107,107,Clipperton Island
eez,eez,108,108,Bermuda
eez,eez,11,11,Marshall Islands
eez,eez,110,110,Bahamas
eez,eez,111,111,Turks and Caicos Islands
eez,eez,112,112,Cuba
eez,eez,113,113,Cayman Islands
eez,eez,114,114,Haiti
eez,eez,115,115,Dominican Republic
eez,eez,116,116,Puerto Rico and Virgin Islands of the United States
eez,eez,117,117,British Virgin Islands
eez,eez,118,118,Anguilla
eez,eez,119,119,Saint Kitts and Nevis
eez,eez,12,12,Wake Island
eez,eez,120,120,Antigua and Barbuda
eez,eez,121,121,Montserrat
eez,eez,122,122,Saint Lucia
eez,eez,123,123,Dominica
eez,eez,124,124,Barbados
eez,eez,125,125,Grenada
eez,eez,126,126,Trinidad and Tobago
eez,eez,127,127,Saint Vincent and the Grenadines
eez,eez,129,129,Panama
eez,eez,13,13,Northern Mariana Islands and Guam
eez,eez,130,130,Costa Rica
eez,eez,131,131,Nicaragua
eez,eez,132,132,Colombia
eez,eez,133,133,Honduras
eez,eez,134,134,El Salvador
eez,eez,135,135,Mexico
eez,eez,136,136,Guatemala
eez,eez,137,137,Ecuador
eez,eez,138,138,Peru
eez,eez,139,139,Venezuela
eez,eez,14,14,Taiwan
eez,eez,140,140,Guadeloupe and Martinique
eez,eez,141,141,Faeroe Islands
eez,eez,143,143,Iceland
eez,eez,144,144,Jan Mayen
eez,eez,145,145,Greenland
eez,eez,146,146,Pitcairn
eez,eez,147,147,French Polynesia
eez,eez,148,148,Line Islands (Kiribati)
eez,eez,149,149,Jarvis Island
eez,eez,15,15,Philippines
eez,eez,150,150,Palmyra Atoll
eez,eez,151,151,American Samoa
eez,eez,152,152,Samoa
eez,eez,153,153,Cook Islands
eez,eez,154,154,Niue
eez,eez,155,155,Tonga
eez,eez,156,156,Tokelau
eez,eez,157,157,Phoenix Islands (Kiribati)
eez,eez,158,158,Howland Island and Baker Island
eez,eez,159,159,Johnston Atoll
eez,eez,16,16,Australia
eez,eez,161,161,Wallis and Futuna
eez,eez,162,162,New Zealand
eez,eez,163,163,United States
eez,eez,164,164,Belize
eez,eez,166,166,Jamaica
eez,eez,167,167,Guyana
eez,eez,168,168,Suriname
eez,eez,169,169,French Guiana
eez,eez,17,17,Papua New Guinea
eez,eez,171,171,Brazil
eez,eez,172,172,Argentina
eez,eez,173,173,Uruguay
eez,eez,174,174,Finland
eez,eez,175,175,Denmark
eez,eez,176,176,Germany
eez,eez,177,177,Netherlands
eez,eez,178,178,Poland
eez,eez,179,179,France
eez,eez,18,18,Fiji
eez,eez,180,180,United Kingdom
eez,eez,181,181,Ireland
eez,eez,182,182,Spain
eez,eez,183,183,Portugal
eez,eez,184,184,Italy
eez,eez,185,185,Monaco
eez,eez,186,186,Montenegro
eez,eez,187,187,Croatia
eez,eez,188,188,Slovenia
eez,eez,189,189,Lithuania
eez,eez,19,19,Tuvalu
eez,eez,190,190,Qatar
eez,eez,191,191,Iran
eez,eez,192,192,Iraq
eez,eez,193,193,Guinea Bissau
eez,eez,194,194,Guinea
eez,eez,195,195,Ivory Coast
eez,eez,196,196,Nigeria
eez,eez,197,197,Cameroon
eez,eez,198,198,Gabon
eez,eez,199,199,Democratic Republic of the Congo
eez,eez,2,2,Christmas Island
eez,eez,20,20,South Korea
eez,eez,200,200,Angola
eez,eez,202,202,Tanzania
eez,eez,203,203,India
eez,eez,204,204,Bangladesh
eez,eez,205,205,Myanmar
eez,eez,206,206,Malaysia
eez,eez,207,207,Vietnam
eez,eez,208,208,Singapore
eez,eez,209,209,China
eez,eez,21,21,North Korea
eez,eez,210,210,Japan
eez,eez,212,212,Gilbert Islands (Kiribati)
eez,eez,214,214,Egypt
eez,eez,215,215,Jordan
eez,eez,216,216,Indonesia
eez,eez,218,218,Canada
eez,eez,219,219,Saint Pierre and Miquelon
eez,eez,220,220,Sint Maarten
eez,eez,221,221,Northern Saint-Martin
eez,eez,222,222,Sweden
eez,eez,223,223,Norway
eez,eez,224,224,Chile
eez,eez,227,227,Jersey
eez,eez,228,228,Guernsey
eez,eez,231,231,East Timor
eez,eez,232,232,Bosnia and Herzegovina
eez,eez,237,237,Oecussi Ambeno
eez,eez,24,24,Cambodia
eez,eez,244,244,Curacao
eez,eez,245,245,Bonaire
eez,eez,247,247,Brunei
eez,eez,248,248,Saba
eez,eez-ccamlr,213,248100,Antarctica
eez,eez-ccamlr,213,248200,Antarctica
eez,eez-ccamlr,213,248300,Antarctica
eez,eez-ccamlr,213,248400,Antarctica
