"sp_id","taxon_name","year","C_msy_assmt"
248100,"Euphausia superba",2007,0.201714516
248100,"Euphausia superba",2008,0.199916129
248100,"Euphausia superba",2009,0.316758065
248100,"Euphausia superba",2010,0.288920968
248100,"Euphausia superba",2011,0.253417742
248200,"Euphausia superba",2007,0.201714516
248200,"Euphausia superba",2008,0.199916129
248200,"Euphausia superba",2009,0.316758065
248200,"Euphausia superba",2010,0.288920968
248200,"Euphausia superba",2011,0.253417742
248300,"Euphausia superba",2007,0.201714516
248300,"Euphausia superba",2008,0.199916129
248300,"Euphausia superba",2009,0.316758065
248300,"Euphausia superba",2010,0.288920968
248300,"Euphausia superba",2011,0.253417742
248400,"Euphausia superba",2007,0.201714516
248400,"Euphausia superba",2008,0.199916129
248400,"Euphausia superba",2009,0.316758065
248400,"Euphausia superba",2010,0.288920968
248400,"Euphausia superba",2011,0.253417742
248600,"Euphausia superba",2007,0
248600,"Euphausia superba",2008,0
248600,"Euphausia superba",2009,0
248600,"Euphausia superba",2010,0
248600,"Euphausia superba",2011,0
288100,"Euphausia superba",2007,0
288100,"Euphausia superba",2008,0
288100,"Euphausia superba",2009,0
288100,"Euphausia superba",2010,0
288100,"Euphausia superba",2011,0
288300,"Euphausia superba",2007,0
288300,"Euphausia superba",2008,0
288300,"Euphausia superba",2009,0
288300,"Euphausia superba",2010,0
288300,"Euphausia superba",2011,0
258410,"Euphausia superba",2007,0
258410,"Euphausia superba",2008,0
258410,"Euphausia superba",2009,0
258410,"Euphausia superba",2010,0
258410,"Euphausia superba",2011,0
258420,"Euphausia superba",2007,0
258420,"Euphausia superba",2008,0
258420,"Euphausia superba",2009,0
258420,"Euphausia superba",2010,0
258420,"Euphausia superba",2011,0
