"sp_id","cellNum","rgn_id","sp_type","rgn_name","interpolated","prop_gap_filled"
0,7966465,16,"eez","Australia",200592.512309313,0.0251796138323978
1,538342,1,"eez","Cocos Islands",0,0
10,355667,10,"eez","Nauru",0,0
100,45646,100,"eez","Republique du Congo",1010.09099236131,0.0221287953459516
101,644292,101,"eez","Namibia",14732.6630992889,0.0228664380425163
1018,2941020,260,"fao","Arctic Sea",503245.065303355,0.171112425384171
102,1224631,102,"eez","South Africa",25035.787040174,0.0204435352691333
1021,3021297,261,"fao","Atlantic, Northwest",0,0
1027,6117147,262,"fao","Atlantic, Northeast",65396.4228019714,0.0106906737408749
103,151953,103,"eez","Sao Tome and Principe",0,0
1031,8438214,263,"fao","Atlantic, Western-Central",0,0
1034,10442703,264,"fao","Atlantic, Eastern Central",0,0
104,357711,104,"eez","Equatorial Guinea",0,0
1041,14702788,266,"fao","Atlantic, Southwest",0,0
1047,17183746,267,"fao","Atlantic, Southeast",0,0
105,504112,105,"eez","Bouvet Island",0,0
1051,19579327,269,"fao","Indian Ocean, Western",0,0
1057,25466753,270,"fao","Indian Ocean, Eastern",0,0
106,259681,106,"eez","Ghana",3714.61200833321,0.0143045198082771
1061,12320528,272,"fao","Pacific, Northwest",143585.267812699,0.0116541488978962
1067,5248335,273,"fao","Pacific, Northeast",19232.21100986,0.00366444043870295
107,496975,107,"eez","Clipperton Island",0,0
1071,7309252,274,"fao","Pacific, Western Central",44167.9878946245,0.00604275073490755
1077,35047439,275,"fao","Pacific, Eastern Central",0,0
108,517313,108,"eez","Bermuda",0,0
1081,23268238,276,"fao","Pacific, Southwest",10328.740021497,0.000443898675159546
1087,29756791,277,"fao","Pacific, Southeast",0,0
11,2295814,11,"eez","Marshall Islands",0,0
110,699746,110,"eez","Bahamas",69.4799986481667,9.92931701619826e-05
111,177814,111,"eez","Turks and Caicos Islands",0,0
112,546807,112,"eez","Cuba",4848.72505742311,0.00886734269572832
113,137314,113,"eez","Cayman Islands",0,0
114,143017,114,"eez","Haiti",2793.95594000816,0.0195358309851847
115,310292,115,"eez","Dominican Republic",1535.02696585655,0.00494704009725211
117,92424,117,"eez","British Virgin Islands",0,0
118,106194,118,"eez","Anguilla",0,0
119,12069,119,"eez","Saint Kitts and Nevis",0,0
12,468804,12,"eez","Wake Island",478.120010972023,0.00101987186750118
120,124760,120,"eez","Antigua and Barbuda",0,0
121,8851,121,"eez","Montserrat",0,0
122,18530,122,"eez","Saint Lucia",0,0
123,33797,123,"eez","Dominica",0,0
124,212388,124,"eez","Barbados",0,0
125,30526,125,"eez","Grenada",0,0
126,92770,126,"eez","Trinidad and Tobago",0,0
127,42281,127,"eez","Saint Vincent and the Grenadines",0,0
129,382738,129,"eez","Panama",15375.8010485768,0.0401731760331528
13,1119106,13,"eez","Northern Mariana Islands and Guam",0,0
130,659951,130,"eez","Costa Rica",5733.05897429585,0.00868709794256824
131,256505,131,"eez","Nicaragua",2569.00103962421,0.0100154033629918
132,838392,132,"eez","Colombia",7497.14603209496,0.00894229194946392
133,252333,133,"eez","Honduras",1629.72195369005,0.00645861601015346
134,108021,134,"eez","El Salvador",3742.96204760671,0.0346503184344406
135,3769365,135,"eez","Mexico",87085.611834079,0.0231035232284693
136,135515,136,"eez","Guatemala",4177.84898129106,0.0308294209592374
137,1248331,137,"eez","Ecuador",2912.82802021503,0.00233337794240072
138,954382,138,"eez","Peru",27528.0670263767,0.0288438665297299
139,544692,139,"eez","Venezuela",13651.8956987858,0.0250635142406824
14,416405,14,"eez","Taiwan",8640.97917985916,0.0207513818994949
141,307092,141,"eez","Faeroe Islands",0,0
143,979225,143,"eez","Iceland",5519.53707075119,0.005636638229979
144,333919,144,"eez","Jan Mayen",0,0
145,5058947,145,"eez","Greenland",123873.548465818,0.0244860340434122
146,961388,146,"eez","Pitcairn",0,0
147,5495863,147,"eez","French Polynesia",0,0
148,1897006,148,"eez","Line Group",0,0
149,365083,149,"eez","Jarvis Island",0,0
15,2443529,15,"eez","Philippines",17516.0882236958,0.00716835700484658
150,397349,150,"eez","Palmyra Atoll",0,0
151,466098,151,"eez","American Samoa",0,0
152,154829,152,"eez","Samoa",0,0
153,2259487,153,"eez","Cook Islands",0,0
154,364740,154,"eez","Niue",0,0
155,765910,155,"eez","Tonga",0,0
156,367891,156,"eez","Tokelau",0,0
157,856628,157,"eez","Phoenix Group",0,0
158,501415,158,"eez","Howland Island and Baker Island",0,0
159,509726,159,"eez","Johnston Atoll",0,0
161,301214,161,"eez","Wallis and Futuna",4125.90998917818,0.013697603661112
