RAM_species,SAUP_species
Carcharhinus acronotus,NA
Centroberyx gerrardi,NA
Chionoecetes bairdi,NA
Chrysophrys auratus,Pagrus auratus
Epinephelus flavolimbatus,Hyporthodus flavolimbatus
Epinephelus niveatus,Hyporthodus niveatus
Haliotis iris,NA
Hexagrammos decagrammus,NA
Lepidopsetta polyxystra,NA
Loligo pealeii,Doryteuthis pealeii
Loligo reynaudii,Doryteuthis reynaudii
Merluccius paradoxus,Merluccius capensis
Neoplatycephalus richardsoni,NA
Platycephalus conatus,NA
Raja rhina,NA
Reinhardtius stomias,Atheresthes stomias
Sardinella spp,NA
Scorpaena guttata,NA
Sebastes aleutianus,NA
Sebastes carnatus,NA
Sebastes chlorostictus,NA
Sebastes diploproa,NA
Sebastes elongatus,NA
Sebastes fasciatus,NA
Sebastes jordani,NA
Sebastes levis,NA
Sebastes melanostomus,NA
Sebastes mystinus,NA
Sebastes polyspinis,NA
Sebastes ruberrimus,NA
Sebastes spp,NA
Sebastes variabilis,NA
Sebastolobus altivelis,NA
Sillago flindersi,NA
Squalus suckleyi,Squalus acanthias
Tetrapturus albidus,Kajikia albida
