"x"
"Centroberyx gerrardi"
"Chionoecetes bairdi"
"Chrysophrys auratus"
"Epinephelus flavolimbatus"
"Epinephelus niveatus"
"Haliotis iris"
"Lepidopsetta polyxystra"
"Loligo pealeii"
"Loligo reynaudii"
"Merluccius paradoxus"
"Platycephalus conatus"
"Raja rhina"
"Reinhardtius stomias"
"Sardinella spp"
"Sebastes aleutianus"
"Sebastes chlorostictus"
"Sebastes diploproa"
"Sebastes elongatus"
"Sebastes fasciatus"
"Sebastes levis"
"Sebastes melanostomus"
"Sebastes mystinus"
"Sebastes polyspinis"
"Sebastes ruberrimus"
"Sebastes spp"
"Sebastes variabilis"
"Sebastolobus altivelis"
"Sillago flindersi"
"Squalus suckleyi"
"Tetrapturus albidus"
