"sp_id","sp_type","sp_name","sp_key","rgn_type","rgn_id","rgn_name","rgn_key","cntry_id12","rgn_id12","rgn_name12","Shape_Leng","Shape_Area","area_km2","mean"
1,"ccamlr","CCAMLR 48.1","XAQ481","eez",213,"Antarctica","ATA","ATA",162,"Antarctica",173.237698921,121.540147073,669951.889614,0.0936759987568518
2,"ccamlr","CCAMLR 48.2","XAQ482","eez",213,"Antarctica","ATA","ATA",163,"Antarctica",54.5363964785,114.924468896,695730.69854,0.0691275467787741
3,"ccamlr","CCAMLR 48.3","XAQ483","eez",213,"Antarctica","ATA","ATA",164,"Antarctica",68.0855611351,37.3506372052,281919.707604,0.0661337174245993
4,"ccamlr","CCAMLR 48.4","XAQ484","eez",213,"Antarctica","ATA","ATA",165,"Antarctica",60.7522866283,57.767082892,404149.034067,0.105594441611774
5,"ccamlr","CCAMLR 48.5","XAQ485","eez",213,"Antarctica","ATA","ATA",166,"Antarctica",319.208006196,719.065476285,2626411.9793,0.0794629190420646
6,"ccamlr","CCAMLR 48.6","XAQ486","eez",213,"Antarctica","ATA","ATA",167,"Antarctica",210.07070161,999.482777906,5981736.19483,0.0984468094928254
7,"ccamlr","CCAMLR 58.4.1","XAQ5841","eez",213,"Antarctica","ATA","ATA",173,"Antarctica",193.12017681,762.066732736,4594812.78323,0.140158349257927
8,"ccamlr","CCAMLR 58.4.2","XAQ5842","eez",213,"Antarctica","ATA","ATA",174,"Antarctica",155.168434725,302.10992336,1560771.13438,0.102778596742461
9,"ccamlr","CCAMLR 58.4.3.a","XAQ5843a","eez",213,"Antarctica","ATA","ATA",175,"Antarctica",37.8648230089,77.9801462734,498502.294076,0.0476900223387314
10,"ccamlr","CCAMLR 58.4.3.b","XAQ5843b","eez",213,"Antarctica","ATA","ATA",176,"Antarctica",43.2072205831,107.360471704,670903.58805,0.0940591561631909
11,"ccamlr","CCAMLR 58.4.4.a","XAQ5844a","eez",213,"Antarctica","ATA","ATA",177,"Antarctica",50.0625843245,155.093800333,1074440.14187,0.0445914027442606
12,"ccamlr","CCAMLR 58.4.4.b","XAQ5844b","eez",213,"Antarctica","ATA","ATA",178,"Antarctica",58.000000001,203.99999882,1414463.37647,0.0416561883104223
13,"ccamlr","CCAMLR 58.5.1","XAQ5851","eez",213,"Antarctica","ATA","ATA",179,"Antarctica",67.4763097901,62.0707692658,514945.423,0.109839015884419
14,"ccamlr","CCAMLR 58.5.2","XAQ5852","eez",213,"Antarctica","ATA","ATA",180,"Antarctica",47.9668055416,33.0784182878,242297.905794,0.056420650049599
15,"ccamlr","CCAMLR 58.6","XAQ586","eez",213,"Antarctica","ATA","ATA",168,"Antarctica",56.6110998314,39.8499246366,330593.840505,0.04708553404879
16,"ccamlr","CCAMLR 58.7","XAQ587","eez",213,"Antarctica","ATA","ATA",169,"Antarctica",21.1878007404,16.5504913367,138114.764789,-0.0104172248230836
17,"ccamlr","CCAMLR 88.1","XAQ881","eez",213,"Antarctica","ATA","ATA",170,"Antarctica",274.742391378,744.878924276,3024314.92591,0.111126852908052
18,"ccamlr","CCAMLR 88.2","XAQ882","eez",213,"Antarctica","ATA","ATA",171,"Antarctica",338.087276981,1160.5159482,4968313.24391,0.0316402694484584
19,"ccamlr","CCAMLR 88.3","XAQ883","eez",213,"Antarctica","ATA","ATA",172,"Antarctica",218.837330425,458.379537094,2247746.65729,0.045939556237081
20,"eez","Australia","AUS","eez",16,"Australia","AUS","AUS",12,"Australia",811.713459089,642.178840457,6931124.04227,0.156320908593605
21,"eez","Cocos Islands","CCK","eez",1,"Cocos Islands","CCK","CCK",1,"Australian Tropical Territories",23.0057340791,38.8078252101,467246.244443,0.13400149168012
22,"eez","Christmas Island","CXR","eez",2,"Christmas Island","CXR","CXR",1,"Australian Tropical Territories",19.888280286,27.1615810104,327999.950114,0.162716814509548
23,"eez","Norfolk Island","NFK","eez",3,"Norfolk Island","NFK","NFK",1,"Australian Tropical Territories",23.1373179941,39.9740076897,431137.891417,0.0606201147699394
24,"eez","Macquarie Island","AUS","eez",4,"Macquarie Island","AUS","Macquarie Island",2,"Australian Southern Ocean Territories",31.7338133462,66.6985867589,476361.337799,0.12869670591496
25,"eez","New Caledonia","NCL","eez",5,"New Caledonia","NCL","NCL",3,"New Caledonia",85.8778284552,119.364649597,1369630.95354,0.129930648931966
26,"eez","Vanuatu","VUT","eez",6,"Vanuatu","VUT","VUT",4,"Vanuatu",59.1003581758,52.4250204059,618645.279664,0.185400370917759
27,"eez","Solomon Islands","SLB","eez",7,"Solomon Islands","SLB","SLB",5,"Solomon Islands",144.930931183,131.955479962,1598288.42878,0.258222237902809
28,"eez","Palau","PLW","eez",8,"Palau","PLW","PLW",6,"Palau",33.3962107123,49.4282329133,604246.416393,0.284260566997344
29,"eez","Micronesia","FSM","eez",9,"Micronesia","FSM","FSM",7,"Micronesia",92.4272097077,245.115749966,2992384.37227,0.264181496096962
30,"eez","Nauru","NRU","eez",10,"Nauru","NRU","NRU",8,"Nauru",19.0413004348,25.074886619,308506.735695,0.15150457736539
31,"eez","Marshall Islands","MHL","eez",11,"Marshall Islands","MHL","MHL",9,"Marshall Islands",74.4187955351,164.636681564,1992076.81822,0.194200707177821
32,"eez","Wake Island","UMI","eez",12,"Wake Island","UMI","Wake Island",114,"USA Pacific Uninhabited Territories",21.6624513694,35.0531189451,407243.294146,0.0331756336085854
33,"eez","Northern Mariana Islands and Guam","MNP","eez",13,"Northern Mariana Islands and Guam","MNP","MNP|GUM",111,"USA Pacific Inhabited Territories",40.8302575025,82.576485358,970764.3168,0.154251585648998
34,"eez","Taiwan","TWN","eez",14,"Taiwan","TWN","TWN",10,"Taiwan",49.3872614557,29.7839531517,341307.694887,0.124472130904553
35,"eez","Philippines","PHL","eez",15,"Philippines","PHL","PHL",11,"Philippines",372.718334376,152.118713491,1823938.33298,0.210690765089233
36,"eez","Papua New Guinea","PNG","eez",17,"Papua New Guinea","PNG","PNG",13,"Papua New Guinea",258.13452963,195.850284564,2392629.59255,0.21572872772204
37,"eez","Fiji","FJI","eez",18,"Fiji","FJI","FJI",14,"Fiji",109.00554395,109.522557919,1281199.39228,0.182550511706345
38,"eez","Tuvalu","TUV","eez",19,"Tuvalu","TUV","TUV",15,"Tuvalu",51.21690315,61.7014342615,752093.996528,0.136092280633146
39,"eez","South Korea","KOR","eez",20,"South Korea","KOR","KOR",16,"South Korea",160.433444092,32.216458674,324396.358509,0.0818962400518832
40,"eez","North Korea","PRK","eez",21,"North Korea","PRK","PRK",17,"North Korea",55.9233714439,12.2121165408,115889.148586,0.0877303281917085
41,"eez","Cambodia","KHM","eez",24,"Cambodia","KHM","KHM",18,"Cambodia",17.7735491027,3.93326174421,47663.1162654,0.120395760730596
42,"eez","Thailand","THA","eez",25,"Thailand","THA","THA",19,"Thailand",85.1698268985,25.0962519522,304948.834299,0.119733768792897
