"zone","uv_2005_2009.2005_2009_mol_1km_rescaled","uv_2006_2010.2005_2009_mol_1km_rescaled","uv_2007_2011.2005_2009_mol_1km_rescaled","uv_2008_2012.2005_2009_mol_1km_rescaled","uv_2009_2013.2005_2009_mol_1km_rescaled","uv_2010_2014.2005_2009_mol_1km_rescaled","uv_2011_2015.2005_2009_mol_1km_rescaled","uv_2012_2016.2005_2009_mol_1km_rescaled"
1,0,0.0337851477429714,0.00338873707660524,0.0139259647304253,0.00319966834537408,0,1.16103887901232e-05,0.0199892709687234
2,0,0.0315684731752252,0,0.00117712228223238,0,0,0.00202707013720009,0.00715373390479702
3,0,0.020594764883083,0,0,0.00629635684951046,0.00101426633725718,0.00431626674632778,0.0666820965227205
4,0,0.0637018062670943,0.115758469658845,0.143149903345069,0.214150392132362,0.161592844268367,0.183969461206949,0.178842043710733
5,0,0.0229098415435765,9.08188477801814e-05,0.00012499532107806,0.0014162893279752,0.00390294617474339,0.01988660345222,0.220760205056009
6,0,0.0630458488436963,0.00562787869760261,0.000917740388961727,0.00353598021668526,0.00514619283142134,0.0316132697976404,0.382247244905177
7,0,0.0959676762782763,0.166822857813972,0.197590552390995,0.175334536029308,0.13447259626924,0.0859016607741927,0.153888037019475
8,0,0.0658039039974878,0.0687829396098045,0.0210086675184352,0.0187940773845569,0.0122078707686229,0.0195704504942667,0.119703393718263
9,0,0.100548648139863,0.107636517832551,0.0932956200260574,0.0915475343253245,0.0832841442341983,0.0431349818149342,0.130522231491391
10,0,0.0811965030903511,0.195909795427286,0.0697697959459117,0.0379461154491311,0.0323023154748125,0.0130856834716907,0.00422992099711038
11,0,0.016249639021998,0.0320244019192505,0.0513936438238044,0.0527628181327458,0.019648001174498,0.0146125396252646,0.0544086454013582
12,0,0.00160980788251247,0.0413114103666224,0.0323134209673684,0.0307326474584731,0.017347504951842,0.00385292063282136,0.100985402939037
13,0,0.0298150484524736,0.0289052534670337,0.0068428244903965,0.0170924340172454,0.00118854459645805,0.00459647296613447,0.0500943001359075
14,0,0.0512966507271874,0.0601111487723429,0.0236190433310878,0.0127050731944625,0.0182738384978775,0.0127469819336522,0.0449544143352807
15,0,0.113180646501001,0.11254006210307,0.0683456249533945,0.0407124138267159,0.0232070134384801,0.00255451132724888,0.0341361326751937
16,0,0.0333778193528181,0.0097111885425983,0.0156290597351503,0.0243632124811836,0.0192253272620141,0.0243764997601445,0.105766904655976
17,0,0.175516215252849,0.247282429243497,0.234127904452341,0.155542085338972,0.11172987267919,0.0700597374822408,0.1174813320368
18,0,0.0467045226903107,0.0072268932791526,0.0144849986014087,0.0160535669299458,0.00770075582285043,0.0321886383709724,0.234724027568258
19,0,0.00505173855709161,0.093234567660617,0.11445243129193,0.100483399849792,0.0749300220331961,0.0393735948406671,0.00762858303364045
20,0,0.00353548444386845,0.0141895625659247,0.0536611388909889,0.149555341956495,0.096434875686547,0.12137511594949,0.170204401100635
21,0,0.0139272859171062,0.0304091839800445,0.0429093628155184,0.0026892647379366,0.0110255225572547,0.0976475350580647,0.16614888537109
24,0,0.0752714578287035,0.0920968604648798,0.0252797962973132,0.0108445851815244,0,0,0
25,0,0.0620533450026122,0.0333068613580346,0.0413690555638181,0.0357226277233084,0.00421192007942228,0.000376105435367067,0.00136880450907039
26,0,0.0313107403408043,0.048722751894089,0.0592094866865074,0.0442369286640271,0.014807145302747,0.0073274689000676,0.00301678854972331
28,0,0.0419829114878186,0.0106724011612117,0,0,0,0,0.00254315682282254
29,0,0.00171472966574264,0,0,0,0,0,0.00916246412322762
30,0,0.0335997868371969,0,0,0,0,0,0
31,0,0.0376139738153096,0.0450535630155743,0.0123362895899566,0.0116525787933988,0.00370990554787955,0,7.79543222414539e-05
32,0,0.00835555727275543,0,0,0,0,0,0.00783418779359135
33,0,1.55150612457043e-06,0,0,0,0,0,0.0542825447803455
34,0,0.000213218600285403,0,0,0,0,0,0.0155993030888506
35,0,0,0,0,0,0,0,0.00203928875170037
36,0,0.0463299476287761,0.00198813380292995,0.00102363072668685,0.00939978032695539,0.00011780939100482,0.00059145486839059,0.0584209724616758
37,0,0.0479152225448565,0.0226247266402495,0.0149583539528153,0.033663881823684,0.0176129985517846,0.00267465762563026,0.0603216313224487
38,0,0.0176727326527593,0.0295701347560773,0.00829872339526134,0.0082072731444997,0.00310179775416603,0.000113907080808355,0.0136280499772035
39,0,0.00429755319153416,0.0657480554934442,0.034154377039937,0.0163791068765904,0.00206059689224248,0,0
40,0,0.00837324141246689,0.0393504388479489,0.0259593894950335,0.0181616990449882,0,0,0
41,0,0.0106816420684033,0.000179932602907657,1.62459721412039e-05,0.000752053127036564,3.24919442824078e-05,0.000587901116859816,0.0141362803526797
42,0,0.0212011870810405,0.00133384965182767,0.0015333345104492,0.00415572291563215,0.00172411193662408,0.00449083812826645,0.0435583462876547
43,0,0.0580528111047961,0.10844884248626,0.0104700039533932,0.00758714117766134,0,0,0
44,0,0.0111559038915601,0.020422294247329,0.000236224021859174,0.000619445639496508,0,0,0
45,0,2.78188879121368e-05,0,0.00109420959121072,0.00147254646681578,0,0,0
46,0,0,0,0,0.000398523366054199,0,0,0
47,0,0.000304456498617315,0.00274019712117989,0.00147730092888038,0.0042956729064738,0,0,0
48,0,0.011228030713069,0.00530675669854515,0.00840737009839306,0.0114955471601261,0.00109638035873248,0,0.00842147362676242
