Economy,Rank,Score,Change since past edition,,,,,,,
Switzerland,1,5.66,0,,,,,,,
Germany,2,5.39,0,,,,,,,
Austria,3,5.39,1,,,,,,,
Spain,4,5.38,4,,,,,,,
United Kingdom,5,5.38,2,,,,,,,
United States,6,5.32,0,,,,,,,
France,7,5.31,-4,,,,,,,
Canada,8,5.28,1,,,,,,,
Sweden,9,5.24,-4,,,,,,,
Singapore,10,5.23,0,,,,,,,
Australia,11,5.17,2,,,,,,,
New Zealand,12,5.17,7,,,,,,,
Netherlands,13,5.14,1,,,,,,,
Japan,14,5.13,8,,,,,,,
Hong Kong SAR,15,5.11,-3,,,,,,,
Iceland,16,5.10,-5,,,,,,,
Finland,17,5.10,0,,,,,,,
Belgium,18,5.04,5,,,,,,,
Ireland,19,5.01,2,,,,,,,
Portugal,20,5.01,-2,,,,,,,
Denmark,21,4.98,-5,,,,,,,
Norway,22,4.95,-2,,,,,,,
Luxembourg,23,4.93,-8,,,,,,,
Malta,24,4.92,2,,,,,,,
"Korea, Rep.",25,4.91,7,,,,,,,
Italy,26,4.90,1,,,,,,,
Barbados,27,4.88,1,,,,,,,
United Arab Emirates,28,4.86,2,,,,,,,
Cyprus,29,4.84,-5,,,,,,,
Estonia,30,4.82,-5,,,,,,,
Czech Republic,31,4.78,0,,,,,,,
Greece,32,4.75,-3,,,,,,,
"Taiwan, China",33,4.71,4,,,,,,,
Malaysia,34,4.70,1,,,,,,,
Croatia,35,4.59,-1,,,,,,,
Slovenia,36,4.58,-3,,,,,,,
Panama,37,4.54,19,,,,,,,
Seychelles,38,4.51,n/a,,,,,,,
Hungary,39,4.51,-1,,,,,,,
Montenegro,40,4.50,-4,,,,,,,
Qatar,41,4.49,1,,,,,,,
Poland,42,4.47,7,,,,,,,
Thailand,43,4.47,-2,,,,,,,
Mexico,44,4.46,-1,,,,,,,
China,45,4.45,-6,,,,,,,
Turkey,46,4.44,4,,,,,,,
Costa Rica,47,4.44,-3,,,,,,,
Latvia,48,4.43,3,,,,,,,
Lithuania,49,4.39,6,,,,,,,
Bulgaria,50,4.38,-2,,,,,,,
Brazil,51,4.37,1,,,,,,,
Puerto Rico,52,4.36,-7,,,,,,,
Israel,53,4.34,-7,,,,,,,
Slovak Republic,54,4.32,0,,,,,,,
Bahrain,55,4.30,-15,,,,,,,
Chile,56,4.29,1,,,,,,,
Oman,57,4.29,4,,,,,,,
Mauritius,58,4.28,-5,,,,,,,
Uruguay,59,4.23,-1,,,,,,,
Jordan,60,4.18,4,,,,,,,
Argentina,61,4.17,-1,,,,,,,
Saudi Arabia,62,4.17,0,,,,,,,
Russian Federation,63,4.16,-4,,,,,,,
South Africa,64,4.13,2,,,,,,,
India,65,4.11,3,,,,,,,
Georgia,66,4.10,7,,,,,,,
Jamaica,67,4.08,-2,,,,,,,
Romania,68,4.04,-5,,,,,,,
Lebanon,69,4.04,1,,,,,,,
Indonesia,70,4.03,4,,,,,,,
Morocco,71,4.03,7,,,,,,,
Brunei Darussalam,72,4.01,-5,,,,,,,
Peru,73,4.00,-4,,,,,,,
Sri Lanka,74,3.99,7,,,,,,,
"Macedonia, FYR",75,3.98,1,,,,,,,
Ukraine,76,3.98,9,,,,,,,
Albania,77,3.97,-6,,,,,,,
Azerbaijan,78,3.97,5,,,,,,,
Armenia,79,3.96,11,,,,,,,
Vietnam,80,3.95,0,,,,,,,
Ecuador,81,3.93,6,,,,,,,
Philippines,82,3.93,12,,,,,,,
Trinidad and Tobago,83,3.93,-4,,,,,,,
Colombia,84,3.90,-7,,,,,,,
Egypt,85,3.88,-10,,,,,,,
Dominican Republic,86,3.88,-14,,,,,,,
Cape Verde,87,3.87,2,,,,,,,
Kazakhstan,88,3.82,5,,,,,,,
Serbia,89,3.78,-7,,,,,,,
Bosnia and Herzegovina,90,3.78,7,,,,,,,
Namibia,91,3.77,-7,,,,,,,
"Gambia, The",92,3.73,0,,,,,,,
Honduras,93,3.72,-5,,,,,,,
Botswana,94,3.71,-3,,,,,,,
Nicaragua,95,3.67,5,,,,,,,
Kenya,96,3.66,7,,,,,,,
Guatemala,97,3.65,-11,,,,,,,
"Iran, Islamic Rep.",98,3.64,16,,,,,,,
Mongolia,99,3.63,2,,,,,,,
Suriname,100,3.63,n/a,,,,,,,
Kuwait,101,3.61,-6,,,,,,,
Moldova,102,3.60,-3,,,,,,,
Guyana,103,3.60,-5,,,,,,,
El Salvador,104,3.59,-8,,,,,,,
Rwanda,105,3.56,-3,,,,,,,
Cambodia,106,3.56,3,,,,,,,
Senegal,107,3.49,-3,,,,,,,
