"speciesid","probability","loiczid"
"Kew-293259",0.64,120760
"Kew-293259",0.96,120040
"Kew-293259",0.76,119320
"Kew-293259",0.66,118600
"Kew-293259",0.38,117875
"Kew-293259",0.14,117157
"Kew-293259",0.38,117158
"Kew-293259",0.77,117880
"Kew-293259",0.62,117159
"Kew-293259",0.51,117160
"Kew-293259",0.76,116437
"Kew-293259",0.52,116438
"Kew-293259",0.87,115718
"Kew-293259",0.34,116439
"Kew-293259",0.44,116440
"Kew-293259",0.87,115719
"Kew-293259",0.57,115720
"Kew-293259",1,121481
"Kew-293259",1,121482
"Kew-293259",0.92,121483
"Kew-293259",1,120761
"Kew-293259",1,120762
"Kew-293259",1,120041
"Kew-293259",0.92,120763
"Kew-293259",1,120764
"Kew-293259",1,120044
"Kew-293259",1,119324
"Kew-293259",1,118604
"Kew-293259",0.94,119325
"Kew-293259",1,117883
"Kew-293259",1,117884
"Kew-293259",1,117163
"Kew-293259",0.87,116441
"Kew-293259",1,116442
"Kew-293259",1,115721
"Kew-293259",1,115722
"Kew-293259",1,116443
"Kew-293259",0.97,128715
"Kew-293259",0.97,128716
"Kew-293259",0.97,129437
"Kew-293259",0.97,129438
"Kew-293259",0.97,128717
"Kew-293259",0.97,128718
"Kew-293259",0.42,129439
"Kew-293259",0.49,129440
"Kew-293259",0.46,128719
"Kew-293259",0.96,127995
"Kew-293259",0.96,127996
"Kew-293259",0.96,127275
"Kew-293259",0.96,127276
"Kew-293259",0.97,127997
"Kew-293259",0.69,127998
"Kew-293259",0.97,127277
"Kew-293259",0.89,127278
"Kew-293259",0.98,125831
"Kew-293259",0.98,125832
"Kew-293259",0.97,126553
"Kew-293259",0.97,126554
"Kew-293259",0.97,125833
"Kew-293259",0.96,126555
"Kew-293259",0.95,126556
"Kew-293259",0.96,125835
"Kew-293259",0.96,125836
"Kew-293259",0.96,126557
"Kew-293259",0.99,125111
"Kew-293259",0.97,124393
"Kew-293259",0.97,124394
"Kew-293259",0.97,125115
"Kew-293259",0.97,124395
"Kew-293259",1,123672
"Kew-293259",1,122951
"Kew-293259",1,122952
"Kew-293259",1,123673
"Kew-293259",0.36,122956
"Kew-293259",0.31,123677
"Kew-293259",0.37,122957
"Kew-293259",1,120068
"Kew-293259",1,119348
"Kew-293259",1,118627
"Kew-293259",1,118628
"Kew-293259",1,117186
"Kew-293259",1,117907
"Kew-293259",1,117908
"Kew-293259",1,117187
"Kew-293259",1,117188
"Kew-293259",1,116466
"Kew-293259",1,122231
"Kew-293259",1,122232
"Kew-293259",1,121511
"Kew-293259",1,121512
"Kew-293259",1,122233
"Kew-293259",1,122234
"Kew-293259",0.75,122235
"Kew-293259",0.38,122236
"Kew-293259",0.44,120799
"Kew-293259",0.2,120800
"Kew-293259",0.44,120079
"Kew-293259",0.44,120080
"Kew-293259",0.75,119357
"Kew-293259",0.75,119358
"Kew-293259",0.75,118637
"Kew-293259",0.75,118638
"Kew-293259",0.75,119359
"Kew-293259",0.75,119360
"Kew-293259",0.75,118639
"Kew-293259",1,117916
"Kew-293259",1,117196
"Kew-293259",1,117917
"Kew-293259",0.75,117918
"Kew-293259",1,117197
"Kew-293259",0.33,117919
"SLB-159390",0.84,117200
"Kew-308804",0.87,117200
