"","species","genus","family","order","class"
"1","Acanthurus achilles","Acanthurus","Acanthuridae","Perciformes","Actinopterygii"
"2","Acanthurus bahianus","Acanthurus","Acanthuridae","Perciformes","Actinopterygii"
"3","Acanthurus blochii","Acanthurus","Acanthuridae","Perciformes","Actinopterygii"
"4","Acanthurus dussumieri","Acanthurus","Acanthuridae","Perciformes","Actinopterygii"
"5","Acanthurus gahhm","Acanthurus","Acanthuridae","Perciformes","Actinopterygii"
"6","Acanthurus guttatus","Acanthurus","Acanthuridae","Perciformes","Actinopterygii"
"7","Acanthurus lineatus","Acanthurus","Acanthuridae","Perciformes","Actinopterygii"
"8","Acanthurus maculiceps","Acanthurus","Acanthuridae","Perciformes","Actinopterygii"
"9","Acanthurus mata","Acanthurus","Acanthuridae","Perciformes","Actinopterygii"
"10","Acanthurus monroviae","Acanthurus","Acanthuridae","Perciformes","Actinopterygii"
"11","Acanthurus nigricans","Acanthurus","Acanthuridae","Perciformes","Actinopterygii"
"12","Acanthurus nigricauda","Acanthurus","Acanthuridae","Perciformes","Actinopterygii"
"13","Acanthurus nigrofuscus","Acanthurus","Acanthuridae","Perciformes","Actinopterygii"
"14","Acanthurus nubilus","Acanthurus","Acanthuridae","Perciformes","Actinopterygii"
"15","Acanthurus olivaceus","Acanthurus","Acanthuridae","Perciformes","Actinopterygii"
"16","Acanthurus pyroferus","Acanthurus","Acanthuridae","Perciformes","Actinopterygii"
"17","Acanthurus sohal","Acanthurus","Acanthuridae","Perciformes","Actinopterygii"
"18","Acanthurus triostegus","Acanthurus","Acanthuridae","Perciformes","Actinopterygii"
"19","Acanthurus xanthopterus","Acanthurus","Acanthuridae","Perciformes","Actinopterygii"
"20","Ctenochaetus binotatus","Ctenochaetus","Acanthuridae","Perciformes","Actinopterygii"
"21","Ctenochaetus striatus","Ctenochaetus","Acanthuridae","Perciformes","Actinopterygii"
"22","Naso annulatus","Naso","Acanthuridae","Perciformes","Actinopterygii"
"23","Naso brachycentron","Naso","Acanthuridae","Perciformes","Actinopterygii"
"24","Naso brevirostris","Naso","Acanthuridae","Perciformes","Actinopterygii"
"25","Naso caesius","Naso","Acanthuridae","Perciformes","Actinopterygii"
"26","Naso hexacanthus","Naso","Acanthuridae","Perciformes","Actinopterygii"
"27","Naso lituratus","Naso","Acanthuridae","Perciformes","Actinopterygii"
"28","Naso thynnoides","Naso","Acanthuridae","Perciformes","Actinopterygii"
"29","Naso tuberosus","Naso","Acanthuridae","Perciformes","Actinopterygii"
"30","Naso unicornis","Naso","Acanthuridae","Perciformes","Actinopterygii"
"31","Naso vlamingii","Naso","Acanthuridae","Perciformes","Actinopterygii"
"32","Paracanthurus hepatus","Paracanthurus","Acanthuridae","Perciformes","Actinopterygii"
"33","Zebrasoma flavescens","Zebrasoma","Acanthuridae","Perciformes","Actinopterygii"
"34","Zebrasoma velifer","Zebrasoma","Acanthuridae","Perciformes","Actinopterygii"
"35","Achirus klunzingeri","Achirus","Achiridae","Pleuronectiformes","Actinopterygii"
"36","Trinectes maculatus","Trinectes","Achiridae","Pleuronectiformes","Actinopterygii"
"37","Trinectes paulistanus","Trinectes","Achiridae","Pleuronectiformes","Actinopterygii"
"38","Mancopsetta maculata","Mancopsetta","Achiropsettidae","Pleuronectiformes","Actinopterygii"
"39","Acipenser baerii","Acipenser","Acipenseridae","Acipenseriformes","Actinopterygii"
"40","Acipenser gueldenstaedtii","Acipenser","Acipenseridae","Acipenseriformes","Actinopterygii"
"41","Acipenser medirostris","Acipenser","Acipenseridae","Acipenseriformes","Actinopterygii"
"42","Acipenser ruthenus","Acipenser","Acipenseridae","Acipenseriformes","Actinopterygii"
"43","Acipenser stellatus","Acipenser","Acipenseridae","Acipenseriformes","Actinopterygii"
"44","Acipenser sturio","Acipenser","Acipenseridae","Acipenseriformes","Actinopterygii"
"45","Acipenser transmontanus","Acipenser","Acipenseridae","Acipenseriformes","Actinopterygii"
"46","Huso huso","Huso","Acipenseridae","Acipenseriformes","Actinopterygii"
"47","Doederleinia berycoides","Doederleinia","Acropomatidae","Perciformes","Actinopterygii"
"48","Synagrops japonicus","Synagrops","Acropomatidae","Perciformes","Actinopterygii"
"49","Agonus cataphractus","Agonus","Agonidae","Scorpaeniformes","Actinopterygii"
"50","Albula glossodonta","Albula","Albulidae","Albuliformes","Actinopterygii"
"51","Albula vulpes","Albula","Albulidae","Albuliformes","Actinopterygii"
"52","Pterothrissus belloci","Pterothrissus","Albulidae","Albuliformes","Actinopterygii"
"53","Alepisaurus ferox","Alepisaurus","Alepisauridae","Aulopiformes","Actinopterygii"
"54","Alepocephalus agassizii","Alepocephalus","Alepocephalidae","Osmeriformes","Actinopterygii"
"55","Alepocephalus bairdii","Alepocephalus","Alepocephalidae","Osmeriformes","Actinopterygii"
"56","Alepocephalus rostratus","Alepocephalus","Alepocephalidae","Osmeriformes","Actinopterygii"
"57","Alopias pelagicus","Alopias","Alopiidae","Lamniformes","Elasmobranchii"
"58","Alopias superciliosus","Alopias","Alopiidae","Lamniformes","Elasmobranchii"
"59","Alopias vulpinus","Alopias","Alopiidae","Lamniformes","Elasmobranchii"
"60","Ambassis buruensis","Ambassis","Ambassidae","Perciformes","Actinopterygii"
"61","Ammodytes americanus","Ammodytes","Ammodytidae","Perciformes","Actinopterygii"
"62","Ammodytes marinus","Ammodytes","Ammodytidae","Perciformes","Actinopterygii"
"63","Ammodytes personatus","Ammodytes","Ammodytidae","Perciformes","Actinopterygii"
"64","Anarhichas denticulatus","Anarhichas","Anarhichadidae","Perciformes","Actinopterygii"
"65","Anarhichas lupus","Anarhichas","Anarhichadidae","Perciformes","Actinopterygii"
"66","Anarhichas minor","Anarhichas","Anarhichadidae","Perciformes","Actinopterygii"
"67","Anguilla anguilla","Anguilla","Anguillidae","Anguilliformes","Actinopterygii"
"68","Anguilla japonica","Anguilla","Anguillidae","Anguilliformes","Actinopterygii"
"69","Anguilla rostrata","Anguilla","Anguillidae","Anguilliformes","Actinopterygii"
"70","Anomalops katoptron","Anomalops","Anomalopidae","Beryciformes","Actinopterygii"
"71","Anoplopoma fimbria","Anoplopoma","Anoplopomatidae","Scorpaeniformes","Actinopterygii"
"72","Erilepis zonifer","Erilepis","Anoplopomatidae","Scorpaeniformes","Actinopterygii"
"73","Antennatus coccineus","Antennatus","Antennariidae","Lophiiformes","Actinopterygii"
"74","Fowlerichthys ocellatus","Fowlerichthys","Antennariidae","Lophiiformes","Actinopterygii"
"75","Aplodactylus punctatus","Aplodactylus","Aplodactylidae","Perciformes","Actinopterygii"
"76","Apogon coccineus","Apogon","Apogonidae","Perciformes","Actinopterygii"
"77","Apogonichthys ocellatus","Apogonichthys","Apogonidae","Perciformes","Actinopterygii"
"78","Cheilodipterus artus","Cheilodipterus","Apogonidae","Perciformes","Actinopterygii"
"79","Cheilodipterus macrodon","Cheilodipterus","Apogonidae","Perciformes","Actinopterygii"
"80","Cheilodipterus quinquelineatus","Cheilodipterus","Apogonidae","Perciformes","Actinopterygii"
"81","Cheilodipterus singapurensis","Cheilodipterus","Apogonidae","Perciformes","Actinopterygii"
"82","Nectamia bandanensis","Nectamia","Apogonidae","Perciformes","Actinopterygii"
"83","Nectamia savayensis","Nectamia","Apogonidae","Perciformes","Actinopterygii"
"84","Sphaeramia orbicularis","Sphaeramia","Apogonidae","Perciformes","Actinopterygii"
"85","Zoramia gilberti","Zoramia","Apogonidae","Perciformes","Actinopterygii"
"86","Zoramia perlita","Zoramia","Apogonidae","Perciformes","Actinopterygii"
"87","Argentina silus","Argentina","Argentinidae","Osmeriformes","Actinopterygii"
"88","Argentina sphyraena","Argentina","Argentinidae","Osmeriformes","Actinopterygii"
"89","Glossanodon semifasciatus","Glossanodon","Argentinidae","Osmeriformes","Actinopterygii"
"90","Atlantoraja castelnaui","Atlantoraja","Arhynchobatidae","Rajiformes","Elasmobranchii"
"91","Atlantoraja cyclophora","Atlantoraja","Arhynchobatidae","Rajiformes","Elasmobranchii"
"92","Bathyraja brachyurops","Bathyraja","Arhynchobatidae","Rajiformes","Elasmobranchii"
"93","Bathyraja eatonii","Bathyraja","Arhynchobatidae","Rajiformes","Elasmobranchii"
"94","Bathyraja irrasa","Bathyraja","Arhynchobatidae","Rajiformes","Elasmobranchii"
"95","Bathyraja maccaini","Bathyraja","Arhynchobatidae","Rajiformes","Elasmobranchii"
"96","Bathyraja macloviana","Bathyraja","Arhynchobatidae","Rajiformes","Elasmobranchii"
"97","Bathyraja meridionalis","Bathyraja","Arhynchobatidae","Rajiformes","Elasmobranchii"
"98","Bathyraja murrayi","Bathyraja","Arhynchobatidae","Rajiformes","Elasmobranchii"
"99","Bathyraja spinicauda","Bathyraja","Arhynchobatidae","Rajiformes","Elasmobranchii"
"100","Rioraja agassizii","Rioraja","Arhynchobatidae","Rajiformes","Elasmobranchii"
"101","Sympterygia acuta","Sympterygia","Arhynchobatidae","Rajiformes","Elasmobranchii"
