"rgn_id","pop_total"
1,362
2,1056
3,2156
4,0
5,257813
6,251530
7,627147
8,23241
9,149315
10,15290
11,37108
12,0
13,296838
14,22689727
15,83689291
16,17474021
17,2885958
19,5845
20,44295032
21,19664219
24,1953990
25,27343509
26,418863
28,938036
29,254794
30,0
31,91361
32,809426
33,0
34,0
35,0
36,0
37,1255876
38,0
39,154529
40,15236848
41,9989022
42,7441902
43,2909898
44,6765427
45,1778507
46,671126
47,6780069
48,2811824
49,838235
50,4254813
51,2582282
52,745271
53,14957548
54,2279560
55,224869
56,520706
57,216795
58,1753662
59,5982193
60,169319
61,7655048
62,18163281
63,155823
64,1117895
65,1707670
66,8193791
67,4459463
68,404708
69,1487713
70,900728
71,1181821
72,1021854
73,1462078
74,1267848
75,7085117
76,36004901
77,4247449
78,4472644
79,10066903
80,10262484
81,840556
82,2654917
84,17519330
85,798
86,5560
88,296
89,0
90,0
91,0
92,0
93,0
94,0
95,2599
96,3183329
97,2333453
98,2584220
99,3626159
100,913958
101,165870
102,13430306
103,162510
104,357166
105,0
106,9362532
107,0
108,66323
110,337355
111,22425
112,11469581
113,51656
114,9447467
115,8933939
116,4394941
117,30798
118,85683
119,39259
120,66732
121,5173
122,162486
123,70016
124,276784
125,114447
126,1354372
127,111442
129,3410464
130,3549154
131,3859802
132,8392504
133,3892674
134,6917373
135,26006392
136,3985478
137,6551424
138,14232089
139,16902169
140,824074
141,50555
143,292153
144,0
145,57057
146,68
147,264123
148,7595
149,0
150,0
151,90885
152,167863
153,20032
154,1799
155,100885
156,1106
157,76
158,0
159,0
161,15209
162,3895992
163,110421327
164,255676
166,2820538
167,546429
168,406604
169,168450
171,77501820
172,16607445
173,2574565
174,3037993
175,5666727
176,9325759
177,13872736
178,3492028
179,18278196
180,46518527
181,4088366
182,21975496
183,8442864
184,35153580
185,185495
186,413144
187,1971837
188,903943
189,517321
190,659954
191,4060828
192,857065
193,1516122
194,2302175
195,6279000
196,28917185
197,2204975
198,889960
199,398816
200,4346069
202,7074701
203,191664760
204,37641405
205,21071669
206,28070553
207,59197698
208,5347620
209,275996636
210,117901014
212,78890
214,23244125
215,5442037
216,194838055
218,6729035
219,7340
220,81577
221,91014
222,6502518
223,4166992
224,6190673
227,80937
228,54873
231,843909
232,925007
237,138850
244,168369
245,15874
247,508938
248,1733
249,22469
250,136131
