"stock_id","TaxonName","fao_id"
"Acetes japonicus_57","Acetes japonicus","57"
"Alosa sapidissima_77","Alosa sapidissima","77"
"Argentina sphyraena_27","Argentina sphyraena","27"
"Auxis thazard thazard_27","Auxis thazard thazard","27"
"Boops boops_47","Boops boops","47"
"Cancer productus_31","Cancer productus","31"
"Cardium edule_37","Cardium edule","37"
"Cetengraulis mysticetus_31","Cetengraulis mysticetus","31"
"Cololabis saira_67","Cololabis saira","67"
"Crassostrea gigas_67","Crassostrea gigas","67"
"Dicologlossa cuneata_37","Dicologlossa cuneata","37"
"Eleginus gracilis_67","Eleginus gracilis","67"
"Genypterus capensis_51","Genypterus capensis","51"
"Haliotis midae_51","Haliotis midae","51"
"Helicolenus dactylopterus_51","Helicolenus dactylopterus","51"
"Hippoglossoides elassodon_61","Hippoglossoides elassodon","61"
"Hippoglossus stenolepis_31","Hippoglossus stenolepis","31"
"Hippoglossus stenolepis_61","Hippoglossus stenolepis","61"
"Hippoglossus stenolepis_77","Hippoglossus stenolepis","77"
"Lepidopsetta bilineata_61","Lepidopsetta bilineata","61"
"Limanda aspera_61","Limanda aspera","61"
"Lutjanus campechanus_77","Lutjanus campechanus","77"
"Mallotus villosus_67","Mallotus villosus","67"
"Megalops atlanticus_77","Megalops atlanticus","77"
"Melicertus kerathurus_27","Melicertus kerathurus","27"
"Pagellus bellottii_47","Pagellus bellottii","47"
"Paralithodes camtschaticus_67","Paralithodes camtschaticus","67"
"Peprilus simillimus_31","Peprilus simillimus","31"
"Peprilus simillimus_77","Peprilus simillimus","77"
"Pleuronectes quadrituberculatus_61","Pleuronectes quadrituberculatus","61"
"Pleuronectes quadrituberculatus_67","Pleuronectes quadrituberculatus","67"
"Pomatomus saltatrix_51","Pomatomus saltatrix","51"
"Pseudopentaceros wheeleri_61","Pseudopentaceros wheeleri","61"
"Pterogymnus laniarius_51","Pterogymnus laniarius","51"
"Pyura stolonifera_47","Pyura stolonifera","47"
"Reinhardtius hippoglossoides_61","Reinhardtius hippoglossoides","61"
"Salmo salar_31","Salmo salar","31"
"Sardinella aurita_47","Sardinella aurita","47"
"Sciaenops ocellatus_31","Sciaenops ocellatus","31"
"Scomberomorus tritor_47","Scomberomorus tritor","47"
"Seriola lalandi_31","Seriola lalandi","31"
"Somniosus microcephalus_21","Somniosus microcephalus","21"
"Thyrsites atun_51","Thyrsites atun","51"
"Totoaba macdonaldi_77","Totoaba macdonaldi","77"
"Trachurus lathami_21","Trachurus lathami","21"
