year,Site_Name,Total
2013,Admiralty Bay,1832
2013,Aitcho - Barrientos Island,5770
2013,Aitcho - Other,379
2013,Alexander Island,9
2013,Almirante Brown,19017
2013,Andresen Island,10
2013,Andvord Bay,1517
2013,Antarctic Sound,4756
2013,Arctowski Station,2906
2013,Ardley Island,156
2013,Argentine Islands Other,553
2013,Argentine Islands/Wordie Hut,878
2013,Armstrong Reefs,37
2013,Arturo Prat Station,156
2013,Astrolabe Island,1567
2013,Avian Island,36
2013,Baily Head,3459
2013,Barcroft Islands,18
2013,Bellingshausen Sea,95
2013,Bellingshausen Station,2663
2013,Berthelot Islands,47
2013,Bismarck Strait,1976
2013,Bongrain Point,482
2013,Booth Island,2807
2013,Borgeois Fjord,72
2013,Bransfield Strait,314
2013,Brown Bluff,7055
2013,Bruce Island,36
2013,Cape Adare,7
2013,Cape Bird,97
2013,Cape Evans,672
2013,Cape Evensen,8
2013,Cape Hallett,72
2013,Cape Lookout,784
2013,Cape Perez,49
2013,Cape Renard,64
2013,Cape Royds,414
2013,Cape Shirreff,2
2013,Cape Tuxen,310
2013,Charlotte Bay,1680
2013,Christiania Islands,282
2013,Cierva Cove,5198
2013,Commonwealth Bay,103
2013,Coulman Island,103
2013,Crystal Sound,700
2013,Curtiss Bay,516
2013,Cuverville Island,24779
2013,Dallmann Bay,3719
2013,Damoy Point/Dorian Bay,5156
2013,Danco Island,13009
2013,Darbel Bay,10
2013,Debenham Island,213
2013,Deception Island,5261
2013,Deloncle Bay,228
2013,Desolation Island,82
2013,Detaille Island,2977
2013,Devil Island,273
2013,Discovery Bay,205
2013,Doumer Island,34
2013,Duchaylard Islands,49
2013,Duthiers Point,30
2013,Edinburgh Hill,70
2013,Elephant Island,14133
2013,English Strait,830
2013,Enterprise Island,2245
2013,Erebus and Terror Gulf,5
2013,Errera Channel,5650
2013,Esperanza Station,1584
2013,False Bay,399
2013,Ferguson Channel,996
2013,Fildes Peninsula,148
2013,Fildes Station,780
2013,Fish Islands,356
2013,Flanders Bay,37
2013,Fort Point,121
2013,Fournier Bay,373
2013,Foyn Harbour,1856
2013,Franklin Island,132
2013,Frei Station,4014
2013,Fridtjof Sound,428
2013,Fumarole Bay,24
2013,Gabriel de Castilla Station,30
2013,Georges Point,872
2013,Gerlache Strait,22903
2013,Gibbs Island,287
2013,Girard Bay,11
2013,Goudier Island,22861
2013,Gourdin Island,1669
2013,Graham Passage,584
2013,Great Wall Station,3328
2013,Gunnel Channel,336
2013,Half Moon Island,15642
2013,Hannah Point,2910
2013,Hanusse Bay,574
2013,Hidden Bay,160
2013,Hope Bay,3477
2013,Horseshoe Island,792
2013,Hovgaard Island,465
2013,Hunt Island,21
2013,Hydrurga Rocks,1472
2013,Inexpressible Island,55
2013,Jabet Peak,206
2013,Jenny Island,223
2013,Jougla Point,11585
2013,Jubany,18
2013,Kinnes Cove/Madder Cliffs,235
2013,Lautaro Island,15
2013,Leith Cove,1521
2013,Lemaire Channel,33603
2013,Lemaire Island,12
2013,Lindblad Cove,255
2013,Livingston Island,239
2013,"Maxwell Bay, King George",2491
2013,McFarlane Strait,52
2013,McMurdo Ice Channel,82
2013,McMurdo Station,122
2013,Melchior Islands,2164
2013,Mikkelsen Harbor (D'Hainaut),4739
2013,Mount Banck,27
2013,Mount Demaria,101
2013,Mount Erebus Summit,62
2013,Mount Scott,64
2013,Mount Shackleton,24
2013,Mudge Passage,153
2013,Murray Island,7
2013,Nansen Island,33
2013,Neko Harbor,25891
2013,Nelson Island,33
2013,Neptunes Bellows,1681
2013,Neumayer Channel,19517
2013,Neumayer Station,305
2013,Novo Airbase,127
2013,O'Higgins Station,132
2013,Orcadas,115
2013,Orne Harbor,5123
2013,Orne Islands,426
2013,Palaver Point,12
2013,Palmer Station,9272
2013,Paradise Bay,23920
2013,Paulet Island,57
2013,Peltier Channel,2517
2013,Pendulum Cove,891
2013,Penguin Island,1470
2013,Penola Strait,981
2013,Peter I Island,270
2013,Petermann Island,17661
2013,Petrel Cove,348
2013,Pitt Islands,74
2013,Plata Passage,8
2013,Pleneau Island,11412
2013,Point Wild,2798
2013,Porquois Pas Island,12
2013,Port Charcot,4055
2013,Port Foster,1398
2013,Portal Point,3293
2013,Prospect Point,742
2013,Pursuit Point,8
2013,Red Rock Ridge,12
