"Site_name","sp_id","latitude_dd","longitude_dd","rgn_type"
"Mikkelsen Harbor (D'Hainaut)",248100,-63.9,-60.78333333,"eez"
"Mount Banck",248100,-64.9,-63.05,"eez"
"Mount Demaria",248100,-65.28333333,-64.1,"eez"
"Mount Erebus Summit",288100,-77.53333333,167.1666667,"land"
"Mount Scott",248100,-65.15,-64.05,"eez"
"Mount Shackleton",248100,-65.21666667,-63.93333333,"land"
"Mudge Passage",248100,-66.03333333,-65.83333333,"eez"
"Murray Island",248100,-64.36666667,-61.56666667,"eez"
"Nansen Island",248100,-64.58333333,-62.1,"eez"
"Neko Harbor",248100,-64.83333333,-62.55,"eez"
"Nelson Island",248100,-62.3,-59.05,"land"
"Neptunes Bellows",248100,-63,-60.56666667,"land"
"Neumayer Channel",248100,-64.78333333,-63.5,"land"
"Neumayer Station",248600,-70.67725,-8.2716,"eez"
"Novo Airbase",248600,-70.8218,11.63986667,"land"
"O'Higgins Station",248100,-63.32095,-57.89978333,"eez"
"Orcadas",248200,-60.58333333,-45.5,"land"
"Orne Harbor",248100,-64.61666667,-62.53333333,"eez"
"Orne Islands",248100,-64.66666667,-62.66666667,"eez"
"Palaver Point",248100,-64.15,-61.75,"eez"
"Palmer Station",248100,-64.77426667,-64.05333333,"eez"
"Paradise Bay",248100,-64.85,-62.9,"eez"
"Paulet Island",248100,-63.58333333,-55.78333333,"eez"
"Peltier Channel",248100,-64.86666667,-63.53333333,"land"
"Pendulum Cove",248100,-62.93333333,-60.6,"eez"
"Penguin Island",248100,-62.1,-57.9,"eez"
"Penola Strait",248100,-65.16666667,-64.11666667,"eez"
"Peter I Island",288300,-68.78333333,-90.58333333,"land"
"Petermann Island",248100,-65.16666667,-64.16666667,"eez"
"Petrel Cove",248100,-63.46666667,-56.21666667,"eez"
"Pitt Islands",248100,-65.43333333,-65.5,"eez"
"Plata Passage",248100,-64.66666667,-62.01666667,"eez"
"Pleneau Island",248100,-65.1,-64.06666667,"eez"
"Point Wild",248100,-61.1,-54.86666667,"land"
"Porquois Pas Island",248100,-67.68333333,-67.46666667,"land"
"Port Charcot",248100,-65.06666667,-64,"eez"
"Port Foster",248100,-62.95,-60.65,"land"
"Portal Point",248100,-64.5,-61.76666667,"eez"
"Prospect Point",248100,-66.01666667,-65.35,"eez"
"Pursuit Point",248100,-64.91666667,-63.45,"eez"
"Red Rock Ridge",248100,-68.3,-67.13333333,"land"
"Robert Point",248100,-62.46666667,-59.38333333,"eez"
"Ronge Island Other",248100,-64.71666667,-62.68333333,"eez"
"Ronge Island/Georges Point",248100,-64.71666667,-62.68333333,"eez"
"Rosamel Island",248100,-63.56666667,-56.28333333,"eez"
"Ross Ice Shelf",288100,-81.5,-175,"eez"
"San Martin Station",248100,-68.1303,-67.10293333,"eez"
"Scott Base",288100,-77.84943333,166.7672833,"land"
"Scott Island",288100,-67.4,-179.9166667,"eez"
"Skontorp Cove",248100,-64.9,-62.86666667,"eez"
"Snow Island",248100,-62.78333333,-61.38333333,"land"
"Spert Island",248100,-63.85,-60.95,"eez"
"Spigot Peak",248100,-64.65,-62.56666667,"eez"
"Sterneck Island",248100,-64.18333333,-61.03333333,"eez"
"Stonington Island",248100,-68.18333333,-67,"eez"
"Taylor Valley/Canada Glacier",288100,-77.61666667,163.0666667,"land"
"Telefon Bay",248100,-62.93333333,-60.66666667,"land"
"The Gullet",248100,-67.16666667,-67.63333333,"eez"
"Torgersen Island",248100,-64.76666667,-64.08333333,"eez"
"Trinity Island Other",248100,-63.75,-60.73333333,"land"
"Turret Point",248100,-62.08333333,-57.91666667,"eez"
"Union Glacier",248500,-79.75,-82.5,"land"
"Useful Island",248100,-64.71666667,-62.86666667,"eez"
"Vega Island/Herbert Sound",248100,-63.83333333,-57.41666667,"land"
"Vernadsky Station",248100,-65.24575,-64.25748333,"eez"
"View Point",248100,-63.55,-57.36666667,"eez"
"Waddington Bay",248100,-65.26666667,-64.08333333,"eez"
"Walker Bay (by Hannah Point)",248100,-62.63333333,-60.7,"eez"
"Waterboat Point/Gonzalez Videla Station",248100,-64.81666667,-62.85,"land"
"Weddell Sea",248500,-72,-45,"eez"
"Whalers Bay",248100,-62.98333333,-60.56666667,"eez"
"Wiggins Glacier",248100,-65.23333333,-64.05,"land"
"Wilhelmina Bay",248100,-64.63333333,-62.16666667,"eez"
"Winter Island",248100,-65.25,-64.26666667,"eez"
"Yalour Islands",248100,-65.23333333,-64.16666667,"eez"
"Yankee Harbor",248100,-62.53333333,-59.78333333,"land"
"Alcock Island",248100,-64.23333333,-61.13333333,"eez"
"Amery Ice Shelf",258420,-69.75,71,"eez"
"Artigas station",248100,-62.18455,-58.90245,"land"
"Astrolabe Glacier Area, or Vicinity",258410,-66.75,139.9166667,"land"
"Beascochea Bay",248100,-65.5,-64,"eez"
"Bennett Islands",248100,-66.93333333,-67.66666667,"eez"
"Blaiklock Island",248100,-67.55,-67.06666667,"land"
"Boyd Strait",248100,-62.83333333,-62,"eez"
"Brabant Island",248100,-64.25,-62.33333333,"land"
"Butler Passage",248100,-64.96666667,-63.73333333,"eez"
"Campbell Glacier/Gondwana Area",288100,-74.41666667,164.3666667,"land"
"Cape Darnley",258420,-67.71666667,69.5,"eez"
"Cape Denison",258410,-67,142.6666667,"land"
"Cape Jules",258410,-66.73333333,140.9166667,"eez"
"Chiriguano Bay",248100,-64.46666667,-62.51666667,"land"
"Cockburn Island",248100,-64.2,-56.85,"eez"
"Coronation Island",248200,-60.61666667,-45.58333333,"land"
"Crystal Hill",248100,-63.65,-57.73333333,"eez"
"Davis Station",258420,-68.57593333,77.96951667,"land"
"Dumont D'Urville Station",258410,-66.66283333,140.0013333,"land"
"Eckener Point",248100,-64.43333333,-61.6,"eez"
"Edgell Bay",248100,-62.26666667,-58.98333333,"land"
"Extension Reef",248100,-65.96666667,-66.13333333,"eez"
"Fast Ice",248100,-65.9,-65.16666667,"eez"
"Galindez Is -Penola Strait",248100,-65.25,-64.25,"eez"
"Harry Island",248100,-64.13333333,-61.98333333,"eez"
"Herbert Sound",248100,-63.91666667,-57.66666667,"eez"
"Heroina Island",248100,-63.4,-54.6,"eez"
"Heywood Island",248100,-62.33333333,-59.68333333,"eez"
"James Ross Island",248100,-64.16666667,-57.75,"land"
"Jonassen Island",248100,-63.55,-56.66666667,"eez"
"Larrouy Island",248100,-65.86666667,-65.25,"eez"
"Lion Sound",248100,-64.66666667,-63.15,"land"
"Marguerite Bay, The Gullet",248100,-68.5,-68.5,"eez"
"Martel Inlet",248100,-62.08333333,-58.36666667,"eez"
"Mendel/Czech Station",248100,-63.80063333,-57.8826,"land"
"Mount Mill",248100,-65.25,-64.05,"land"
"North Point",248200,-60.68333333,-45.63333333,"eez"
"Ohridski (Bulgarian Station)",248100,-62.64071667,-60.36523333,"eez"
"Penguin Point",248200,-60.51666667,-45.93333333,"land"
"Possession Island",288100,-71.86666667,171.2,"eez"
"Primero de Mayo Bay",248100,-62.96666667,-60.7,"land"
"Prince Gustav Channel",248100,-63.83333333,-58.25,"eez"
"Renaud Island",248100,-65.66666667,-66,"land"
"Rothera Station",248100,-67.56863333,-68.12438333,"eez"
"Sandefjord Bay",248200,-60.61666667,-46.05,"eez"
"Selvick Cove",248100,-64.65,-62.56666667,"eez"
"Seymour Island",248100,-64.28333333,-56.75,"land"
"Shackleton Ice Shelf",258410,-66,100,"eez"
"Shingle Cove",248200,-60.65,-45.56666667,"land"
"Signy Island Station",248200,-60.70828333,-45.59538333,"eez"
"Snow Hill - Nordenskjolds Hut",248200,-60.7,-45.63333333,"eez"
"Snow Hill Island",248100,-64.46666667,-57.2,"land"
"South Orkney Islands",248200,-60.58333333,-45.5,"land"
"Terra Firma Islands",248100,-68.7,-67.53333333,"eez"
"Wauwermans Islands",248100,-64.91666667,-63.88333333,"eez"
"Wyatt Earp",248500,-77.56666667,-86.41666667,"land"
"Yelcho Point",248100,-61.05,-55.36666667,"eez"
"Admiralty Sound",248100,-64.33333333,-57.16666667,"eez"
"Atka Bay Rookery",248600,-70.58333333,-7.85,"eez"
"Cape Herschel",248100,-64.06666667,-61.03333333,"eez"
"Cape Washington",288100,-74.65,165.4166667,"eez"
"Casabianca Island",248100,-64.81666667,-63.51666667,"land"
"D'Urville Monument",248100,-63.41666667,-56.3,"land"
"Dannebrog Islands",248100,-65.05,-64.13333333,"eez"
"False Island Point",248100,-63.91666667,-57.33333333,"eez"
"French Passage",248100,-65.16666667,-64.33333333,"eez"
"Haddon Bay, Joinville Isl",248100,-63.3,-55.73333333,"land"
"Laurie Island",248200,-60.73333333,-44.61666667,"land"
"Liard Island",248100,-66.85,-67.41666667,"land"
"Mikkelsen Harbor",248100,-63.9,-60.78333333,"eez"
"Monroe Island",248200,-60.6,-46.05,"eez"
"Mutton Cove",248100,-66,-65.65,"eez"
"Peter Oy Island",288300,-68.78333333,-90.58333333,"land"
"Phantom Coast",248100,-66.41666667,-65.68333333,"land"
"Pourquoi-Pas Island",248100,-67.68333333,-67.46666667,"land"
"Riiser Larsen",258420,-68.91666667,34,"land"
"Rosenthal Islands",248100,-64.6,-64.3,"eez"
"Sally Rocks",248100,-62.7,-60.43333333,"eez"
"Siple Island",288200,-73.65,-125,"eez"
"Snow Hill Emperor Rookery",248100,-64.51666667,-57.45,"land"
"Sorge Island, Gullet",248100,-67.18333333,-67.71666667,"land"
"Steinheil point",248100,-64.85,-62.68333333,"land"
"Straggle Islands",248100,-65.88333333,-65.1,"eez"
"Tay Head",248100,-63.35,-55.56666667,"eez"
"Terra Nova Bay",288100,-74.83333333,164.5,"eez"
"Two Hummock Island",248100,-64.13333333,-61.7,"eez"
"Cape Valentine",248100,-61.1,-54.65,"eez"
"Carvajal Station",248100,-67.76131667,-68.91481667,"land"
"Cobalescou Island",248100,-64.18333333,-61.65,"eez"
"Duseberg Buttress",248100,-65.16666667,-64.1,"eez"
"Edwards Point",248100,-62.48333333,-59.5,"eez"
"Greenwich Island",248100,-62.51666667,-59.78333333,"land"
"King Sejong Station",248100,-62.22323333,-58.7865,"land"
"Mertz Glacier Tongue",258410,-67.16666667,145.5,"land"
"Novolazarevskaya",248600,-70.77693333,11.82366667,"land"
"Patriot Hills",248500,-80.33333333,-81.41666667,"land"
"Peon Peak",248100,-64.75,-62.65,"eez"
"Potter Cove",248100,-62.23333333,-58.7,"land"
"Watkins Island",248100,-66.36666667,-67.1,"eez"
"Webb Island",248100,-67.45,-67.93333333,"eez"
"Audrey Island",248100,-68.13333333,-67.11666667,"eez"
"Cape Colbeck",288200,-77.11666667,-157.9,"eez"
"Cape Decouverte",258410,-66.76666667,141.55,"eez"
"Cape Gray",258410,-66.85,143.3666667,"eez"
"Cape Lachman",248100,-63.78333333,-57.78333333,"eez"
"Cape Mergerie",258410,-66.81666667,141.4,"eez"
"Covey Rocks",258420,-67.55,67.71666667,"eez"
"Decepcion Base Research Station",248100,-62.97676667,-60.7007,"land"
"Dion Islands (ASPA)",248100,-67.86666667,-68.71666667,"eez"
"Dogs Leg Fjord",248100,-67.71666667,-66.86666667,"land"
"Drygalski Ice Tongue",288100,-75.4,163.5,"eez"
"Dundee Island",248100,-63.5,-55.91666667,"land"
"Ferraz Station",248100,-62.08461667,-58.39256667,"eez"
"Gand Island",248100,-64.4,-62.85,"eez"
"Harrison Passage",248100,-65.88333333,-65.18333333,"eez"
"John Beach",248100,-62.65,-60.76666667,"land"
"Lavoisier",248100,-65.86666667,-65.25,"eez"
"Lister Cove",248100,-62.5,-60.08333333,"land"
"Mount Double",248100,-64.68333333,-62.58,"eez"
"Port Martin",258410,-66.81666667,141.4,"eez"
"Ross Sea",288100,-75,-175,"eez"
"Terra Nova Station",288100,-74.6948,164.1132667,"eez"
"Vortex Island",248100,-63.73333333,-57.63333333,"eez"
"ZigZag Island",248100,-63.6,-59.86666667,"eez"
"Amanda Bay",258420,-69.25,76.83333333,"land"
"Auguste Island",248100,-64.05,-61.61666667,"eez"
"Auster Rookery",258420,-67.38333333,64.03333333,"eez"
"Beneden Head",248100,-64.76666667,-62.7,"eez"
"Bob Island",248100,-64.93333333,-63.43333333,"eez"
"Camp Point",248100,-67.96666667,-67.31666667,"eez"
"Clear Island",248100,-64.91666667,-63.73333333,"eez"
"Davis Islands",258410,-66.66666667,108.4166667,"eez"
"Dobrowolski Island",248100,-64.6,-62.91666667,"land"
"Gaston Islands",248100,-64.46666667,-61.83333333,"eez"
"Iceberg Point",248100,-64.63333333,-63.1,"land"
"Intercurrence Island",248100,-63.91666667,-61.4,"eez"
"Louise Island",248100,-64.6,-62.38333333,"eez"
"Moreno Rock",248100,-64.08333333,-61.3,"eez"
"Moureaux Islands",248100,-65.08333333,-63.13333333,"eez"
"Murray Monolith",258420,-67.78333333,66.9,"land"
"Neyt Point",248100,-63.96666667,-61.8,"land"
"President Head",248100,-62.73333333,-61.2,"land"
"Sophie Rocks",248100,-64.73333333,-62.25,"eez"
"Truant Island",248100,-64.91666667,-63.41666667,"eez"
"Wylie Bay",248100,-64.73333333,-64.16666667,"eez"
"Balleny Islands",288200,-66.93333333,-163.3166667,"eez"
"Bancroft Bay",248100,-64.566667,-61.866667,"eez"
"Bay of Whales",288200,-78.66666667,-164.4,"eez"
"Betbeder Islands",248100,-65.436581,-65.525104,"eez"
"Borgen Bay",248100,-63.75,-63.5,"eez"
"Brabazon Point",248100,-64.4,-61.26667,"land"
"Cape Kinnes",248100,-63.75,-63.5,"eez"
"Challenger Island",248100,-64.35,-61.58333333,"eez"
"Charles Point",248100,-64.233333,-61,"eez"
"Eagle Island",248100,-63.63333333,-57.4,"eez"
"Elephant Point",248100,-61.16666667,-55.23333333,"land"
"Flounder Island",248100,-66.01666667,-65.4,"eez"
"Forge Islands",248100,-65.23333333,-64.28333333,"eez"
"Gondwana Station",288100,-74.63333333,164.2166667,"land"
"Hardy Cove",248100,-62.53333333,-59.58333333,"eez"
"Hoodwink Island",248100,-67.016667,-66.866667,"eez"
"Humps Island",258420,-67.599394,62.880571,"eez"
"Hut Point",288100,-77.845415,166.640936,"eez"
"Lallemand Fjord",248100,-67.08333,-66.75,"land"
"Lippman Islands",248100,-65.5,-64.43333333,"eez"
"Mist Rocks",248100,-66.8,-66.616667,"eez"
"Rush Glacier",248100,-64.382769,-62.619119,"eez"
"Salvesen Cove",248100,-64.401117,-61.344729,"land"
"Shmidt Point, Arrowsmith Peninsula",248100,-66.916667,-67.03333,"land"
"Spring Point",248500,-66.3,-61.05,"land"
"Steinheil Point",248100,-64.85,-62.68333333,"land"
"Tetra Rocks",248100,-63.90166667,-60.735,"eez"
"Triangle Point",248100,-62.533333,-59.85,"eez"
"Vieugue Island",248100,-65.666667,-65.216667,"eez"
"Zhongshan Station",258420,-69.426706,76.381245,"land"
"Access Point",248100,-64.83333,-63.783333,"eez"
"Aitcho Islands - Barrientos Island",248100,-62.4,-59.78333333,"eez"
"Aitcho Islands - Other",248100,-62.4,-59.78333333,"eez"
"Almirante Brown Station",248100,-64.9,-62.86666667,"eez"
"Alvaro Cove",248100,-64.85,-63.01666667,"eez"
"Amsler Island",248100,-64.763845,-64.084779,"eez"
"Arrowsmith Peninsula",248100,-67.25,-67.25,"land"
"Artigas Station",248100,-62.183727,-58.902004,"land"
"Bourgeois Fjord",248100,-67.66667,-67.083333,"eez"
"Boutan Rocks",248100,-64.9,-63.1666667,"eez"
"Bryde Island",248100,-64.874226,-63.009338,"eez"
"Buls Bay",248100,-64.383333,-62.316667,"land"
"Danger Islands",248100,-63.41666667,-54.66666667,"eez"
"Dee Island",248100,-62.422421,-59.781646,"eez"
"Dream Island",248100,-64.729933,-64.248846,"eez"
"Duchaylard Island",248100,-65.813564,-65.649774,"eez"
"Fanfare Island",248100,-65.216668,-64.183333,"eez"
"Foyn Harbor",248100,-64.55,-62.016667,"eez"
"Galindez Island",248100,-65.25,-64.23333333,"eez"
"Grandidier Channel",248100,-65.583333,-64.75,"eez"
"Guyou Islands",248100,-65.05,-63.4,"eez"
"Hook Island",248100,-65.633333,-65.1666667,"eez"
"Jang Bogo Station",288100,-74.6153,164.2008,"land"
"Laktionov Island",248100,-65.766667,-65.766667,"eez"
"Lippmann Islands",248100,-63.5,-64.43333333,"eez"
"Lockley Point",248100,-64.783333,-63.383333,"land"
"Lystad Bay",248100,-67.833333,-67.283333,"land"
"Mario Zucchelli Station",288100,-74.6936,164.1117,"eez"
"Martin Islands",258420,-66.733333,57,"eez"
"Maxwell Bay, King George Island",248100,-62.25,-58.85,"eez"
"McMurdo Sound",288100,-77.600659,165.466919,"eez"
"Novolazarevskaya Station",248600,-70.81666667,-11.61666667,"eez"
"Orcadas Station",248200,-60.75,-44.73333333,"land"
"Paradise Harbor",248100,-64.85,-62.9,"eez"
"Pleneau Island",248100,-65.1,-64.06666667,"eez"
"Pourquoi Pas Island",248100,-67.683333,-67.466667,"land"
"Refugio Gabriel de Castilla",248100,-62.983333,-60.683333,"land"
"Roman Four Promontory",248100,-68.216667,-66.933333,"eez"
"Sable Pinnacles",248100,-64.6667,-62.5667,"eez"
"Screen Islands",248100,-65.01666667,-63.71666667,"eez"
"Security Bay",248100,-65.85,-63.61666667,"land"
"Trinity Island",248100,-63.75,-60.733333,"land"
"Vega Island",248100,-63.833333,-57.416667,"land"
"Wiencke Island",248100,-64.833333,-63.416667,"land"
