country,species_fao,fao,environment,species_Truj,taxon,match_type,gapfill,Maric_sustainability,Genetic escapees
Argentina,Blue mussel,,,Blue mussel,,c_sp,actuals,0.83,1
Argentina,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,0.9,0.3
Argentina,River Plata mussel,,,River Plata mussel,,c_sp,actuals,0.83,0.7
Australia,Atlantic salmon,,,Atlantic salmon,,c_sp,actuals,0.23,0.1
Australia,Barramundi(=Giant seaperch),,,Barramundi,,c_sp,actuals,0.3,0.5
Australia,Cupped oysters nei,,,Cupped oysters nei,,c_sp,actuals,0.9,0.5
Australia,Flat oysters nei,,,Flat oysters nei,,c_sp,actuals,0.87,0.5
Australia,Giant tiger prawn,,,Giant tiger prawn,,c_sp,actuals,0.23,1
Australia,Kuruma prawn,,,Kuruma prawn,,c_sp,actuals,0.33,1
Australia,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,1,0.1
Australia,Southern bluefin tuna,,,Southern bluefin tuna,,c_sp,actuals,0.1,1
Bangladesh,Penaeus shrimps nei,,,Penaeus shrimps nei,,c_sp,actuals,0.23,0.5
Belize,Whiteleg shrimp,,,Whiteleg shrimp,,c_sp,actuals,0.37,0.1
Brazil,Cupped oysters nei,,,Cupped oysters nei,,c_sp,actuals,0.9,0.7
Brazil,Groupers nei,,,Groupers nei,,c_sp,actuals,0.33,0.9
Brazil,Whiteleg shrimp,,,Whiteleg shrimp,,c_sp,actuals,0.3,0.1
Cambodia,Penaeus shrimps nei,,,Penaeus shrimps nei,,c_sp,actuals,0.23,0.5
Canada,Atlantic bluefin tuna,,,Atlantic bluefin tuna,,c_sp,actuals,0.4,1
Canada,Atlantic cod,,,Atlantic cod,,c_sp,actuals,0.23,1
Canada,Atlantic salmon,"Atlantic, Northwest",,Atlantic salmon (Atl),,c_sp_fao,actuals,0.17,1
Canada,Atlantic salmon,"Pacific, Northeast",,Atlantic salmon (Pac),,c_sp_fao,actuals,0.27,0.1
Canada,Blue mussel,,,Blue mussel,,c_sp,actuals,0.93,1
Canada,Coho(=Silver) salmon,,,Coho(=Silver)salmon,,c_sp,actuals,0.33,1
Canada,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,0.83,0.1
Chile,Abalones nei,,,Abalones nei,,c_sp,actuals,0.67,0.1
Chile,Atlantic salmon,,,Atlantic salmon,,c_sp,actuals,0.13,0.1
Chile,Coho(=Silver) salmon,,,Coho(=Silver)salmon,,c_sp,actuals,0.27,0.1
Chile,Gracilaria seaweeds,,,Gracilaria seaweeds,,c_sp,actuals,0.9,1
Chile,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,0.53,0.1
China,Blood cockle,,,Blood cockle,,c_sp,actuals,0.67,1
China,Groupers nei,,,Groupers nei,,c_sp,actuals,0.33,0.9
China,Laver (Nori),,,Laver (Nori),,c_sp,actuals,0.67,1
China,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,0.53,0.1
China,Red drum,,,Red drum,,c_sp,actuals,0.37,0.1
China,Whiteleg shrimp,,,Whiteleg shrimp,,c_sp,actuals,0.37,0.1
Colombia,Cupped oysters nei,,,Cupped oysters nei,,c_sp,actuals,0.9,0.5
Colombia,Whiteleg shrimp,,,Whiteleg shrimp,,c_sp,actuals,0.37,1
Costa Rica,Whiteleg shrimp,,,Whiteleg shrimp,,c_sp,actuals,0.43,1
Denmark,Atlantic salmon,,,Atlantic salmon,,c_sp,actuals,0.5,1
Denmark,Blue mussel,,,Blue mussel,,c_sp,actuals,0.93,1
Denmark,European eel,,,European eel,,c_sp,actuals,0.43,1
Ecuador,Red drum,,,Red drum,,c_sp,actuals,0.37,0.1
Ecuador,Whiteleg shrimp,,,Whiteleg shrimp,,c_sp,actuals,0.37,1
Egypt,European seabass,,,European seabass,,c_sp,actuals,0.43,1
Egypt,Flathead grey mullet,,,Flathead grey mullet,,c_sp,actuals,0.43,1
Egypt,Gilthead seabream,,,Gilthead seabream,,c_sp,actuals,0.23,0.1
Egypt,Penaeus shrimps nei,,,Penaeus shrimps nei,,c_sp,actuals,0.3,0.5
Faroe Islands,Atlantic salmon,,,Atlantic salmon,,c_sp,actuals,0.43,1
Finland,Atlantic salmon,,,Atlantic salmon,,c_sp,actuals,0.5,1
France,Atlantic salmon,,,Atlantic salmon,,c_sp,actuals,0.37,1
France,Blue mussel,,,Blue mussel,,c_sp,actuals,0.93,1
France,Coho(=Silver) salmon,,,Coho(=Silver)salmon,,c_sp,actuals,0.37,0.1
France,European eel,,,European eel,,c_sp,actuals,0.43,1
France,European flat oyster,,,European flat oyster,,c_sp,actuals,0.83,1
France,European seabass,,,European seabass,,c_sp,actuals,0.5,1
France,Gilthead seabream,,,Gilthead seabream,,c_sp,actuals,0.23,1
France,Kuruma prawn,,,Kuruma prawn,,c_sp,actuals,0.43,0.1
France,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,0.53,0.1
Germany,Blue mussel,,,Blue mussel,,c_sp,actuals,0.93,1
Germany,European seabass,,,European seabass,,c_sp,actuals,0.57,1
Germany,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,0.53,0.1
Greece,European eel,,,European eel,,c_sp,actuals,0.43,1
Greece,European flat oyster,,,European flat oyster,,c_sp,actuals,0.83,1
Greece,European seabass,,,European seabass,,c_sp,actuals,0.3,1
Greece,Flathead grey mullet,,,Flathead grey mullet,,c_sp,actuals,0.37,1
Greece,Gilthead seabream,,,Gilthead seabream,,c_sp,actuals,0.17,1
Greece,Kuruma prawn,,,Kuruma prawn,,c_sp,actuals,0.43,0.1
Guatemala,Penaeus shrimps nei,,,Penaeus shrimps nei,,c_sp,actuals,0.17,0.5
Honduras,Penaeus shrimps nei,,,Penaeus shrimps nei,,c_sp,actuals,0.27,0.5
Iceland,Abalones nei,,,Abalones nei,,c_sp,actuals,0.63,0.3
Iceland,Arctic char,,,Arctic char,,c_sp,actuals,0.53,1
Iceland,Atlantic cod,,,Atlantic cod,,c_sp,actuals,0.57,1
Iceland,Atlantic halibut,,,Atlantic halibut,,c_sp,actuals,0.53,1
Iceland,Atlantic salmon,,,Atlantic salmon,,c_sp,actuals,0.6,0.1
Iceland,Atlantic wolffish,,,Atlantic wolffish,,c_sp,actuals,0.53,1
Iceland,Blue mussel,,,Blue mussel,,c_sp,actuals,0.93,0.7
Iceland,European seabass,,,European seabass,,c_sp,actuals,0.65,0.5
Iceland,Haddock,,,Haddock,,c_sp,actuals,0.53,1
Iceland,Rainbow trout,,,Trouts nei,,c_sp,actuals,0.6,1
Iceland,Spotted wolffish,,,Spotted wolffish,,c_sp,actuals,0.53,1
Iceland,Turbot,,,Turbot,,c_sp,actuals,0.53,1
India,Giant tiger prawn,,,Giant tiger prawn,,c_sp,actuals,0.17,1
