FAO_name,exclude,alias,notes,notes_2,Taxon_code
[Boleophthalmus pectinirostris],1,NA,,Chinese medicine,F
[Chondracanthus chamissoi],1,NA,seaweed,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
[Porphyra columbina],1,NA,seaweed,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
[Solea spp],0,NA,,,F
[Spirulina maxima],1,NA,seaweed,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Abalones nei,0,NA,,,BI
Akiami paste shrimp,0,NA,,,SH
Amberjacks nei,0,NA,,,F
American bull frog,0,NA,,,OTHER
American cupped oyster,0,NA,,,BI
Anadara clams nei,0,NA,,,BI
Aquatic invertebrates nei,0,NA,,,INV
Aquatic plants nei,1,NA,seaweed,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Arctic char,0,NA,,,F
Areolate grouper,0,NA,,,F
Atipa,1,NA,freshwater,,F
Atlantic bluefin tuna,0,NA,,,F
Atlantic cod,0,NA,,,F
Atlantic ditch shrimp,0,NA,,,SH
Atlantic halibut,0,NA,,,F
Atlantic salmon,0,NA,,,F
Atlantic spadefish,1,NA,mixed use: gamefish/aquarium/food,,F
Atlantic wolffish,0,NA,,,F
Australian mussel,0,NA,,,BI
Babberlocks,1,NA,seaweed,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Bagrid catfish,1,NA,freshwater,,F
Ballan wrasse,0,NA,,,F
Baltic prawn,0,NA,,,SH
Banana prawn,0,NA,,,SH
Banded carpet shell,0,NA,,,BI
Barramundi(=Giant seaperch),0,NA,,,F
Bastard halibut,0,NA,,,F
Bastard halibuts nei,0,NA,,,F
Bear paw clam,0,NA,,,BI
Big-scale sand smelt,0,Silversides(=Sand smelts) nei,,,F
Bigeye trevally,0,NA,,,F
Bighead carp,1,NA,freshwater,,F
Black ark,0,blood cockle,,,BI
Black bullhead,1,NA,freshwater,,F
Black catfishes nei,1,NA,freshwater,,F
Black grouper,0,Groupers nei,,,F
Black seabass,0,NA,,,F
Blackchin tilapia,1,NA,freshwater,,F
Blackhead seabream,0,NA,,,F
Blacklip abalone,0,NA,,,BI
Blacklip pearl oyster,0,NA,,,BI
Blackspot(=red) seabream,0,NA,,,F
Blood cockle,0,NA,,,BI
Blue crab,0,NA,,,CRUST
Blue mussel,0,NA,,,BI
Blue shrimp,0,NA,,,SH
Blue swimming crab,0,NA,,,CRUST
Blue tilapia,1,NA,freshwater,,F
Bluefish,0,NA,,,F
Bluegill,1,NA,freshwater,,F
Bluespot mullet,0,NA,,,F
Bright green nori,1,NA,seaweed mixed: animal feed/fertilizer/food,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Brill,0,NA,,,F
Brine shrimp,0,NA,,,SH
Brown meagre,0,NA,,,F
Brown seaweeds,1,NA,seaweed,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Brown tiger prawn,0,NA,,,SH
Brown-marbled grouper,0,NA,,,F
Butter clam,0,NA,,,BI
Callinectes swimcrabs nei,0,NA,,,CRUST
Caramote prawn,0,NA,,,SH
Carpet shells nei,0,NA,,,BI
Caulerpa seaweeds,1,NA,seaweed,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Chars nei,0,NA,,,F
Chilean flat oyster,0,NA,,,BI
Chilean mussel,0,NA,,,BI
Chinook(=Spring=King) salmon,0,NA,,,F
Cholga mussel,0,NA,,,BI
Choro mussel,0,NA,,,BI
Chum(=Keta=Dog) salmon,0,NA,,,F
"Clams, etc. nei",0,NA,,,BI
Cobia,0,NA,,,F
Cockles nei,0,NA,,,BI
Coho(=Silver) salmon,0,NA,,,F
Common carp,1,NA,freshwater,,F
Common cuttlefish,0,NA,,,CEPH
Common dentex,0,NA,,,F
Common edible cockle,0,NA,,,BI
Common pandora,0,NA,,,F
Common prawn,0,NA,,,SH
Common snook,0,NA,,,F
Common sole,0,NA,,,F
Common two-banded seabream,0,NA,,,F
Constricted tagelus,1,NA,freshwater,,BI
Cortez oyster,0,NA,,,BI
Crevalle jack,0,NA,,,F
Crimson seabream,0,NA,,,F
"Croakers, drums nei",0,NA,,,F
Crocus giant clam,0,NA,,,BI
Cupped oysters nei,0,NA,,,BI
Cyprinids nei,1,NA,freshwater,,F
Daggertooth pike conger,0,NA,,,F
Diphos sanguin,0,"Clams, etc. nei",,,BI
Donax clams,0,NA,,,BI
Dotted gizzard shad,0,NA,,,F
Drums nei,0,NA,,,F
Dulse,1,NA,seaweed,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Eastern king prawn,0,NA,,,SH
Eastern school shrimp,0,NA,,,SH
