rgn_id,score
1.0,-2.795012371107114e-4
2.0,-2.8193194930983e-4
3.0,-4.059888220956748e-4
4.0,-0.0021026512527914207
5.0,-9.50028783624081e-5
6.0,-7.346294911631435e-5
7.0,-1.2351349979841314e-4
8.0,-1.651502313077988e-4
9.0,-2.2832970588211365e-4
10.0,-2.826526083446909e-4
11.0,-2.048079638112622e-4
12.0,-3.69150055292095e-4
13.0,-2.3200325038951993e-4
14.0,-5.300239043631491e-5
15.0,-5.335782321457247e-5
16.0,-2.351593371674329e-4
17.0,-1.1711263216512457e-4
18.0,-8.425852337796103e-5
19.0,-1.1558914776872538e-4
20.0,-3.340229223868442e-4
21.0,-7.2021122145878e-4
24.0,-6.086594228856114e-5
25.0,-6.747579852453145e-5
26.0,-1.5430663120335995e-4
28.0,-2.124002737454488e-4
29.0,-2.1234024677019726e-4
30.0,-1.3461384439304117e-4
31.0,-1.970815518511629e-4
32.0,-2.895328561639117e-4
33.0,-1.9775555062034888e-4
34.0,-5.114229885661484e-4
35.0,-3.9595750295867433e-4
36.0,-3.362676688103321e-4
37.0,-2.9037199942226656e-4
38.0,-2.2289664332282783e-4
39.0,-1.8680824643128405e-4
40.0,-1.3695152887885137e-4
41.0,-1.8579253496142997e-4
42.0,-2.0789893039157938e-4
43.0,-1.1439137408218719e-4
44.0,-1.2190434564158507e-4
45.0,8.118589632973955e-5
46.0,-4.9420790617188963e-5
47.0,-9.809695250393477e-5
48.0,-1.723308263693785e-4
49.0,1.2134369724934633e-4
50.0,1.039407038391187e-4
51.0,-8.754705308807328e-5
52.0,-7.468872892188764e-5
53.0,-1.8017331850975397e-4
54.0,-7.832794037750508e-5
55.0,-2.8815176897828675e-4
56.0,-2.9558150369389356e-4
57.0,-9.350458697894267e-5
58.0,-7.26545408177673e-6
59.0,-4.981486865616254e-4
60.0,3.4332707804393426e-4
61.0,2.6743968801680234e-4
62.0,7.3003793884941885e-6
63.0,-1.6818086762479078e-4
64.0,-2.2947890776459768e-4
65.0,-1.8718992469125506e-4
66.0,-2.256379801668602e-4
67.0,3.01638282678242e-4
68.0,3.1611479740591733e-4
69.0,0.0015252874827947646
70.0,0.001301204665552723
71.0,8.525917399444587e-4
72.0,0.0010048479798130097
73.0,-0.00169660361138115
74.0,9.226558257459537e-4
75.0,9.66929197988817e-4
76.0,5.208290034075558e-4
77.0,3.5933447620701664e-4
78.0,3.427660199678368e-4
79.0,3.43954409444534e-4
80.0,3.3308977873843876e-4
81.0,3.291525689499825e-4
82.0,4.772880998522259e-4
84.0,4.3897525300385965e-4
85.0,-2.8538908280242886e-4
86.0,-2.888509213399783e-4
88.0,-8.625364852673689e-4
89.0,-0.0028120661763467013
90.0,-0.0017688943807222534
91.0,-0.0018488939563997104
92.0,-0.001134492861995786
93.0,-0.0016624053052673412
94.0,-0.0020155598887836466
95.0,-0.0014126873990964542
96.0,-1.8545220799405846e-4
97.0,-2.3128915352522864e-4
98.0,-2.4178782467216287e-4
99.0,-2.482951820028194e-4
100.0,-1.3338661832645234e-4
101.0,-3.147083021821414e-4
102.0,-5.14292166208661e-4
103.0,-2.413421992394171e-4
104.0,-2.816182356897781e-4
105.0,-0.003306006560424875
106.0,-2.424298652933108e-4
107.0,-4.5047853356559376e-4
108.0,-3.1831116166031886e-4
110.0,-1.0313525108337449e-4
111.0,-2.229092932433586e-4
112.0,-1.0927482482395738e-4
113.0,-1.6446654314439051e-4
114.0,-1.5427523119634315e-4
115.0,-1.7932023805331476e-4
116.0,-2.037927827402309e-4
117.0,-2.802349197484352e-4
118.0,-3.082366100909546e-4
119.0,-1.524688741801744e-4
120.0,-2.8734025845157706e-4
121.0,-1.7293622208276377e-4
122.0,-1.5722747363955937e-4
123.0,-2.3720444252318902e-4
124.0,-3.0916569340652504e-4
125.0,-1.4284268271245077e-4
126.0,-1.7298002573977366e-4
127.0,-2.0035236129431393e-4
129.0,-1.8442006997336898e-4
130.0,-3.484896810758885e-4
131.0,-1.1956742307952605e-4
132.0,-2.2672772452367925e-4
133.0,-1.0393724590000196e-4
134.0,-2.748564365245486e-4
135.0,-2.792268130575394e-4
136.0,-3.0482544799082087e-4
137.0,-2.99866759168561e-4
138.0,-3.287679019332327e-4
139.0,-1.665638986786379e-4
140.0,-2.4856589328682197e-4
141.0,-4.728861611523419e-4
143.0,-3.6645191315903553e-4
144.0,-6.548876545940014e-4
145.0,-5.812279067904066e-4
146.0,-8.24965661235485e-4
147.0,-1.673677345522753e-4
148.0,-1.2373714239999475e-4
149.0,-1.4503278280617707e-4
150.0,-1.806046163714419e-4
151.0,-1.1537553522322727e-4
152.0,-6.53910748169653e-5
153.0,-1.8949078992455332e-4
154.0,-2.4935531731305895e-4
155.0,-1.0314741914875201e-4
156.0,-1.1396778758450552e-4
157.0,-1.0775405827704776e-4
158.0,-1.8649499417555315e-4
159.0,-3.3028873571450617e-4
161.0,-8.050704650601541e-5
162.0,-8.380212008796654e-4
163.0,-5.596492323864493e-4
164.0,-1.0644785726298059e-4
166.0,-1.5433850332139746e-4
167.0,-1.5454810965837294e-4
168.0,-1.4804042278021679e-4
169.0,-1.6697422425855716e-4
171.0,-3.235510383753887e-4
172.0,-0.0012140434600853161
173.0,-8.016232102627074e-4
174.0,0.001314045519336916
175.0,-2.8576404187340246e-4
176.0,-5.290511295719227e-4
177.0,-6.670267231095144e-4
178.0,0.0011991396474653711
179.0,-1.4676547263561623e-4
180.0,-0.00030185650127749573
181.0,-3.126950165772908e-4
182.0,2.505300816408109e-5
183.0,-1.5264586270750773e-4
184.0,3.502542064386299e-4
185.0,4.054072895420604e-4
186.0,4.495365503587813e-4
187.0,4.579407075660701e-4
188.0,5.325925925925926e-4
189.0,0.0013295949710367004
190.0,-9.4457834815317115e-05
191.0,-8.329248202858346e-5
192.0,-8.629032087098883e-5
193.0,-1.3376873048609307e-4
194.0,-1.1273248423261172e-4
195.0,-2.5207912925291555e-4
196.0,-1.6010143160181698e-4
197.0,-1.0183932801878502e-4
198.0,-1.8049989704512412e-4
199.0,-7.500607881699771e-5
200.0,-2.110343341964911e-4
202.0,-1.3378585276395915e-4
203.0,-1.3968703465933805e-4
204.0,-1.9615802197133945e-4
205.0,-9.82896917845995e-5
206.0,-3.22054745316871e-5
207.0,-6.795920414952685e-5
208.0,3.5701854571164405e-5
209.0,-1.2966780420651638e-4
210.0,-2.2774046830724087e-4
212.0,-1.7793188361949942e-4
213.0,-0.003503751183795068
214.0,2.2862782845112662e-4
215.0,1.607884013415096e-4
216.0,-5.408512969222781e-5
218.0,-7.517230703984029e-4
219.0,-3.8538913462236104e-4
220.0,-1.2090660174936496e-4
221.0,-1.2152379274418332e-4
222.0,0.0010087428219698153
223.0,-5.884345817607587e-4
224.0,-8.891847549030798e-4
227.0,-3.9906077388592953e-4
228.0,-4.5309154658594955e-4
231.0,-1.7837702545851463e-5
232.0,4.501118568232662e-4
237.0,-1.0896590997186462e-5
244.0,-1.7280101104422303e-4
245.0,-1.5088003493266268e-4
247.0,-1.7522202980018853e-5
248.0,-1.50172090292484e-4
249.0,-1.279717459657378e-4
250.0,-1.4413233431252566e-4
255.0,-1.4730734770278194e-4
