"country","score","year"
1,0.683333333333334,2014
2,0.683333333333334,2014
3,0.683333333333334,2014
4,0.683333333333334,2014
5,0.683333333333334,2014
6,0.683333333333334,2014
7,0.683333333333334,2014
8,0.683333333333334,2014
9,0.683333333333334,2014
10,0.683333333333334,2014
11,0.683333333333334,2014
12,0.683333333333334,2014
13,0.683333333333334,2014
14,0.715,2014
15,0.548333333333333,2014
16,0.681666666666667,2014
17,0.683333333333334,2014
18,0.683333333333334,2014
19,0.683333333333334,2014
20,0.668333333333333,2014
21,0.700333333333333,2014
24,0.501666666666667,2014
25,0.59,2014
26,0.560333333333333,2014
28,0.461666666666667,2014
29,0.461666666666667,2014
30,0.461666666666667,2014
31,0.516666666666667,2014
32,0.461666666666667,2014
33,0.461666666666667,2014
34,0.461666666666667,2014
35,0.461666666666667,2014
36,0.461666666666667,2014
37,0.575,2014
38,0.489666666666667,2014
39,0.489666666666667,2014
40,0.536666666666667,2014
41,0.383333333333333,2014
42,0.403333333333333,2014
43,0.475,2014
44,0.461666666666667,2014
45,0.461666666666667,2014
46,0.461666666666667,2014
47,0.33,2014
48,0.606666666666667,2014
49,0.477333333333333,2014
50,0.683333333333333,2014
51,0.593333333333333,2014
52,0.575,2014
53,0.401666666666667,2014
54,0.685,2014
55,0.537666666666667,2014
56,0.421666666666667,2014
57,0.537666666666667,2014
58,0.537666666666667,2014
59,0.688333333333333,2014
60,0.537666666666667,2014
61,0.51,2014
62,0.518333333333333,2014
63,0.477333333333333,2014
64,0.365,2014
65,0.445,2014
66,0.45,2014
67,0.455,2014
68,0.583333333333333,2014
69,0.566666666666667,2014
70,0.608333333333333,2014
71,0.551666666666667,2014
72,0.521666666666667,2014
73,0.541666666666667,2014
74,0.525,2014
75,0.508333333333333,2014
76,0.575,2014
77,0.575512820512821,2014
78,0.461666666666667,2014
79,0.656666666666667,2014
80,0.488333333333333,2014
81,0.55,2014
82,0.475,2014
84,0.465,2014
85,0.665666666666667,2014
86,0.665666666666667,2014
88,0.665666666666667,2014
89,,2014
90,,2014
91,,2014
92,,2014
93,,2014
94,,2014
95,0.665666666666667,2014
96,0.335,2014
97,0.408333333333333,2014
98,0.404090909090909,2014
99,0.408333333333333,2014
100,0.418333333333333,2014
101,0.488333333333333,2014
102,0.561666666666667,2014
103,0.418333333333333,2014
104,0.418333333333333,2014
105,,2014
106,0.448333333333333,2014
107,0.514523809523809,2014
108,0.4925,2014
110,0.4925,2014
111,0.4925,2014
112,0.4925,2014
113,0.4925,2014
114,0.351666666666667,2014
115,0.46,2014
116,0.611666666666667,2014
117,0.4925,2014
118,0.4925,2014
119,0.4925,2014
120,0.4925,2014
121,0.4925,2014
122,0.4925,2014
123,0.4925,2014
124,0.57,2014
125,0.4925,2014
126,0.485,2014
127,0.4925,2014
129,0.583333333333333,2014
130,0.558333333333333,2014
131,0.473333333333333,2014
132,0.531666666666667,2014
133,0.45,2014
134,0.473333333333333,2014
135,0.556666666666667,2014
136,0.506666666666667,2014
137,0.53,2014
138,0.541666666666667,2014
139,0.391666666666667,2014
140,0.4925,2014
141,0.665666666666667,2014
143,0.61,2014
144,0.665666666666667,2014
145,0.665666666666667,2014
146,0.683333333333334,2014
147,0.683333333333334,2014
148,0.683333333333334,2014
149,0.683333333333334,2014
150,0.683333333333334,2014
151,0.683333333333334,2014
152,0.683333333333334,2014
153,0.683333333333334,2014
154,0.683333333333334,2014
155,0.683333333333334,2014
156,0.683333333333334,2014
157,0.683333333333334,2014
158,0.683333333333334,2014
159,0.683333333333334,2014
161,0.683333333333334,2014
162,0.685,2014
163,0.746666666666667,2014
164,0.514523809523809,2014
166,0.476666666666667,2014
167,0.461666666666667,2014
168,0.458333333333333,2014
169,0.504,2014
171,0.555,2014
172,0.46,2014
173,0.508333333333333,2014
174,0.756666666666667,2014
175,0.696666666666667,2014
176,0.751666666666667,2014
177,0.736666666666667,2014
178,0.576666666666667,2014
179,0.675,2014
180,0.728333333333333,2014
181,0.653333333333333,2014
182,0.595,2014
183,0.566666666666667,2014
184,0.568333333333333,2014
185,0.712916666666667,2014
186,0.533333333333333,2014
187,0.521666666666667,2014
188,0.541666666666667,2014
189,0.568333333333333,2014
190,0.706666666666667,2014
191,0.511666666666667,2014
192,0.575512820512821,2014
193,0.404090909090909,2014
194,0.318333333333333,2014
195,0.416666666666667,2014
196,0.428333333333333,2014
197,0.446666666666667,2014
198,0.45,2014
199,0.418333333333333,2014
200,0.358333333333333,2014
202,0.416666666666667,2014
203,0.546666666666667,2014
204,0.451666666666667,2014
205,0.371666666666667,2014
206,0.671666666666667,2014
207,0.53,2014
208,0.768333333333333,2014
209,0.745,2014
209,0.64,2014
210,0.733333333333333,2014
212,0.683333333333334,2014
214,0.438333333333333,2014
215,0.533333333333333,2014
216,0.588333333333333,2014
218,0.7,2014
219,0.723333333333333,2014
220,0.4925,2014
221,0.4925,2014
222,0.746666666666667,2014
223,0.721666666666667,2014
224,0.601666666666667,2014
227,0.665666666666667,2014
228,0.665666666666667,2014
231,0.375,2014
232,0.503333333333333,2014
237,0.560333333333333,2014
244,0.4925,2014
245,0.4925,2014
247,0.658333333333333,2014
248,0.4925,2014
249,0.4925,2014
250,0.4925,2014
