"","sp_id","year","days"
"1",248100,"X2008",618158
"2",248200,"X2008",2944
"3",248500,"X2008",2426
"4",248600,"X2008",0
"5",258410,"X2008",2484
"6",258420,"X2008",768
"7",288100,"X2008",2298
"8",288200,"X2008",0
"9",288300,"X2008",0
"10",248100,"X2009",554874
"11",248200,"X2009",6405
"12",248500,"X2009",3774
"13",248600,"X2009",303
"14",258410,"X2009",4702
"15",258420,"X2009",222
"16",288100,"X2009",6548
"17",288200,"X2009",360
"18",288300,"X2009",0
"19",248100,"X2010",607254
"20",248200,"X2010",4732
"21",248500,"X2010",2885
"22",248600,"X2010",312
"23",258410,"X2010",441
"24",258420,"X2010",0
"25",288100,"X2010",3384
"26",288200,"X2010",0
"27",288300,"X2010",154
"28",248100,"X2011",537655
"29",248200,"X2011",6101
"30",248500,"X2011",2239
"31",248600,"X2011",339
"32",258410,"X2011",465
"33",258420,"X2011",224
"34",288100,"X2011",3070
"35",288200,"X2011",111
"36",288300,"X2011",228
"37",248100,"X2012",410183
"38",248200,"X2012",4314
"39",248500,"X2012",4873
"40",248600,"X2012",279
"41",258410,"X2012",1149
"42",258420,"X2012",684
"43",288100,"X2012",2202
"44",288200,"X2012",0
"45",288300,"X2012",138
"46",248100,"X2013",512176
"47",248200,"X2013",115
"48",248500,"X2013",807
"49",248600,"X2013",432
"50",258410,"X2013",103
"51",258420,"X2013",0
"52",288100,"X2013",2475
"53",288200,"X2013",0
"54",288300,"X2013",374
"55",248100,"X2014",563917
"56",248200,"X2014",1520
"57",248500,"X2014",1578
"58",248600,"X2014",119
"59",258410,"X2014",0
"60",258420,"X2014",116
"61",288100,"X2014",5145
"62",288200,"X2014",254
"63",288300,"X2014",0
"64",248100,"X2015",448394
"65",248200,"X2015",1533
"66",248500,"X2015",1182
"67",248600,"X2015",57
"68",258410,"X2015",0
"69",258420,"X2015",15
"70",288100,"X2015",2733
"71",288200,"X2015",128
"72",288300,"X2015",356
