"","sp_id","year","gap_fill"
"1","248100",2008,"NA"
"2","248200",2008,"NA"
"3","248500",2008,"NA"
"4","248600",2008,"missing data - presumed zero"
"5","258410",2008,"NA"
"6","258420",2008,"NA"
"7","288100",2008,"NA"
"8","288200",2008,"missing data - presumed zero"
"9","288300",2008,"missing data - presumed zero"
"10","248100",2009,"NA"
"11","248200",2009,"NA"
"12","248500",2009,"NA"
"13","248600",2009,"NA"
"14","258410",2009,"NA"
"15","258420",2009,"NA"
"16","288100",2009,"NA"
"17","288200",2009,"NA"
"18","288300",2009,"missing data - presumed zero"
"19","248100",2010,"NA"
"20","248200",2010,"NA"
"21","248500",2010,"NA"
"22","248600",2010,"NA"
"23","258410",2010,"NA"
"24","258420",2010,"missing data - presumed zero"
"25","288100",2010,"NA"
"26","288200",2010,"missing data - presumed zero"
"27","288300",2010,"NA"
"28","248100",2011,"NA"
"29","248200",2011,"NA"
"30","248500",2011,"NA"
"31","248600",2011,"NA"
"32","258410",2011,"NA"
"33","258420",2011,"NA"
"34","288100",2011,"NA"
"35","288200",2011,"NA"
"36","288300",2011,"NA"
"37","248100",2012,"NA"
"38","248200",2012,"NA"
"39","248500",2012,"NA"
"40","248600",2012,"NA"
"41","258410",2012,"NA"
"42","258420",2012,"NA"
"43","288100",2012,"NA"
"44","288200",2012,"missing data - presumed zero"
"45","288300",2012,"NA"
"46","248100",2013,"NA"
"47","248200",2013,"NA"
"48","248500",2013,"NA"
"49","248600",2013,"NA"
"50","258410",2013,"NA"
"51","258420",2013,"missing data - presumed zero"
"52","288100",2013,"NA"
"53","288200",2013,"missing data - presumed zero"
"54","288300",2013,"NA"
