"rgn_id","value"
6,0.594
7,0.506
8,0.78
9,0.64
15,0.668
16,0.935
17,0.505
18,0.727
20,0.898
24,0.555
25,0.726
28,0.503
31,0.772
37,0.777
39,0.706
40,0.757
41,0.416
42,0.51
43,0.548
45,0.391
46,0.47
47,0.498
48,0.793
49,0.479
50,0.837
51,0.816
52,0.824
53,0.538
54,0.835
56,0.646
59,0.89
61,0.721
62,0.628
64,0.506
65,0.441
66,0.466
67,0.724
68,0.839
69,0.819
70,0.861
71,0.782
72,0.793
73,0.798
74,0.754
75,0.747
76,0.761
77,0.594
78,0.769
79,0.894
80,0.865
81,0.85
82,0.733
84,0.736
96,0.413
97,0.43
98,0.484
99,0.48
100,0.591
101,0.628
102,0.666
103,0.555
104,0.587
106,0.579
110,0.79
112,0.769
114,0.483
115,0.715
119,0.752
120,0.783
122,0.729
123,0.724
124,0.785
125,0.75
126,0.772
127,0.72
129,0.78
130,0.766
131,0.631
132,0.72
133,0.606
134,0.666
135,0.756
136,0.627
137,0.732
138,0.734
139,0.762
143,0.899
152,0.702
155,0.717
162,0.913
163,0.915
164,0.715
166,0.719
167,0.636
168,0.714
171,0.755
172,0.836
173,0.793
174,0.883
175,0.923
176,0.916
177,0.922
178,0.843
179,0.888
180,0.907
181,0.916
182,0.876
183,0.83
184,0.873
186,0.802
187,0.818
188,0.88
189,0.839
190,0.85
191,0.766
192,0.654
193,0.42
194,0.411
195,0.462
196,0.514
197,0.512
198,0.684
199,0.433
200,0.532
202,0.521
203,0.609
204,0.57
205,0.536
206,0.779
207,0.666
208,0.912
209,0.727967397864462
210,0.891
212,0.59
214,0.69
215,0.748
216,0.684
218,0.913
222,0.907
223,0.944
224,0.832
231,0.595
232,0.733
247,0.856
255,0.751
