"sp_id","sp_type","rgn_id","rgn_name","mean"
0,"eez",16,"Australia",3.56902552810887
1,"eez",1,"Cocos Islands",3.67752153237824
2,"eez",2,"Christmas Island",3.920285516687
3,"eez",3,"Norfolk Island",3.74554156393861
4,"eez",4,"Macquarie Island",1.93871205575426
5,"eez",5,"New Caledonia",3.53826656288781
6,"eez",6,"Vanuatu",3.62320969950564
7,"eez",7,"Solomon Islands",3.66482530672176
8,"eez",8,"Palau",3.8149596812157
9,"eez",9,"Micronesia",3.45824588937421
10,"eez",10,"Nauru",3.38243511031357
11,"eez",11,"Marshall Islands",3.2260212676861
12,"eez",12,"Wake Island",3.94612598288686
13,"eez",13,"Northern Mariana Islands and Guam",4.13443308607241
14,"eez",14,"Taiwan",4.53448106365752
15,"eez",15,"Philippines",3.75858427356267
17,"eez",17,"Papua New Guinea",3.58479597925723
18,"eez",18,"Fiji",3.87984252952652
19,"eez",19,"Tuvalu",3.66042404567372
20,"eez",20,"South Korea",4.82967008346895
21,"eez",21,"North Korea",3.58173478569927
24,"eez",24,"Cambodia",4.0399202466937
25,"eez",25,"Thailand",3.92194970303387
26,"eez",26,"Andaman and Nicobar",3.75800515636095
28,"eez",28,"Comoro Islands",3.80482525405882
29,"eez",29,"Mayotte",3.71195356176625
30,"eez",30,"Glorioso Islands",3.64783392994712
31,"eez",31,"Seychelles",3.61163795885542
32,"eez",32,"Reunion",4.32943444069573
33,"eez",33,"Juan de Nova Island",3.83446270660057
34,"eez",34,"Bassas da India",3.99801162649377
35,"eez",35,"Ile Europa",3.85447623486903
36,"eez",36,"Ile Tromelin",3.83686369165078
37,"eez",37,"Mauritius",3.77642984016985
38,"eez",38,"British Indian Ocean Territory",3.64201550582265
39,"eez",39,"Maldives",3.7261660070174
40,"eez",40,"Sri Lanka",4.21724793145551
41,"eez",41,"Mozambique",3.70581197351969
42,"eez",42,"Madagascar",2.61293584995857
43,"eez",43,"Kenya",3.37764141916388
44,"eez",44,"Somalia",3.51903836576612
45,"eez",45,"Eritrea",3.01243633853614
46,"eez",46,"Djibouti",3.99493408220902
47,"eez",47,"Yemen",3.87062004784655
48,"eez",48,"Oman",4.05623626438157
49,"eez",49,"Sudan",3.67101666084839
50,"eez",50,"Saudi Arabia",3.5019605434642
51,"eez",51,"Kuwait",2.88721157298308
52,"eez",52,"Bahrain",2.6586553796069
53,"eez",53,"Pakistan",4.34380206849423
54,"eez",54,"United Arab Emirates",3.2654408225035
55,"eez",55,"Azores",4.34511668335762
56,"eez",56,"Cape Verde",4.36376681573
