"zone","sum"
1,0
2,0
3,0
5,74.830832
6,1.928109
7,276.244706
8,32.044495
9,4.355248
10,0
11,0
12,0
13,0
14,0.72962
15,1767.86544
16,2853.515882
17,4005.914809
18,297.558092
19,0
24,291.705959
25,1736.161134
26,431.916928
28,0.28018
29,2.618956
30,0
31,3.311591
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0.060167
40,29.740668
41,1058.101707
42,732.271488
43,182.091988
44,6.001647
45,0.909226
46,0.169578
47,0.112539
48,0.013074
49,0.004728
50,0.171251
51,0
52,0
53,10.658522
54,0.095624
56,0
57,0
58,0
61,0
62,0.293685
63,0
64,0
65,46.733906
66,151.909113
67,0
77,0
79,0
84,0
85,0
86,0
88,0
92,0
96,637.775698
97,45.916249
98,0.792717
99,6.584042
100,0
101,0
102,5.124361
103,0
104,158.849109
106,23.600682
107,0
108,0.024013
110,30.060189
111,0.182006
112,1413.257147
113,43.808928
114,34.405961
115,87.806971
116,37.774088
117,0.122594
118,0.020514
119,0.07062
120,1.430299
121,0
122,0.855247
123,0
124,0.056546
125,0.643091
126,48.57313
127,0.120719
129,1283.856764
130,322.270292
131,537.34591
132,1441.41401
133,498.115325
134,229.604099
135,2795.796031
136,249.664495
137,846.858387
138,12.457876
139,2230.155681
140,24.998581
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
161,0
162,35.341392
163,1322.608016
164,256.380817
166,38.207163
167,163.918829
168,468.470576
169,223.340244
171,6867.264875
172,0
173,0
190,8.6e-05
191,0.003168
192,0
193,705.170461
194,786.990516
195,21.896975
196,2661.738867
197,1080.178294
198,1052.539007
199,142.909304
200,181.927997
202,424.268853
203,263.68659
204,1655.858027
205,2347.474603
206,4449.453838
207,614.090402
208,3.170022
209,20.007591
210,6.493216
212,0
214,0.004558
215,0
216,21192.822483
220,0
221,0.043435
224,0
231,2.447378
237,0.294505
244,0.285436
245,0.349499
247,101.587218
248,0
249,0
250,0.050253
