"zone","sum"
1,0
2,0
3,0
5,93.774893
6,9.802309
7,397.23933
8,47.341449
9,7.273821
10,0
11,0
12,0
13,0
14,0.922028
15,2088.473236
16,3163.185055
17,1018.948708
18,293.403888
19,0
20,0
24,61.302207
25,359.53336
26,523.126979
28,0.725981
29,3.24778
30,0
31,5.18548
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0.292447
40,33.506994
41,190.936246
42,838.750025
43,111.737882
44,3.304452
45,0.974149
46,0.011718
47,0.098137
48,0.004722
49,0.013047
50,0.259786
51,0
52,2.7e-05
53,0.219549
54,0.249747
56,0
57,0
58,0
62,0
63,0
64,0
65,2.225926
66,7.707792
67,0
79,0
85,0
86,0
88,0
92,0
96,134.520915
97,0.978788
98,0
99,0.153508
100,0
101,0
102,0.982502
103,0
104,1.71721
106,0.846129
107,0
108,0
110,3.945043
111,0.188969
112,1540.0981
113,44.818161
114,8.83942
115,9.574923
116,46.788706
117,0.262598
118,0.021232
119,0.119292
120,1.517098
121,0
122,0.868182
123,0
124,0.059163
125,1.119778
126,51.221458
127,0.199127
129,176.598936
130,31.127302
131,28.432626
132,552.686068
133,38.070048
134,35.975595
135,163.762329
136,2.635097
137,567.692736
138,7.036583
139,386.151147
140,29.295968
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
161,0
162,66.026256
163,331.296156
164,98.723721
166,42.539842
167,26.180614
168,49.890298
169,456.979906
171,2610.641058
172,0
173,0
190,0.000728
191,0.034317
192,0
193,218.867356
194,158.097202
195,1.821521
196,164.46325
197,189.468425
198,52.168956
199,7.976233
200,5.874705
202,141.02468
203,32.361511
204,139.669915
205,739.655641
206,715.413395
207,231.608741
208,2.32806
209,25.446372
210,7.410579
212,0
214,0.005978
215,0
216,11352.637168
220,0
221,0.000856
224,0
231,3.549562
237,0.751317
244,0.286146
245,0.894529
247,5.142578
248,0
249,0
250,0.106146
