"SBID","CountryCode","SplitYear","SeasonYear","SeasonMonthNr","CalendarMonthNr","ASD","TargetSpeciesCode","GearCode","FishingCode","ShipSize","FishingHours","FishingDays","ShipCount","HookCount","PotCount","HaulCount","FishingOnGrounds","FishingFromPort","FishingTrips","ShipTonnage","ShipHP","ShipLength","Comment","PreparedDate"
1,"FRA",1989,1988,12,11,"586","TOT","OTB","C",9,46.00,8.00,1,,,,8.00,23.00,38,1379.00,2330.00,,"",10-4-2015 00:00:00
2,"FRA",1989,1988,12,11,"5851","ANI","OTB","C",9,38.00,5.00,1,,,,5.00,23.00,24,1379.00,2330.00,,"",10-4-2015 00:00:00
3,"FRA",1989,1989,1,12,"5851","ANI","OTB","C",9,43.00,8.00,1,,,,8.00,17.00,38,1379.00,2330.00,,"",10-4-2015 00:00:00
4,"GBR",1989,1989,3,2,"483","SQS","JIG","S",7,,6.00,2,,,,6.00,,1,205.00,,,"",10-4-2015 00:00:00
5,"GBR",1989,1989,3,2,"483","MZZ","OTB","S",10,,10.00,,,,,10.00,,,,,,"",10-4-2015 00:00:00
6,"JPN",1989,1989,1,12,"481","KRI","OTM","C",10,274.00,28.00,3,,,260,28.00,,,3137.00,3867.00,,"",10-4-2015 00:00:00
7,"JPN",1989,1989,2,1,"481","KRI","OTM","C",10,1837.00,182.00,6,,,1842,185.00,,,3240.00,4300.00,,"",10-4-2015 00:00:00
8,"JPN",1989,1989,3,2,"481","KRI","OTM","C",10,1666.00,191.00,7,,,2075,193.00,,,3209.00,4257.00,,"",10-4-2015 00:00:00
9,"JPN",1989,1989,4,3,"481","KRI","OTM","C",10,1102.00,135.00,7,,,1232,158.00,,,3209.00,4257.00,,"",10-4-2015 00:00:00
10,"JPN",1989,1989,5,4,"481","KRI","OTM","C",10,745.00,83.00,5,,,805,85.00,,,3269.00,4000.00,,"",10-4-2015 00:00:00
11,"JPN",1989,1989,1,12,"482","KRI","OTM","C",10,2.00,1.00,1,,,2,1.00,,,3910.00,4400.00,,"",10-4-2015 00:00:00
12,"JPN",1989,1989,4,3,"482","KRI","OTM","C",10,127.00,16.00,3,,,156,16.00,,,3594.00,4400.00,,"",10-4-2015 00:00:00
13,"JPN",1989,1989,5,4,"482","KRI","OTM","C",10,10.00,3.00,1,,,14,3.00,,,3608.00,3900.00,,"",10-4-2015 00:00:00
14,"SUN",1989,1989,2,1,"481","KRI","OTM","C",11,505.00,38.00,,,,,45.00,,,,,,"",10-4-2015 00:00:00
15,"SUN",1989,1989,3,2,"481","KRI","OTM","C",11,414.00,33.00,,,,,39.00,,,,,,"",10-4-2015 00:00:00
16,"SUN",1989,1989,4,3,"481","KRI","OTM","C",11,936.00,72.00,,,,,86.00,,,,,,"",10-4-2015 00:00:00
17,"SUN",1989,1989,2,1,"481","KRI","OTM","C",10,1512.00,123.00,,,,,148.00,,,,,,"",10-4-2015 00:00:00
18,"SUN",1989,1989,3,2,"481","KRI","OTM","C",10,294.00,25.00,,,,,30.00,,,,,,"",10-4-2015 00:00:00
19,"SUN",1989,1989,4,3,"481","KRI","OTM","C",10,284.00,22.00,,,,,26.00,,,,,,"",10-4-2015 00:00:00
20,"SUN",1989,1988,12,11,"482","KRI","OTM","C",11,236.00,22.00,,,,,25.00,,,,,,"",10-4-2015 00:00:00
21,"SUN",1989,1989,1,12,"482","KRI","OTM","C",11,1827.00,136.00,,,,,164.00,,,,,,"",10-4-2015 00:00:00
22,"SUN",1989,1989,2,1,"482","KRI","OTM","C",11,1617.00,139.00,,,,,167.00,,,,,,"",10-4-2015 00:00:00
23,"SUN",1989,1989,3,2,"482","KRI","OTM","C",11,1506.00,135.00,,,,,164.00,,,,,,"",10-4-2015 00:00:00
24,"SUN",1989,1989,4,3,"482","KRI","OTM","C",11,1056.00,87.00,,,,,107.00,,,,,,"",10-4-2015 00:00:00
25,"SUN",1989,1988,11,10,"482","KRI","OTM","C",10,115.00,11.00,,,,,13.00,,,,,,"",10-4-2015 00:00:00
26,"SUN",1989,1988,12,11,"482","KRI","OTM","C",10,562.00,48.00,,,,,58.00,,,,,,"",10-4-2015 00:00:00
27,"SUN",1989,1989,1,12,"482","KRI","OTM","C",10,3209.00,285.00,,,,,345.00,,,,,,"",10-4-2015 00:00:00
28,"SUN",1989,1989,2,1,"482","KRI","OTM","C",10,1370.00,122.00,,,,,141.00,,,,,,"",10-4-2015 00:00:00
29,"SUN",1989,1989,3,2,"482","KRI","OTM","C",10,1195.00,117.00,,,,,142.00,,,,,,"",10-4-2015 00:00:00
30,"SUN",1989,1989,4,3,"482","KRI","OTM","C",10,135.00,14.00,,,,,17.00,,,,,,"",10-4-2015 00:00:00
31,"SUN",1989,1989,4,3,"483","KRI","OTM","S",,,,,,,,,,,,,,"",10-4-2015 00:00:00
32,"SUN",1989,1989,5,4,"483","KRI","OTM","S",,,,,,,,,,,,,,"",10-4-2015 00:00:00
33,"SUN",1989,1988,8,7,"483","KRI","OTM","C",11,3314.00,261.00,,,,,312.00,,,,,,"",10-4-2015 00:00:00
34,"SUN",1989,1988,9,8,"483","KRI","OTM","C",11,2945.00,234.00,,,,,284.00,,,,,,"",10-4-2015 00:00:00
35,"SUN",1989,1988,10,9,"483","KRI","OTM","C",11,599.00,51.00,,,,,61.00,,,,,,"",10-4-2015 00:00:00
36,"SUN",1989,1989,1,12,"483","KRI","OTM","C",11,30.00,3.00,,,,,4.00,,,,,,"",10-4-2015 00:00:00
