SpeciesCode,TaxonomicCode,GroupCode,ScientificName,SpeciesSortOrder,ScientificFamilyName,ScientificFamilySortOrder,EnglishName,FrenchName,RussianName,SpanishName,Class
ADK,1709700202,,Artedidraco skottsbergi,,Harpagiferidae,,Plunderfish,,,,F
AEM,1709200101,,Aethotaxis mitopteryx,,Nototheniidae,,Longfin icedevil,,,,F
AJH,619XXXXXXX003,,Anthozoa,,Anthozoa,,Anthozoa,,,,V
AJZ,619XXXXXXX007,,Alcyonacea,,Alcyonacea,,Alcyonacea soft corals,Corails mous,Corales muelles,,V
AKN,1709300101,,Akarotaxis nudiceps,,Bathydraconidae,,,,,,F
ALH,12314007XX,,Alepocephalus spp,,Alepocephalidae,,Slickheads nei,,,Talismanes,F
ALI,13107022XX,,Alepisaurus spp,,Alepisauridae,,Lancetfishes nei,,,,F
ALZ,56101XXXXX,,Diomedeidae,,Diomedeidae,,Albatrosses,Albatros nca,,Albatros nep,B
ANA,1210600206,,Engraulis anchoita,,Engraulidae,,Argentine anchovy,,,,F
AND,1470101303,,Tylosurus acus,,Belonidae,,Agujon needlefish,Aiguille voyeuse,,Marao ojón (=Aguja imperial),F
ANH,1400208001,,Anotopterus pharao,,Anotopteridae,,Daggertooth,,,,F
ANI,1709441701,33,Champsocephalus gunnari,100,Channichthyidae,70,Mackerel icefish,Poisson des glaces,??????? ????,Draco rayado,F
ANS,1709253501,33,Pleuragramma antarcticum,250,Nototheniidae,80,Antarctic silverfish,Calandre antarctique,?????????????? ??????????,Diablillo antartico,F
ANT,1480203001,32,Antimora rostrata,75,Moridae,75,Blue antimora,Antimore bleu,?????????? ????????,"Mollera azul, br¾tola",F
APL,799XXXXXXX,,Plantae aquaticae,,Plantae aquaticae,,Aquatic plants nei,,,,
AQM,224XXXXXXX,,Amphipoda,,Amphipoda,,Amphipods,,,,I
AQZ,619XXXXXXX004,,Antipatharia,,Anthozoa,,Black corals and thorny corals,,,,V
ART,17097002XX,,Artedidraco spp,,Harpagiferidae,,,,,,F
ATX,619XXXXXXX006,,Actiniaria,,Anthozoa,,Sea anemones,,,,V
AXT,61703XXXXX,,Stylasteridae,,Stylasteridae,,Hydrocorals,Hydrocoralliaires,,Corales de encaje,V
AZN,617XXXXXXX001,,Anthoathecatae,,Anthoathecatae,,"Hydroids, hydromedusae",,,,V
AZT,1709700201,,Artedidraco mirus,,Artedidraconidae,,Plunderfish,,,,F
BAA,1230601401,,Bathylagus antarcticus,,Bathylagidae,,deepsea smelt,,,,F
BAE,42302XXXXX,,Balaenopteridae,,Balaenopteridae,,Balaenoptid whales nei,,,,M
BAM,1100400202,,Bathyraja maccaini,46,Rajidae,40,McCain's skate,,,,F
BAT,17405206XX,,Platax spp,,Ephippidae,,Batfishes,Poules d'eau,,Dalapuganos,F
BAW,4220201901,,Berardius arnuxii,,Ziphiidae,,Arnoux's beaked whale,Béradien d'Arnoux,,Ballenato de Arnoux,M
BBB,1400201331,,Barbus bynni,,Cyprinidae,,,,,,F
BCW,4220200101,,Ziphius cavirostris,,Ziphiidae,,Cuvier's beaked whale,Ziphius,,Zifio de Cuvier,M
BDH,1709300203,,Bathydraco macrolepis,,Bathydraconidae,,,,,,F
BDJ,1709300202,,Bathydraco marri,,Bathydraconidae,,Dragonfish deepwater,,,,F
