"Source","CalendarYear","ConventionArea","ASD","AreaCode","SpeciesCode","FlagState","ProductWeightTonne","EstimatedLiveWeightTonne"
"CDS",2000,"Outside","41","41","TOP","CHL",1251.45,1841.77
"CDS",2000,"Outside","41","41","TOP","ESP",397.58,594.52
"CDS",2000,"Outside","41","41","TOP","GBR",817.54,1197.54
"CDS",2000,"Outside","41","41","TOP","KOR",2211.77,2746.82
"CDS",2000,"Outside","41","41","TOP","PER",17.78,17.78
"CDS",2000,"Outside","41","41","TOP","URY",338.99,479.44
"CDS",2000,"Outside","41","41","TOP","ARG",3260.05,5178.98
"CDS",2000,"Outside","47","47","TOP","URY",227.00,287.30
"CDS",2000,"Outside","47","47","TOP","CHL",242.52,336.48
"CDS",2000,"Inside","483","483","TOP","ZAF",273.99,340.43
"CDS",2000,"Inside","483","483","TOP","URY",651.59,874.50
"CDS",2000,"Inside","483","483","TOP","UKR",125.46,190.43
"CDS",2000,"Inside","483","483","TOP","KOR",346.48,429.45
"CDS",2000,"Inside","483","483","TOP","GBR",1053.20,1604.60
"CDS",2000,"Inside","483","483","TOP","CHL",1229.56,1793.19
"CDS",2000,"Inside","483","483","TOP","ESP",260.46,407.36
"CDS",2000,"Outside","51","51","TOP","URY",1275.26,1720.82
"CDS",2000,"Outside","51","51","TOP","RUS",576.86,576.86
"CDS",2000,"Outside","51","51","TOP","SYC",1088.26,1546.71
"CDS",2000,"Outside","57","57","TOP","KOR",214.16,271.60
"CDS",2000,"Outside","57","57","TOP","GBR",92.67,141.36
"CDS",2000,"Inside","5843","5843","TOP","UKR",13.58,20.75
"CDS",2000,"Inside","5843","5843","TOP","URY",70.29,97.72
"CDS",2000,"Inside","5851","5851","TOP","FRA",3507.81,5807.24
"CDS",2000,"Inside","5852","5852","TOP","AUS",3179.37,3144.31
"CDS",2000,"Inside","586","586","TOP","FRA",866.10,1355.16
"CDS",2000,"Inside","586","586","TOP","ZAF",212.29,247.73
"CDS",2000,"Inside","586/7","586/7","TOP","ZAF",297.71,371.04
"CDS",2000,"Inside","587","587","TOP","ZAF",321.89,411.95
"CDS",2000,"Outside","81","81","TOP","AUS",12.19,14.39
"CDS",2000,"Outside","87","87","TOP","CHL",5180.52,6584.42
"CDS",2000,"Outside","87","87","TOP","PER",120.41,132.26
"CDS",2000,"Inside","881","881","TOA","NZL",483.41,669.44
"CDS",2000,"Inside","881","881","TOP","NZL",3.55,0.16
"CDS",2001,"Outside","41","41","TOA","ARG",2.14,0.00
"CDS",2001,"Outside","41","41","TOP","GBR",1293.09,1917.76
"CDS",2001,"Outside","41","41","TOP","KOR",1660.73,1824.78
"CDS",2001,"Outside","41","41","TOP","URY",219.03,334.56
"CDS",2001,"Outside","41","41","TOP","ARG",3975.61,6125.38
"CDS",2001,"Outside","41","41","TOP","CHL",611.05,918.16
"CDS",2001,"Outside","41","41","TOP","ESP",183.74,290.23
"CDS",2001,"Outside","41","4131","TOP","ARG",5.47,7.52
"CDS",2001,"Outside","41","4132","TOP","ARG",177.66,293.42
"CDS",2001,"Outside","47","47","TOP","CHL",3.50,4.94
"CDS",2001,"Outside","47","47","TOP","UNK",49.54,70.55
"CDS",2001,"Outside","47","47","TOP","ZAF",82.44,96.17
"CDS",2001,"Inside","483","483","TOP","CHL",437.99,632.87
"CDS",2001,"Inside","483","483","TOP","ZAF",307.41,373.57
"CDS",2001,"Inside","483","483","TOP","URY",322.46,418.71
"CDS",2001,"Inside","483","483","TOP","UKR",108.05,169.25
"CDS",2001,"Inside","483","483","TOP","RUS",121.36,198.67
"CDS",2001,"Inside","483","483","TOP","KOR",758.45,793.10
"CDS",2001,"Inside","483","483","TOP","ESP",526.75,761.17
"CDS",2001,"Inside","483","483","TOP","GBR",610.05,916.72
"CDS",2001,"Outside","51","51","TOP","UKR",15.45,24.04
"CDS",2001,"Outside","51","51","TOP","ZAF",20.32,24.51
"CDS",2001,"Outside","51","51","TOP","URY",4395.14,6301.46
"CDS",2001,"Outside","51","51","TOP","RUS",2340.50,3552.63
"CDS",2001,"Outside","51","51","TOP","KOR",287.54,387.94
"CDS",2001,"Outside","51","51","TOP","SYC",4069.07,6037.58
"CDS",2001,"Outside","57","57","TOP","KOR",918.63,1141.03
"CDS",2001,"Outside","57","57","TOP","SYC",247.64,348.67
"CDS",2001,"Inside","5843","5843","TOP","UKR",22.24,33.62
"CDS",2001,"Inside","5851","5851","TOP","FRA",3163.82,5243.31
"CDS",2001,"Inside","5852","5852","TOP","AUS",3091.90,3153.36
"CDS",2001,"Inside","586","586","TOP","FRA",649.83,946.99
"CDS",2001,"Inside","586","586","TOP","ZAF",4.76,7.62
"CDS",2001,"Inside","586/7","586/7","TOP","ZAF",93.02,114.23
"CDS",2001,"Inside","587","587","TOP","ZAF",135.67,152.20
"CDS",2001,"Outside","81","81","TOP","AUS",27.53,25.97
"CDS",2001,"Outside","81","81","TOP","GBR",0.50,0.85
"CDS",2001,"Outside","87","87","TOP","CHL",5359.46,6428.06
"CDS",2001,"Outside","87","87","TOP","PER",152.45,170.82
"CDS",2001,"Inside","881","881","TOA","NZL",376.30,529.01
"CDS",2001,"Inside","881","881","TOA","URY",12.36,16.93
"CDS",2001,"Inside","881","881","TOA","ZAF",13.26,22.55
"CDS",2001,"Inside","881","881","TOP","NZL",20.09,27.28
"CDS",2001,"Inside","881","881","TOP","ZAF",5.92,3.09
