"Source","CalendarYear","SpeciesCode","FlagState","ExportState","ExportedProductWeightTonne","UnladingState","Reexport"
"CDS",2000,"TOP","ARG","ARG",147.81,"CHL","no"
"CDS",2000,"TOP","ARG","ARG",331.16,"CHN","no"
"CDS",2000,"TOP","ARG","ARG",155.35,"ESP","no"
"CDS",2000,"TOP","ARG","ARG",1638.61,"JPN","no"
"CDS",2000,"TOP","ARG","ARG",791.85,"USA","no"
"CDS",2000,"TOP","AUS","AUS",939.32,"CHN","no"
"CDS",2000,"TOP","AUS","AUS",1569.95,"JPN","no"
"CDS",2000,"TOP","AUS","AUS",20.56,"KOR","no"
"CDS",2000,"TOP","AUS","AUS",9.01,"PHL","no"
"CDS",2000,"TOP","AUS","AUS",8.47,"USA","no"
"CDS",2000,"TOP","AUS","MUS",300.72,"CHN","no"
"CDS",2000,"TOP","AUS","MUS",36.28,"HKG","no"
"CDS",2000,"TOP","AUS","MUS",156.54,"JPN","no"
"CDS",2000,"TOP","CHL","CHL",1.78,"ARG","no"
"CDS",2000,"TOP","CHL","CHL",1.25,"BEL","no"
"CDS",2000,"TOP","CHL","CHL",53.60,"CAN","no"
"CDS",2000,"TOP","CHL","CHL",662.77,"CHN","no"
"CDS",2000,"TOP","CHL","CHL",1.00,"COL","no"
"CDS",2000,"TOP","CHL","CHL",3.03,"ESP","no"
"CDS",2000,"TOP","CHL","CHL",3.52,"GBR","no"
"CDS",2000,"TOP","CHL","CHL",2153.85,"JPN","no"
"CDS",2000,"TOP","CHL","CHL",0.22,"KOR","no"
"CDS",2000,"TOP","CHL","CHL",8.49,"MEX","no"
"CDS",2000,"TOP","CHL","CHL",1.00,"PRT","no"
"CDS",2000,"TOP","CHL","CHL",32.08,"SGP","no"
"CDS",2000,"TOP","CHL","CHL",2956.68,"USA","no"
"CDS",2000,"TOP","CHL","NAM",24.48,"JPN","no"
"CDS",2000,"TOP","CHL","NAM",185.38,"USA","no"
"CDS",2000,"TOP","ESP","ESP",6.21,"CHN","no"
"CDS",2000,"TOP","ESP","ESP",261.57,"JPN","no"
"CDS",2000,"TOP","ESP","URY",325.62,"CHL","no"
"CDS",2000,"TOP","ESP","URY",8.43,"CHN","no"
"CDS",2000,"TOP","ESP","URY",54.50,"JPN","no"
"CDS",2000,"TOP","ESP","URY",24.55,"SGP","no"
"CDS",2000,"TOP","ESP","URY",104.91,"USA","no"
"CDS",2000,"TOP","FRA","FRA",561.94,"CHN","no"
"CDS",2000,"TOP","FRA","FRA",10.63,"FRA","no"
"CDS",2000,"TOP","FRA","FRA",20.17,"GBR","no"
"CDS",2000,"TOP","FRA","FRA",31.12,"HKG","no"
"CDS",2000,"TOP","FRA","FRA",2087.37,"JPN","no"
"CDS",2000,"TOP","FRA","FRA",2.65,"KOR","no"
"CDS",2000,"TOP","FRA","FRA",10.28,"THA","no"
"CDS",2000,"TOP","FRA","FRA",430.12,"USA","no"
"CDS",2000,"TOP","FRA","ZAF",36.41,"JPN","no"
"CDS",2000,"TOP","FRA","ZAF",33.42,"USA","no"
"CDS",2000,"TOP","GBR","ESP",18.73,"JPN","no"
"CDS",2000,"TOP","GBR","ESP",55.93,"USA","no"
"CDS",2000,"TOP","GBR","GBR",92.67,"URY","no"
"CDS",2000,"TOP","GBR","URY",104.52,"CHL","no"
"CDS",2000,"TOP","GBR","URY",640.48,"CHN","no"
"CDS",2000,"TOP","GBR","URY",199.96,"JPN","no"
"CDS",2000,"TOP","GBR","URY",433.17,"USA","no"
"CDS",2000,"TOP","KOR","KOR",8.70,"BEL","no"
"CDS",2000,"TOP","KOR","KOR",54.78,"CHN","no"
"CDS",2000,"TOP","KOR","KOR",0.82,"HKG","no"
"CDS",2000,"TOP","KOR","KOR",621.86,"JPN","no"
"CDS",2000,"TOP","KOR","KOR",33.59,"T++","no"
"CDS",2000,"TOP","KOR","KOR",511.70,"USA","no"
"CDS",2000,"TOP","KOR","MUS",85.12,"CHL","no"
"CDS",2000,"TOP","KOR","MUS",20.00,"SGP","no"
"CDS",2000,"TOP","KOR","MUS",52.85,"USA","no"
"CDS",2000,"TOP","KOR","MUS",22.51,"URY","no"
"CDS",2000,"TOA","NZL","NZL",353.03,"JPN","no"
"CDS",2000,"TOA","NZL","NZL",5.09,"SGP","no"
"CDS",2000,"TOA","NZL","NZL",6.78,"T++","no"
"CDS",2000,"TOA","NZL","NZL",48.41,"USA","no"
"CDS",2000,"TOP","NZL","NZL",5.72,"JPN","no"
"CDS",2000,"TOP","NZL","NZL",0.01,"SGP","no"
"CDS",2000,"TOP","NZL","NZL",45.63,"USA","no"
"CDS",2000,"TOP","PER","PER",17.78,"CHL","no"
"CDS",2000,"TOP","PER","PER",8.37,"ESP","no"
"CDS",2000,"TOP","PER","PER",74.14,"USA","no"
"CDS",2000,"TOP","RUS","SGP",576.86,"CHN","no"
"CDS",2000,"TOP","SYC","MUS",338.71,"CHN","no"
"CDS",2000,"TOP","SYC","MUS",568.51,"JPN","no"
"CDS",2000,"TOP","SYC","MUS",132.89,"USA","no"
"CDS",2000,"TOP","UKR","NAM",137.87,"JPN","no"
"CDS",2000,"TOP","URY","MUS",97.90,"CHL","no"
"CDS",2000,"TOP","URY","MUS",25.33,"CHN","no"
"CDS",2000,"TOP","URY","MUS",395.69,"JPN","no"
"CDS",2000,"TOP","URY","MUS",22.98,"SGP","no"
"CDS",2000,"TOP","URY","MUS",199.91,"USA","no"
"CDS",2000,"TOP","URY","NAM",130.01,"CHL","no"
"CDS",2000,"TOP","URY","NAM",24.39,"JPN","no"
"CDS",2000,"TOP","URY","NAM",50.38,"USA","no"
"CDS",2000,"TOP","URY","URY",22.68,"CAN","no"
"CDS",2000,"TOP","URY","URY",11.38,"CHL","no"
"CDS",2000,"TOP","URY","URY",571.72,"CHN","no"
"CDS",2000,"TOP","URY","URY",163.85,"JPN","no"
"CDS",2000,"TOP","URY","URY",200.15,"USA","no"
"CDS",2000,"TOP","URY","ZAF",54.99,"JPN","no"
"CDS",2000,"TOP","URY","ZAF",22.75,"USA","no"
"CDS",2000,"TOP","ZAF","URY",43.77,"CHL","no"
"CDS",2000,"TOP","ZAF","URY",36.35,"JPN","no"
"CDS",2000,"TOP","ZAF","URY",74.81,"USA","no"
"CDS",2000,"TOP","ZAF","ZAF",34.54,"CAN","no"
"CDS",2000,"TOP","ZAF","ZAF",14.47,"CHN","no"
"CDS",2000,"TOP","ZAF","ZAF",217.93,"JPN","no"
"CDS",2000,"TOP","ZAF","ZAF",6.27,"NAM","no"
"CDS",2000,"TOP","ZAF","ZAF",12.88,"SGP","no"
"CDS",2000,"TOP","ZAF","ZAF",60.46,"T++","no"
"CDS",2000,"TOP","ZAF","ZAF",439.74,"USA","no"
"CDS",2001,"TOP","ARG","ARG",360.18,"CHN","no"
"CDS",2001,"TOP","ARG","ARG",237.50,"ESP","no"
"CDS",2001,"TOP","ARG","ARG",1132.24,"JPN","no"
"CDS",2001,"TOP","ARG","ARG",277.02,"KOR","no"
"CDS",2001,"TOP","ARG","ARG",595.48,"USA","no"
"CDS",2001,"TOP","AUS","AUS",1089.91,"CHN","no"
"CDS",2001,"TOP","AUS","AUS",785.24,"JPN","no"
"CDS",2001,"TOP","AUS","AUS",17.59,"KOR","no"
"CDS",2001,"TOP","AUS","AUS",132.18,"SGP","no"
"CDS",2001,"TOP","AUS","MUS",597.92,"CHN","no"
"CDS",2001,"TOP","AUS","MUS",449.71,"JPN","no"
"CDS",2001,"TOP","CHL","CHL",5.32,"BRA","no"
"CDS",2001,"TOP","CHL","CHL",116.35,"CAN","no"
"CDS",2001,"TOP","CHL","CHL",25.81,"CHN","no"
"CDS",2001,"TOP","CHL","CHL",3.15,"DEU","no"
"CDS",2001,"TOP","CHL","CHL",0.54,"DNK","no"
"CDS",2001,"TOP","CHL","CHL",2.84,"ESP","no"
"CDS",2001,"TOP","CHL","CHL",1.49,"FRA","no"
"CDS",2001,"TOP","CHL","CHL",7.0e-03,"GBR","no"
"CDS",2001,"TOP","CHL","CHL",123.65,"HKG","no"
"CDS",2001,"TOP","CHL","CHL",1310.99,"JPN","no"
"CDS",2001,"TOP","CHL","CHL",67.62,"KOR","no"
"CDS",2001,"TOP","CHL","CHL",6.49,"MEX","no"
"CDS",2001,"TOP","CHL","CHL",3.46,"MYS","no"
"CDS",2001,"TOP","CHL","CHL",53.94,"SGP","no"
"CDS",2001,"TOP","CHL","CHL",39.13,"T++","no"
"CDS",2001,"TOP","CHL","CHL",3201.82,"USA","no"
"CDS",2001,"TOP","ESP","ESP",9.13,"CHN","no"
"CDS",2001,"TOP","ESP","ESP",40.33,"GBR","no"
"CDS",2001,"TOP","ESP","ESP",102.29,"JPN","no"
"CDS",2001,"TOP","ESP","ESP",45.20,"SGP","no"
"CDS",2001,"TOP","ESP","ESP",24.90,"USA","no"
"CDS",2001,"TOP","ESP","URY",47.17,"CHN","no"
"CDS",2001,"TOP","ESP","URY",27.20,"HKG","no"
"CDS",2001,"TOP","ESP","URY",43.87,"JPN","no"
"CDS",2001,"TOP","ESP","URY",25.87,"MYS","no"
"CDS",2001,"TOP","ESP","URY",79.07,"SGP","no"
"CDS",2001,"TOP","ESP","URY",111.28,"USA","no"
"CDS",2001,"TOP","ESP","ZAF",4.35,"ESP","no"
"CDS",2001,"TOP","ESP","ZAF",131.10,"JPN","no"
"CDS",2001,"TOP","ESP","ZAF",103.17,"USA","no"
"CDS",2001,"TOP","FRA","FRA",20.48,"CAN","no"
"CDS",2001,"TOP","FRA","FRA",769.59,"CHN","no"
"CDS",2001,"TOP","FRA","FRA",82.12,"FRA","no"
"CDS",2001,"TOP","FRA","FRA",81.89,"GBR","no"
"CDS",2001,"TOP","FRA","FRA",78.65,"HKG","no"
"CDS",2001,"TOP","FRA","FRA",13.58,"IDN","no"
"CDS",2001,"TOP","FRA","FRA",1749.65,"JPN","no"
"CDS",2001,"TOP","FRA","FRA",90.22,"SGP","no"
"CDS",2001,"TOP","FRA","FRA",24.01,"THA","no"
"CDS",2001,"TOP","FRA","FRA",22.74,"T++","no"
"CDS",2001,"TOP","FRA","FRA",816.67,"USA","no"
"CDS",2001,"TOP","GBR","ESP",5.41,"CHN","no"
"CDS",2001,"TOP","GBR","ESP",37.79,"JPN","no"
"CDS",2001,"TOP","GBR","ESP",29.48,"USA","no"
"CDS",2001,"TOP","GBR","GBR",73.53,"ESP","no"
"CDS",2001,"TOP","GBR","GBR",47.51,"JPN","no"
"CDS",2001,"TOP","GBR","NZL",1.47,"ESP","no"
"CDS",2001,"TOP","GBR","NZL",8.58,"SGP","no"
"CDS",2001,"TOP","GBR","URY",15.75,"CAN","no"
