"SBID","SpeciesCode","CatchWeight"
1,"TOP",21000.00
2,"ANI",207000.00
2,"TOP",1000.00
3,"ANI",358000.00
4,"SQS",8230.00
5,"ANI",2640.00
5,"MZZ",590.00
5,"NOG",1210.00
5,"NOR",240.00
5,"NOS",30.00
5,"SGI",1250.00
5,"SSI",730.00
5,"TOP",60.00
6,"KRI",1913000.00
7,"KRI",24626000.00
8,"KRI",26569000.00
9,"KRI",14435000.00
10,"KRI",8369000.00
11,"KRI",11000.00
12,"KRI",2799000.00
13,"KRI",206000.00
14,"KRI",2879000.00
15,"KRI",2764000.00
16,"KRI",5753000.00
17,"KRI",7041000.00
18,"KRI",1330000.00
19,"KRI",1108000.00
20,"KRI",829000.00
21,"KRI",11165000.00
22,"KRI",12400000.00
23,"KRI",10704000.00
24,"KRI",6722000.00
25,"KRI",553000.00
26,"KRI",2565000.00
27,"KRI",16348000.00
28,"KRI",7731000.00
29,"KRI",6964000.00
30,"KRI",513000.00
31,"KRI",29000.00
32,"KRI",20000.00
33,"KRI",22610000.00
34,"KRI",20127000.00
35,"KRI",3776000.00
36,"KRI",192000.00
37,"KRI",110000.00
38,"KRI",5026000.00
39,"KRI",20033000.00
40,"KRI",25209000.00
41,"KRI",19547000.00
42,"KRI",39796000.00
43,"KRI",17324000.00
44,"KRI",2003000.00
45,"KRI",157000.00
46,"KRI",900000.00
47,"KRI",680000.00
48,"KRI",9167000.00
49,"KRI",7836000.00
50,"KRI",9370000.00
51,"ANI",27000.00
51,"NOG",63000.00
52,"ANI",67000.00
52,"NOG",3000.00
53,"ANI",87000.00
53,"NOG",566000.00
54,"ANI",52000.00
54,"LXX",17000.00
54,"NOG",94000.00
55,"ANI",1000.00
55,"NOG",5000.00
56,"NOG",42000.00
57,"NOG",351000.00
58,"ANI",143000.00
58,"NOG",46000.00
59,"ANI",190000.00
59,"NOG",92000.00
60,"ANI",56000.00
61,"ANI",49000.00
61,"NOG",4000.00
62,"LXX",3414000.00
62,"MZZ",2000.00
63,"LXX",2110000.00
64,"LXX",5352000.00
65,"ANI",1368000.00
65,"LXX",2478000.00
66,"GHP",701000.00
66,"LXX",700000.00
66,"MZZ",8000.00
67,"LXX",2944000.00
67,"MZZ",3000.00
68,"LXX",1663000.00
69,"LXX",3697000.00
70,"ANI",9209000.00
70,"MZZ",2000.00
70,"NOG",2000.00
70,"NOR",2000.00
71,"GHP",1299000.00
71,"LXX",1175000.00
71,"NOS",487000.00
72,"GHP",5879000.00
