"cntry_key","sector","year","jobs"
"AGO","cf",1970,9964.3061
"AGO","cf",1971,9103.0653
"AGO","cf",1972,8641.3586
"AGO","cf",1973,9286.8937
"AGO","cf",1980,12260.5
"AGO","cf",1990,34804
"AGO","cf",1995,48035.848
"AGO","cf",2000,38086.65
"AGO","cf",2001,38086.65
"AGO","cf",2002,41508.516
"AGO","tour",1988,10900
"AGO","tour",1989,16300
"AGO","tour",1990,20900
"AGO","tour",1991,21400
"AGO","tour",1992,19700
"AGO","tour",1993,30500
"AGO","tour",1994,39600
"AGO","tour",1995,44100
"AGO","tour",1996,42500
"AGO","tour",1997,48300
"AGO","tour",1998,59800
"AGO","tour",1999,73600
"AGO","tour",2000,56500
"AGO","tour",2001,52700
"AGO","tour",2002,53400
"AGO","tour",2003,55700
"AGO","tour",2004,60300
"AGO","tour",2005,64700
"AGO","tour",2006,48000
"AGO","tour",2007,59300
"AGO","tour",2008,56200
"AGO","tour",2009,81300
"AGO","tour",2010,70800
"AGO","tour",2011,59200
"AGO","tour",2012,58100
"AGO","tour",2013,63700
"AIA","cf",1981,632.8
"AIA","cf",1982,632.8
"AIA","cf",1990,632.8
"AIA","cf",1995,632.8
"AIA","cf",2001,498.33
"AIA","cf",2002,498.33
"AIA","cf",2003,498.33
"AIA","cf",2004,498.33
"AIA","cf",2005,402
"AIA","cf",2006,385
"AIA","cf",2007,280
"AIA","cf",2008,244.2
"AIA","cf",2009,188
"AIA","cf",2010,188
"AIA","cf",2011,188
"AIA","cf",2012,191.8
"AIA","tour",1988,1700
"AIA","tour",1989,1200
"AIA","tour",1990,1300
"AIA","tour",1991,1300
"AIA","tour",1992,1300
"AIA","tour",1993,1500
"AIA","tour",1994,1700
"AIA","tour",1995,1600
"AIA","tour",1996,1600
"AIA","tour",1997,1700
"AIA","tour",1998,1600
"AIA","tour",1999,1400
"AIA","tour",2000,1300
"AIA","tour",2001,1400
"AIA","tour",2002,1200
"AIA","tour",2003,1400
"AIA","tour",2004,1200
"AIA","tour",2005,1400
"AIA","tour",2006,1500
"AIA","tour",2007,1300
"AIA","tour",2008,1200
"AIA","tour",2009,1400
"AIA","tour",2010,1500
"AIA","tour",2011,1700
"AIA","tour",2012,1400
"AIA","tour",2013,1400
"Alaska","aq",2005,2943
"Alaska","aq",2006,2964
"Alaska","aq",2007,3230
"Alaska","aq",2008,3027.5
"Alaska","aq",2009,2914
"Alaska","aq",2010,2951.5
"Alaska","aq",2011,0
"Alaska","aq",2012,0
"Alaska","tour",1988,4265500
"Alaska","tour",1989,4331700
"Alaska","tour",1990,4483600
"Alaska","tour",1991,4536800
"Alaska","tour",1992,4617900
"Alaska","tour",1993,4784600
"Alaska","tour",1994,4893600
"Alaska","tour",1995,5061400
"Alaska","tour",1996,5397200
"Alaska","tour",1997,5641200
"Alaska","tour",1998,5785400
"Alaska","tour",1999,5857600
"Alaska","tour",2000,5930200
"Alaska","tour",2001,5765800
"Alaska","tour",2002,5624800
"Alaska","tour",2003,5634700
"Alaska","tour",2004,5780000
"Alaska","tour",2005,5915200
"Alaska","tour",2006,6026700
"Alaska","tour",2007,6086300
"Alaska","tour",2008,5828600
"Alaska","tour",2009,5341500
"Alaska","tour",2010,5272600
"Alaska","tour",2011,5433100
"Alaska","tour",2012,5367500
"Alaska","tour",2013,5434700
"ALB","aq",2005,250
"ALB","aq",2006,430
"ALB","aq",2007,360
"ALB","aq",2008,460
"ALB","aq",2009,430
"ALB","aq",2010,400
"ALB","aq",2011,820
"ALB","aq",2012,400
"ALB","cf",1970,3164
"ALB","cf",1980,4429.6
"ALB","cf",1981,4746
"ALB","cf",1982,4746
"ALB","cf",1983,4904.2
"ALB","cf",1984,5062.4
"ALB","cf",1985,5220.6
"ALB","cf",1986,5448.408
"ALB","cf",1987,5644.576
"ALB","cf",1988,5796.448
"ALB","cf",1989,6158.726
"ALB","cf",1990,6335.91
"ALB","cf",1991,6328
"ALB","cf",1992,4746
"ALB","cf",1993,3164
"ALB","cf",1994,2373
"ALB","cf",1995,1882.58
"ALB","cf",1996,2075.584
"ALB","cf",1997,1896.818
"ALB","cf",1998,2048.69
"ALB","cf",1999,2325.54
"ALB","cf",2000,2452.1
"ALB","cf",2001,2752.68
"ALB","cf",2002,3306.38
"ALB","cf",2003,3986.64
"ALB","cf",2004,4429.6
"ALB","cf",2005,1770
"ALB","cf",2006,1640
"ALB","cf",2007,1660
"ALB","cf",2008,1702
"ALB","cf",2009,1600
"ALB","cf",2010,1560
"ALB","cf",2011,1760
"ALB","cf",2012,1880
"ALB","mar",1995,163.45689268133
"ALB","mar",1996,163.45689268133
"ALB","mar",1997,172.53783116253
"ALB","mar",1998,181.61876964373
"ALB","mar",1999,217.9425235488
"ALB","mar",2000,106.93162502131
"ALB","mar",2001,137.48351788736
"ALB","mar",2002,168.03541075341
"ALB","mar",2003,168.03541075341
"ALB","mar",2004,190.94933040788
"ALB","mar",2005,370.6567597149
"ALB","mar",2006,637.5296266386
"ALB","mar",2007,533.7457340447
"ALB","mar",2008,682.0084378912
"ALB","tour",1988,41500
"ALB","tour",1989,41900
"ALB","tour",1990,45900
"ALB","tour",1991,57300
"ALB","tour",1992,70700
"ALB","tour",1993,41200
"ALB","tour",1994,30700
"ALB","tour",1995,28400
"ALB","tour",1996,21900
"ALB","tour",1997,24700
"ALB","tour",1998,22600
"ALB","tour",1999,32800
"ALB","tour",2000,43000
"ALB","tour",2001,37900
"ALB","tour",2002,42100
"ALB","tour",2003,37500
"ALB","tour",2004,36200
"ALB","tour",2005,41800
"ALB","tour",2006,45900
"ALB","tour",2007,52200
"ALB","tour",2008,53200
"ALB","tour",2009,58400
"ALB","tour",2010,51300
"ALB","tour",2011,49000
"ALB","tour",2012,46300
"ALB","tour",2013,41100
"ARE","aq",2005,40
"ARE","aq",2006,0
"ARE","aq",2007,0
"ARE","aq",2008,0
"ARE","aq",2009,27
"ARE","aq",2010,0
"ARE","aq",2011,44
"ARE","aq",2012,0
"ARE","cf",1970,9492
"ARE","cf",1972,10195.99
"ARE","cf",1975,11282.824
"ARE","cf",1976,5858.7788
"ARE","cf",1977,5858.7788
"ARE","cf",1978,5858.7788
"ARE","cf",1979,10560.0873
"ARE","cf",1980,10560.0873
"ARE","cf",1981,10560.0873
"ARE","cf",1982,11567.1094
"ARE","cf",1983,11567.1094
"ARE","cf",1984,11567.1094
"ARE","cf",1985,10124.8
"ARE","cf",1986,10124.8
"ARE","cf",1987,15258.39
"ARE","cf",1988,13965.105
"ARE","cf",1989,15269.1476
"ARE","cf",1990,14724.7814
"ARE","cf",1991,14724.7814
"ARE","cf",1992,14826.8204
"ARE","cf",1993,17159.7958
"ARE","cf",1994,19008.7583
"ARE","cf",1995,19655.2426
"ARE","cf",1996,18616.8969
"ARE","cf",1997,23887.8836
"ARE","cf",1998,25922.0983
"ARE","cf",1999,25097.8763
"ARE","cf",2000,21504.2842
"ARE","cf",2001,16573.032
"ARE","cf",2002,21919.401
"ARE","cf",2003,19367.1604
"ARE","cf",2004,14642.992
"ARE","cf",2005,11078.4
"ARE","cf",2006,0
"ARE","cf",2007,21220
"ARE","cf",2008,20649
"ARE","cf",2009,20812
"ARE","cf",2010,18326
"ARE","cf",2011,24765
"ARE","cf",2012,0
"ARE","mar",2004,75.6
"ARE","mar",2005,108
"ARE","tour",1988,26900
"ARE","tour",1989,34600
"ARE","tour",1990,41100
"ARE","tour",1991,38300
"ARE","tour",1992,45900
"ARE","tour",1993,38200
"ARE","tour",1994,49400
"ARE","tour",1995,61300
"ARE","tour",1996,67500
"ARE","tour",1997,71000
"ARE","tour",1998,68900
"ARE","tour",1999,83000
"ARE","tour",2000,82300
"ARE","tour",2001,93200
"ARE","tour",2002,106200
"ARE","tour",2003,106500
"ARE","tour",2004,105600
"ARE","tour",2005,156800
"ARE","tour",2006,153000
"ARE","tour",2007,177400
"ARE","tour",2008,220100
"ARE","tour",2009,216400
"ARE","tour",2010,268800
"ARE","tour",2011,251500
"ARE","tour",2012,263900
"ARE","tour",2013,291300
"ARG","aq",2005,0
"ARG","aq",2006,0
"ARG","aq",2007,0
"ARG","aq",2008,0
"ARG","aq",2009,0
"ARG","aq",2010,0
"ARG","aq",2011,525
"ARG","aq",2012,619
"ARG","cf",1970,4195.464
"ARG","cf",1971,3986.64
"ARG","cf",1972,4160.66
"ARG","cf",1973,5173.14
"ARG","cf",1974,3981.894
"ARG","cf",1975,3898.839
"ARG","cf",1976,5562.312
"ARG","cf",1977,787.045
"ARG","cf",1980,7910
"ARG","cf",1982,10309.103
"ARG","cf",1983,11141.235
"ARG","cf",1984,11190.277
"ARG","cf",1985,10298.82
"ARG","cf",1986,10496.57
"ARG","cf",1987,11074
"ARG","cf",1988,11262.258
"ARG","cf",1989,11774.826
"ARG","cf",1990,12315.87
"ARG","cf",1996,19490.24
"ARG","cf",2003,12050.094
"ARG","cf",2004,12299.259
"ARG","cf",2005,14631
"ARG","cf",2006,16918
"ARG","cf",2007,16554
"ARG","cf",2008,22598
"ARG","cf",2009,15008
"ARG","cf",2010,14769
"ARG","cf",2011,15158
"ARG","cf",2012,14268
"ARG","mmw",1991,26.81
"ARG","mmw",1994,67.025
"ARG","mmw",1998,126.39
"ARG","mmw",2006,367.68
"ARG","tour",1988,351000
"ARG","tour",1989,420300
"ARG","tour",1990,420600
"ARG","tour",1991,410700
"ARG","tour",1992,430100
"ARG","tour",1993,443200
"ARG","tour",1994,337600
"ARG","tour",1995,343800
