SpeciesCode,ScientificName,ScientificFamilyName,EnglishName,Class,FIS target,Tax_Lev
ALZ,Diomedeidae,Diomedeidae,Albatrosses,B,n,4
BEL,Delphinapterus leucas,Monodontidae,White whale,B,n,6
BIZ,Aves,Aves,Birds,B,n,2
CAM,Catharacta maccormicki,Laridae,South polar skua,B,n,6
CAQ,Catharacta lonnbergi,Laridae,Antarctic skua,B,n,6
CDI,Calonectris diomedea,Procellariidae,Cory's Shearwater,B,n,6
CSK,Catharacta skua,Laridae,Great/Brown Skua,B,n,6
DAC,Daption capense,Procellariidae,Cape petrel,B,n,6
DAM,Diomedea amsterdamensis,Diomedeidae,Amsterdam Albatross,B,n,6
DCH,Diomedea chionoptera,Diomedeidae,Snowy Albatross,B,n,6
DCR,Thalassarche chlororhynchos,Diomedeidae,Yellow-nosed Albatross,B,n,6
DCU,Thalassarche cauta,Diomedeidae,Shy Albatross,B,n,6
DER,Thalassarche eremita,Diomedeidae,Chatham Island Albatross,B,n,6
DIB,Thalassarche bulleri,Diomedeidae,Buller's Albatross,B,n,6
DIC,Thalassarche chrysostoma,Diomedeidae,Grey headed albatross,B,n,6
DIM,Thalassarche melanophris,Diomedeidae,Southern Black browed albatross,B,n,6
DIP,Diomedea epomophora,Diomedeidae,Southern Royal albatross,B,n,6
DIS,Diomedea sanfordi,Diomedeidae,Northern Royal Albatross,B,n,6
DIX,Diomedea exulans,Diomedeidae,Wandering albatross,B,n,6
DLP,Delphinidae,Delphinidae,Dolphins,B,n,4
DMP,Diomedea impavida,Diomedeidae,Northern Black-Browed Albatross,B,n,6
DSL,Diomedea salvini,Diomedeidae,Salvin's Albatross,B,n,6
EUC,Eudyptes chrysolophus,Spheniscidae,Macaroni penguin,B,n,6
EVQ,Eudyptes chrysocome,Spheniscidae,Rockhopper penguin,B,n,6
FGQ,Fregetta tropica,Hydrobatidae,Black-bellied storm-petrel,B,n,6
FGZ,Fregetta spp,Hydrobatidae,B/W bellied storm petrels nei,B,n,5
FUG,Fulmarus glacialoides,Procellariidae,Southern fulmar,B,n,6
HBE,Halobaena caerulea,Procellariidae,Blue petrel,B,n,6
ISQ,Phalacrocorax atriceps,Phalacrocoracidae,Imperial/blue-eye shag,B,n,6
KPY,Aptenodytes patagonicus,Spheniscidae,King penguin,B,n,6
LDO,Larus dominicanus,Laridae,Southern Black-backed Gull,B,n,6
LRD,Larus spp,Laridae,Gulls,B,n,5
MAH,Macronectes halli,Procellariidae,Northern giant petrel,B,n,6
MAI,Macronectes giganteus,Procellariidae,Antarctic/Southern giant petrel,B,n,6
MBX,Macronectes spp,Procellariidae,Giant-petrels nei,B,n,5
OCO,Oceanites oceanicus,Oceanitidae,Wilson's storm petrel,B,n,6
PCI,Procellaria cinerea,Procellariidae,Grey Petrel,B,n,6
PCN,Procellaria conspicillata,Procellariidae,Spectacled Petrel,B,n,6
PCW,Procellaria westlandica,Procellariidae,Westland Petrel,B,n,6
PDM,Pterodroma macroptera,Procellariidae,Great-winged Petrel,B,n,6
PFC,Puffinus carneipes,Procellariidae,Flesh-footed Shearwater,B,n,6
PFG,Puffinus griseus,Procellariidae,Sooty Shearwater,B,n,6
PFT,Puffinus tenuirostris,Procellariidae,Short-tailed Shearwater,B,n,6
PHE,Phoebetria palpebrata,Diomedeidae,Light-mantled Sooty Albatross,B,n,6
PHU,Phoebetria fusca,Diomedeidae,Sooty albatross,B,n,6
PRK,Procellaria parkinsoni,Procellariidae,Parkinson's Petrel,B,n,6
PRO,Procellaria aequinoctialis,Procellariidae,White chinned petrel,B,n,6
PRX,Procellariidae,Procellariidae,Petrels and shearwaters,B,n,4
PTZ,Procellaria spp,Procellariidae,Petrels and Shearwaters,B,n,5
PUC,Puffinus creatopus,Procellariidae,Pink-footed Shearwater,B,n,6
PUG,Puffinus gravis,Procellariidae,Great Shearwater,B,n,6
PVB,Pterodroma brevirostris,Procellariidae,Kerguelen petrel,B,n,6
PVF,Spheniscidae,Spheniscidae,Penguins nei,B,n,4
PVH,Pterodroma inexpectata,Procellariidae,Mottled petrel,B,n,6
PWD,Pachyptila desolata,Procellariidae,Antarctic prion,B,n,6
PWL,Pterodroma lessonii,Procellariidae,White-headed petrel,B,n,6
PWP,Pagodroma nivea,Procellariidae,Snow petrel,B,n,6
PWW,Pagodroma spp,Procellariidae,Snow petrels nei,B,n,5
PWX,Pachyptila spp,Procellariidae,Prions nei,B,n,5
PWZ,Pagodroma confusa,Procellariidae,Greater snow petrel,B,n,6
PYD,Pygoscelis adeliae,Spheniscidae,Adelie penguin,B,n,6
PYN,Pygoscelis antarctica,Spheniscidae,Chinstrap penguin,B,n,6
PYP,Pygoscelis papua,Spheniscidae,Gentoo penguin,B,n,6
SKZ,Stercorariidae,Stercorariidae,Skuas,B,n,4
SVI,Sterna vittata,Sternidae,Antarctic Tern,B,n,6
SWS,Chionis alba,Chionididae,Snowy sheathbill,B,n,6
TAA,Thalassoica antarctica,Procellariidae,Antarctic petrel,B,n,6
TQW,Thalassarche impavida,Procellariidae,Campbell albatross,B,n,6
ADK,Artedidraco skottsbergi,Harpagiferidae,Plunderfish,F,y,6
AEM,Aethotaxis mitopteryx,Nototheniidae,Longfin icedevil,F,y,6
AKN,Akarotaxis nudiceps,Bathydraconidae,,F,y,6
ALH,Alepocephalus spp,Alepocephalidae,Slickheads nei,F,y,5
ALI,Alepisaurus spp,Alepisauridae,Lancetfishes nei,F,y,5
ANA,Engraulis anchoita,Engraulidae,Argentine anchovy,F,y,6
AND,Tylosurus acus,Belonidae,Agujon needlefish,F,y,6
ANH,Anotopterus pharao,Anotopteridae,Daggertooth,F,y,6
ANI,Champsocephalus gunnari,Channichthyidae,Mackerel icefish,F,y,6
ANS,Pleuragramma antarcticum,Nototheniidae,Antarctic silverfish,F,y,6
ANT,Antimora rostrata,Moridae,Blue antimora,F,y,6
ART,Artedidraco spp,Harpagiferidae,,F,y,5
AZT,Artedidraco mirus,Artedidraconidae,Plunderfish,F,y,6
BAA,Bathylagus antarcticus,Bathylagidae,deepsea smelt,F,y,6
BAM,Bathyraja maccaini,Rajidae,McCain's skate,F,y,6
