Species,Average of Trujillo (average of 3 indices),source
Abalones nei,0.55,sp_average
Aquatic plants nei,0.866666667,sp_average
Arctic char,0.533333333,sp_average
Atlantic bluefin tuna,0.316666667,sp_average
Atlantic cod,0.283333333,sp_average
Atlantic halibut,0.533333333,sp_average
Atlantic salmon,0.378947368,sp_average
Atlantic wolffish,0.533333333,sp_average
Bagrid catfish,0.5,sp_average
Baltic prawn,0.466666667,sp_average
Banana prawn,0.275,sp_average
Barramundi,0.190909091,sp_average
Blackchin tilapia,0.566666667,sp_average
Blood cockle,0.666666667,sp_average
Blue mussel,0.902380952,sp_average
Brill,0.566666667,sp_average
Brown seaweeds,0.933333333,sp_average
Carpet shells nei,0.8,sp_average
"Clams, etc nei",0.766666667,sp_average
Coho(=Silver)salmon,0.34,sp_average
Com.2-banded seabream,0.533333333,sp_average
Common cuttlefish,0.6,sp_average
Common edible cockle,0.733333333,sp_average
Common sole,0.533333333,sp_average
Cupped oysters nei,0.888095238,sp_average
European eel,0.444444444,sp_average
European flat oyster,0.823076923,sp_average
European seabass,0.452222222,sp_average
False abalone,0.733333333,sp_average
Flat and cupped oysters nei,0.833333333,sp_average
Flat oysters nei,0.866666667,sp_average
Flatfishes nei,0.466666667,sp_average
Flathead grey mullet,0.412820513,sp_average
Freshwater fishes nei,0.466666667,sp_average
Gasar cupped oyster,0.733333333,sp_average
Giant river prawn,0.185714286,sp_average
Gilthead seabream,0.286111111,sp_average
Gobies nei,0.533333333,sp_average
Gracilaria seaweeds,0.85,sp_average
Grooved carpet shell,0.866666667,sp_average
Groupers nei,0.333333333,sp_average
"Groupers, seabasses nei",0.333333333,sp_average
Haddock,0.533333333,sp_average
Indian white prawn,0.4,sp_average
Kuruma prawn,0.444444444,sp_average
Laver (Nori),0.693333333,sp_average
Marine crustaceans nei,0.3,sp_average
Marine fishes nei,0.477777778,sp_average
Marine molluscs nei,0.533333333,sp_average
Mediterranean mussel,0.82,sp_average
Milkfish,0.414285714,sp_average
Mullets nei,0.561111111,sp_average
Natantian decapods nei,0.533333333,sp_average
Nile tilapia,0.5,sp_average
Octopuses nei,0.533333333,sp_average
Pacific cupped oyster,0.757142857,sp_average
Penaeus shrimps nei,0.266666667,sp_average
Perlemoen abalone,0.633333333,sp_average
Pullet carpet shell,0.833333333,sp_average
Rainbow trout,0.566666667,sp_average
Razor clams nei,0.833333333,sp_average
Red bait,0.6,sp_average
Red drum,0.366666667,sp_average
River Plata mussel,0.833333333,sp_average
Sargo breams nei,0.4,sp_average
Sea mussels nei,0.791666667,sp_average
Sea trout,0.466666667,sp_average
Sea urchins nei,0.5,sp_average
Seabasses nei,0.5,sp_average
Silver carp,0.533333333,sp_average
Silversides nei,0.566666667,sp_average
Smooth mactra,0.766666667,sp_average
Snappers nei,0.433333333,sp_average
So-iuy mullet,0.633333333,sp_average
Southern bluefin tuna,0.1,sp_average
Spotted wolffish,0.533333333,sp_average
Sturgeons nei,0.566666667,sp_average
Tilapias nei,0.366666667,sp_average
Torpedo catfishes nei,0.366666667,sp_average
Trouts nei,0.433333333,sp_average
Tuna-like fishes nei,0.1,sp_average
Turbot,0.5,sp_average
Whiteleg shrimp,0.374509804,sp_average
Yellowfin tuna,0.1,sp_average
Yesso scallop,0.833333333,sp_average
Importo totale,0.52084494,sp_average
Eucheuma seaweeds nei,0.933333333,genus_average
Japanese kelp,0.933333333,genus_average
Spiny eucheuma,0.933333333,genus_average
Wakame,0.933333333,genus_average
Warty gracilaria,0.933333333,genus_average
American cupped oyster,0.887878788,genus_average
Brown-marbled grouper,0.333333333,genus_average
Orange-spotted grouper,0.333333333,genus_average
Spotted coralgrouper,0.333333333,genus_average
Chinook(=Spring=King)salmon,0.370833333,genus_average
Peruvian calico scallop,0.833333333,genus_average
Scallops nei,0.833333333,genus_average
Green mussel,0.8,genus_average
Korean mussel,0.8,genus_average
New Zealand mussel,0.8,genus_average
Blue shrimp,0.372222222,genus_average
Greasyback shrimp,0.372222222,genus_average
Metapenaeus shrimps nei,0.372222222,genus_average
John's snapper,0.433333333,genus_average
Mangrove red snapper,0.433333333,genus_average
Snappers nei,0.433333333,genus_average
Blue tilapia,0.366666667,genus_average
Mozambique tilapia,0.366666667,genus_average
Nori nei,0.733333333,genus_average
Japanese carpet shell,0.841666667,genus_average
