area_fao,area_Truj
Atantic,(Atl)
Pacific,(Pac)
Mediterranean and Black Sea,(Med)
"Indian Ocean, Eastern",(India)
"Indian Ocean, Eastern",(Ind)
Asia - Inland waters,(East)
Africa - Inland waters,(Med)
