cn_nm_fao,cn_nm_Truj
Iran (Islamic Republic of),Iran
Faroe Islands,Faeroe Ils.
"Korea, Dem. People's Rep","Korea, Dem."
Republic of Korea,Korea
Russian Federation,Russian Fed.
Taiwan Province of China,Taiwan
United Kingdom of Great Britain and Northern Ireland,United Kingdom
United States of America,U.S. of America
"Venezuela, Boliv Rep of",Venezuela
