country,species_Truj,species_fao,environment
Australia,Giant tiger prawn (br),Giant tiger prawn,Brackishwater
Australia,Pacific cupped oyster (br),Pacific cupped oyster,Brackishwater
Egypt,European seabass (br),European seabass,Brackishwater
Egypt,Gilthead seabream (br),Gilthead seabream,Brackishwater
France,European seabass (br),European seabass,Brackishwater
Greece,European eel (br),European eel,Brackishwater
Greece,European seabass (br),European seabass,Brackishwater
Greece,Flathead grey mullet (br),Flathead grey mullet,Brackishwater
Greece,Gilthead seabream (br),Gilthead seabream,Brackishwater
Iceland,Atlantic salmon (br),Atlantic salmon,Brackishwater
Indonesia,Barramundi (br),Barramundi,Brackishwater
Italy,Cupped oysters nei (br),Cupped oysters nei,Brackishwater
Italy,European eel (br),European eel,Brackishwater
Italy,European seabass (br),European seabass,Brackishwater
Italy,Flathead grey mullet (br),Flathead grey mullet,Brackishwater
Italy,Gilthead seabream (br),Gilthead seabream,Brackishwater
Italy,Kuruma prawn (br),Kuruma prawn,Brackishwater
Mexico,Whiteleg shrimp (br),Whiteleg shrimp,Brackishwater
Philippines,Banana prawn (br),Banana prawn,Brackishwater
Philippines,Giant tiger prawn (br),Giant tiger prawn,Brackishwater
Philippines,"Groupers, seabasses nei (br)","Groupers, seabasses nei",Brackishwater
Philippines,Milkfish (br),Milkfish,Brackishwater
Portugal,European seabass (br),European seabass,Brackishwater
Portugal,Gilthead seabream (br),Gilthead seabream,Brackishwater
Portugal,Grooved carpet shell (br),Grooved carpet shell,Brackishwater
Taiwan,Abalones nei (br),Abalones nei,Brackishwater
Taiwan,Barramundi (br),Barramundi,Brackishwater
Taiwan,Flathead grey mullet (br),Flathead grey mullet,Brackishwater
Taiwan,Groupers nei (br),Groupers nei,Brackishwater
Taiwan,Kuruma prawn (br),Kuruma prawn,Brackishwater
Taiwan,Milkfish (br),Milkfish,Brackishwater
Taiwan,Pacific cupped oyster (br),Pacific cupped oyster,Brackishwater
Ukraine,Mullets nei (br),Mullets nei,Brackishwater
