sp_name_2014,rename,new.name,exclude
[Porphyra columbina],0,[Porphyra columbina],1
American bull frog,0,American bull frog,1
Atlantic spadefish,0,Atlantic spadefish,1
Babberlocks,0,Babberlocks,1
Dulse,0,Dulse,1
Giant kelp,0,Giant kelp,1
Great blue spotted mudskipper,0,Great blue spotted mudskipper,1
Mozuku,0,Mozuku,1
Red swamp crawfish,0,Red swamp crawfish,1
Tangle,0,Tangle,1
Queen conch,1,Stromboid conchs nei,0
Pompanos nei,1,Pompano,0
Sciaenas nei,1,Meagre,0
[Spirulina maxima],0,[Spirulina maxima],1
Aquatic plants nei,0,Aquatic plants nei,1
Atipa,0,Atipa,1
Bagrid catfish,0,Bagrid catfish,1
Bighead carp,0,Bighead carp,1
Black bullhead,0,Black bullhead,1
Black catfishes nei,0,Black catfishes nei,1
Blackchin tilapia,0,Blackchin tilapia,1
Blue tilapia,0,Blue tilapia,1
Bright green nori,0,Bright green nori,1
Brown seaweeds,0,Brown seaweeds,1
Caulerpa seaweeds,0,Caulerpa seaweeds,1
Common carp,0,Common carp,1
Constricted tagelus,0,Constricted tagelus,1
Cyprinids nei,0,Cyprinids nei,1
Elkhorn sea moss,0,Elkhorn sea moss,1
Eucheuma seaweeds nei,0,Eucheuma seaweeds nei,1
Fragile codium,0,Fragile codium,1
Freshwater fishes nei,0,Freshwater fishes nei,1
Freshwater siluroids nei,0,Freshwater siluroids nei,1
Fusiform sargassum,0,Fusiform sargassum,1
Gelidium seaweeds,0,Gelidium seaweeds,1
Giant river prawn,0,Giant river prawn,1
Gracilaria seaweeds,0,Gracilaria seaweeds,1
Grass carp(=White amur),0,Grass carp(=White amur),1
Green laver,0,Green laver,1
Green turtle,0,Green turtle,1
Harpoon seaweeds,0,Harpoon seaweeds,1
Japanese isinglass,0,Japanese isinglass,1
Japanese kelp,0,Japanese kelp,1
Laver (Nori),0,Laver (Nori),1
Mozambique tilapia,0,Mozambique tilapia,1
Nile tilapia,0,Nile tilapia,1
Nori nei,0,Nori nei,1
Oriental cyclina,0,Oriental cyclina,1
Pangas catfishes nei,0,Pangas catfishes nei,1
Red seaweeds,0,Red seaweeds,1
River eels nei,0,River eels nei,1
River Plata mussel,0,River Plata mussel,1
Sabaki tilapia,0,Sabaki tilapia,1
Sea belt,0,Sea belt,1
Seaweeds nei,0,Seaweeds nei,1
Short-finned eel,0,Short-finned eel,1
Silver barb,0,Silver barb,1
Silver carp,0,Silver carp,1
Silver seabream,0,Silver seabream,1
Silversides(=Sand smelts) nei,0,Silversides(=Sand smelts) nei,1
Sixfinger threadfin,0,Sixfinger threadfin,1
Spiny eucheuma,0,Spiny eucheuma,1
Tilapias nei,0,Tilapias nei,1
Torpedo-shaped catfishes nei,0,Torpedo-shaped catfishes nei,1
Wakame,0,Wakame,1
Wakame nei,0,Wakame nei,1
Warty gracilaria,0,Warty gracilaria,1
Salmonoids nei,0,Salmonoids nei,0
Yesso scallop,0,Yesso scallop,0
Yellowfin tuna,0,Yellowfin tuna,0
Yellowfin seabream,0,Yellowfin seabream,0
Yellowback seabream,0,Yellowback seabream,0
Whitemouth croaker,0,Whitemouth croaker,0
Whiteleg shrimp,0,Whiteleg shrimp,0
White-spotted spinefoot,0,White-spotted spinefoot,0
White trevally,0,White trevally,0
White seabream,0,White seabream,0
Warty venus,0,Warty venus,0
Venus clams nei,0,Venus clams nei,0
Two-spot red snapper,0,Two-spot red snapper,0
Turbot,0,Turbot,0
Tuberculate abalone,0,Tuberculate abalone,0
Trumpet emperor,0,Trumpet emperor,0
Tropical spiny lobsters nei,0,Tropical spiny lobsters nei,0
Thinlip grey mullet,0,Thinlip grey mullet,0
Sydney cupped oyster,0,Sydney cupped oyster,0
"Swimming crabs, etc. nei",0,"Swimming crabs, etc. nei",0
Sturgeons nei,0,Sturgeons nei,0
Stromboid conchs nei,0,Stromboid conchs nei,0
