"targets","layer","layer_old","name","description","fld_value","units","filename"
"CW","cw_chemical_trend","rn_cw_chemical_trend","Pesticide consumption as a proxy for trend in chemical pollution","shipping as a proxy for oil pollution: trend assumed to be zero based on status of 0","trend","trend score","cw_chemical_trend.csv"
"CW","cw_trash_trend","rn_cw_trash_trend","Coastal human population as a proxy for trend in trash","trash: trend assumed to be zero based on status of 0","trend","trend score","cw_trash_trend.csv"
"ECO","eco","rn_eco","crew data for tourism and fisheries",,"crew","crew","eco.csv"
"FIS","fis_status","fis_status","Modeled fisheries status",,"status","status score","fis_status.csv"
"FIS","fis_trend","fis_trend","Modeled fisheries status",,"trend","trend score","fis_trend.csv"
"HAB CS CP","hab_extent","rnk_hab_extent","Habitat extent","Modeled combined habitat extent (sea ice extent and shoreline)","km2","km^2","hab_extent.csv"
"HAB CS CP","hab_health","rnk_hab_health","Habitat health","Modeled combined habitat health condition trend (sea ice extent and shoreline)","health","value","hab_health.csv"
"HAB CS CP","hab_trend","rnk_hab_trend","Habitat health trend","Modeled combined habitat health trend (sea ice extent and shoreline)","trend","trend score","hab_trend.csv"
"ICO","ico_status","rn_ico_status","Species lists and IUCN threat categories as a proxy for species richness status/trend","Calculated using methods/data of SPP analysis, but with a subset of taxa determined to be iconic species","score","status score","ico_status.csv"
"ICO","ico_trend","rn_ico_trend","Species lists and IUCN threat categories as a proxy for species richness status/trend","Calculated using methods/data of SPP analysis, but with a subset of taxa determined to be iconic species","score","trend score","ico_trend.csv"
"LSP","lsp_prot_area_status","rny_lsp_prot_area_status","Coastal marine protected areas throughout CCAMLR regions and coastal protected areas inland 1km","Proportion of protected areas relative to entire ocean ccamlr regions (mpa) and score of 1 for all 1 km inland areas, weighted by relative areas of ccamlr ocean and inland regions","status","status","lsp_prot_area_status.csv"
"LSP","lsp_prot_area_trend","rny_lsp_prot_area_trend","Coastal marine protected areas throughout CCAMLR regions and coastal protected areas inland 1km","Proportion of protected areas relative to entire ocean ccamlr regions (mpa) and score of 1 for all 1 km inland areas, weighted by relative areas of ccamlr ocean and inland regions","trend","trend","lsp_prot_area_trend.csv"
"NP","np_status","np_status","Status of krill fisheries (calculated using fisheries method)","Calculated using c_cmsy scores and catch data for Euphausia superba","status","value","np_status.csv"
"NP","np_trend","np_trend","Trend of krill fisheries (calculated using fisheries method)","Calculated using c_cmsy scores and catch data for Euphausia superba","trend","value","np_trend.csv"
"SPP","spp_status","rn_spp_status","Species lists and IUCN threat categories as a proxy for species richness status/trend","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists ","score","status score","spp_status.csv"
"SPP","spp_trend","rn_spp_trend","Species lists and IUCN threat categories as a proxy for species richness status/trend","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists ","score","trend score","spp_trend.csv"
"TR","tr_status","rn_tr_status","Modeled tourism status","Modeled tourism status with updated approach","status","status score","tr_status.csv"
"TR","tr_trend","rn_tr_trend","Modeled tourism trend","Modeled tourism trend with updated approach","trend","trend score","tr_trend.csv"
"pressures","cc_acid","cc_acid","Ocean acidification","Modeled distribution of the aragonite saturation state (AAS) of the ocean in pre-industrial (~1870) and modern times (2000-2009) from Halpern et al. 2008","pressure_score","pressure score","cc_acid.csv"
"pressures","cc_slr","cc_slr","Sea level rise","Modeled sea level rise after Halpern et al. 2008","pressure_score","pressure score","cc_slr.csv"
"pressures","cc_sst","cc_sst","Sea surface temperature (SST) anomalies","Modeled sea level rise after Halpern et al. 2008","pressure_score","pressure score","cc_sst.csv"
"pressures","fp_com_hb","fp_com_hb","High bycatch caused by commercial fishing ","Statistics of destructive commercial fishing practices by 5 different gear types (developed in Halpern et al. 2008)","pressure_score","pressure score","fp_com_hb.csv"
"pressures","fp_com_lb","fp_com_lb","Low bycatch caused by commercial fishing ","Statistics of least destructive commercial fishing practices by 2 different gear types (developed in Halpern et al. 2008)","pressure_score","pressure score","fp_com_lb.csv"
"pressures","sp_alien","sp_alien","Alien species","The number and type of invasive and harmful invasive species in each marine ecoregion","pressure_score","pressure score","sp_alien.csv"
"pressures CW","po_chemicals","po_chemicals","Ocean-based chemical pollution (shipping)","Ocean-based chemical pollution from commercial shipping traffic","pressure_score","pressure score","po_chemicals.csv"
"pressures CW","po_trash","po_trash","Trash pollution","Density of trash from coastal land and sea","pressure_score","pressure score","po_trash.csv"
"pressures LE","le_sector_weight","rnk_le_sector_weight","Jobs weighting","Jobs weighting by sector (defaulting to 1)","weight","value","le_sector_weight.csv"
"regions","rgn_area","rn_rgn_area","regions by type (eez, subocean, unclaimed) and label","regions by type (eez, subocean, unclaimed) and label","area_km2","km^2","rgn_area.csv"
"regions","rgn_global","rnk_rgn_global","regions used in global analysis for Nature 2012, subset of regions_labels by type=eez and not deleted or disputed ","regions used in global analysis for Nature 2012, subset of regions_labels by type=eez and not deleted or disputed ","label","label","rgn_global.csv"
"resilience","MPAs","MPAs",,,"resilience score","resilience score","MPAs.csv"
"resilience","Marpol_aliens","Marpol_aliens",,,"resilience score","resilience score","Marpol_aliens.csv"
"resilience","Marpol_poll","Marpol_poll",,,"resilience score","resilience score","Marpol_poll.csv"
"resilience","UNEP_gap_report","UNEP_gap_report",,,"resilience score","resilience score","UNEP_gap_report.csv"
"resilience","UNFCCC_Kyoto","UNFCCC_Kyoto",,,"resilience score","resilience score","UNFCCC_Kyoto.csv"
"resilience","rfmo","rfmo",,,"resilience score","resilience score","rfmo.csv"
