"Taxonid","EEZID","stocklong","notes","FAOAreaID","id"
600107,548,"Skipjack tuna Central Western Pacific","",81,"548_600107"
600107,580,"Skipjack tuna Central Western Pacific","",61,"580_600107"
600107,580,"Skipjack tuna Central Western Pacific","",71,"580_600107"
600107,608,"Skipjack tuna Central Western Pacific","",61,"608_600107"
600107,608,"Skipjack tuna Central Western Pacific","",71,"608_600107"
600107,612,"Skipjack tuna Central Western Pacific","",77,"612_600107"
600107,612,"Skipjack tuna Central Western Pacific","",81,"612_600107"
600107,626,"Skipjack tuna Central Western Pacific","",57,"626_600107"
600107,626,"Skipjack tuna Central Western Pacific","",71,"626_600107"
600107,704,"Skipjack tuna Central Western Pacific","",61,"704_600107"
600107,704,"Skipjack tuna Central Western Pacific","",71,"704_600107"
600107,772,"Skipjack tuna Central Western Pacific","",71,"772_600107"
600107,772,"Skipjack tuna Central Western Pacific","",77,"772_600107"
600107,776,"Skipjack tuna Central Western Pacific","",71,"776_600107"
600107,776,"Skipjack tuna Central Western Pacific","",77,"776_600107"
600107,776,"Skipjack tuna Central Western Pacific","",81,"776_600107"
600107,846,"Skipjack tuna Central Western Pacific","",71,"846_600107"
600107,846,"Skipjack tuna Central Western Pacific","",77,"846_600107"
600107,872,"Skipjack tuna Central Western Pacific","",61,"872_600107"
600107,872,"Skipjack tuna Central Western Pacific","",71,"872_600107"
600107,876,"Skipjack tuna Central Western Pacific","",71,"876_600107"
600107,876,"Skipjack tuna Central Western Pacific","",77,"876_600107"
600107,930,"Skipjack tuna Central Western Pacific","",77,"930_600107"
600107,930,"Skipjack tuna Central Western Pacific","",87,"930_600107"
600107,937,"Skipjack tuna Central Western Pacific","",57,"937_600107"
600107,937,"Skipjack tuna Central Western Pacific","",71,"937_600107"
600107,943,"Skipjack tuna Central Western Pacific","",71,"943_600107"
600107,943,"Skipjack tuna Central Western Pacific","",77,"943_600107"
600107,24,"Skipjack tuna Eastern Atlantic","",34,"24_600107"
600107,24,"Skipjack tuna Eastern Atlantic","",47,"24_600107"
600107,178,"Skipjack tuna Eastern Atlantic","",34,"178_600107"
600107,178,"Skipjack tuna Eastern Atlantic","",47,"178_600107"
600107,180,"Skipjack tuna Eastern Atlantic","",34,"180_600107"
600107,180,"Skipjack tuna Eastern Atlantic","",47,"180_600107"
600107,266,"Skipjack tuna Eastern Atlantic","",34,"266_600107"
600107,266,"Skipjack tuna Eastern Atlantic","",47,"266_600107"
600107,620,"Skipjack tuna Eastern Atlantic","",27,"620_600107"
600107,620,"Skipjack tuna Eastern Atlantic","",34,"620_600107"
600107,621,"Skipjack tuna Eastern Atlantic","",27,"621_600107"
600107,621,"Skipjack tuna Eastern Atlantic","",34,"621_600107"
600107,622,"Skipjack tuna Eastern Atlantic","",27,"622_600107"
600107,622,"Skipjack tuna Eastern Atlantic","",34,"622_600107"
600107,855,"Skipjack tuna Eastern Atlantic","",34,"855_600107"
600107,855,"Skipjack tuna Eastern Atlantic","",47,"855_600107"
600107,946,"Skipjack tuna Eastern Atlantic","",34,"946_600107"
600107,946,"Skipjack tuna Eastern Atlantic","",37,"946_600107"
600107,962,"Skipjack tuna Eastern Atlantic","",27,"962_600107"
600107,962,"Skipjack tuna Eastern Atlantic","",34,"962_600107"
600107,962,"Skipjack tuna Eastern Atlantic","",37,"962_600107"
600107,356,"Skipjack tuna Indian Ocean","",51,"356_600107"
600107,356,"Skipjack tuna Indian Ocean","",57,"356_600107"
600107,462,"Skipjack tuna Indian Ocean","",51,"462_600107"
600107,462,"Skipjack tuna Indian Ocean","",57,"462_600107"
600107,895,"Skipjack tuna Indian Ocean","",51,"895_600107"
600107,895,"Skipjack tuna Indian Ocean","",57,"895_600107"
600107,938,"Skipjack tuna Indian Ocean","",57,"938_600107"
600107,938,"Skipjack tuna Indian Ocean","",71,"938_600107"
600107,954,"Skipjack tuna Indian Ocean","",47,"954_600107"
600107,954,"Skipjack tuna Indian Ocean","",51,"954_600107"
600107,60,"Skipjack tuna Western Atlantic","",21,"60_600107"
600107,60,"Skipjack tuna Western Atlantic","",31,"60_600107"
600107,76,"Skipjack tuna Western Atlantic","",31,"76_600107"
600107,76,"Skipjack tuna Western Atlantic","",41,"76_600107"
600107,254,"Skipjack tuna Western Atlantic","",31,"254_600107"
600107,254,"Skipjack tuna Western Atlantic","",41,"254_600107"
600107,851,"Skipjack tuna Western Atlantic","",21,"851_600107"
600107,851,"Skipjack tuna Western Atlantic","",31,"851_600107"
600107,970,"Skipjack tuna Western Atlantic","",34,"970_600107"
600107,970,"Skipjack tuna Western Atlantic","",41,"970_600107"
600117,848,"Pacific chub mackerel Pacific Coast","",67,"848_600117"
600117,848,"Pacific chub mackerel Pacific Coast","",77,"848_600117"
600120,852,"King mackerel Gulf of Mexico","multiple stocks in same region",31,"852_600120"
600120,852,"King mackerel Southern Atlantic Coast","multiple stocks in same region",31,"852_600120"
600126,851,"Spanish mackerel Southern Atlantic Coast","",21,"851_600126"
