pressure,rgn,redo,scaling_expression,scaling_years,tifs_2012a,tifs_2013a
cc_acid,rgn_fao_mol.tif,,,,neptune_data:model/GL-NCEAS-Halpern2008/data/masked_impacts_acid.tif,neptune_data:model/GL-NCEAS-Halpern2008/data/masked_impacts_acid.tif
cc_slr,rgn_fao_mol.tif,T,"sprintf('ifelse(v<0,0,v) / %f', max(v, na.rm=T) * 1.10)",tifs_2012a,impact_layers_2013_redo/sea_level_rise/final_products/slr_oct1992_dec2012_gcs_wgs84_normalized.tif,impact_layers_2013_redo/sea_level_rise/final_products/slr_oct1992_dec2012_gcs_wgs84_normalized.tif
cc_sst,rgn_fao_mol.tif,T,sst_abs_313,,sst_00_05_85_90i_mol.tif,sst_05_10-82_86i_mol.tif
cc_uv,rgn_fao_mol.tif,T,Score-maxAcrossYears-plus10,,impact_layers_2013_redo/uv/uv_baseline_anomaly/toms_ep_uv_anomaly_1997m01-2001m12_trans.tif,impact_layers_2013_redo/uv/uv_baseline_anomaly/omi_aura_uv_anomaly_2008m01-2012m12_trans.tif
fp_art_lb,rgn_fao_mol.tif,,score-max-plus10,,masked_impacts_artisanal.tif,masked_impacts_artisanal.tif
fp_com_hb,rgn_fao_mol.tif,,,,"masked_impacts_dem_nd_hb.tif,masked_impacts_dem_d.tif,masked_impacts_pel_hb.tif","fp_com_hb_dem_2013_rescaled.tif,fp_com_hb_dem_nd_2013_rescaled.tif,fp_com_hb_pel_2013_rescaled.tif"
fp_com_lb,rgn_fao_mol.tif,,,,"masked_impacts_dem_nd_lb.tif,masked_impacts_pel_lb.tif","fp_com_lb_dem_nd_2013_rescaled.tif,fp_com_lb_pel_2013_rescaled.tif"
hd_intertidal,rgn_offshore_5km_mol.tif,,,,impact_layers_2013_redo/coastal_population/processed_rasters/coastal_boundary_population_sum_2006_buffer_5000m_trans.tif,impact_layers_2013_redo/coastal_population/processed_rasters/coastal_boundary_population_sum_2010_buffer_5000m_trans.tif
po_chemicals,rgn_fao_mol.tif,,score-max-plus10,,"impact_layers_2013_redo/land_based/final_products/final_layers/global_plumes_pest_2003_2006_trans.tif,masked_impacts_inorganic.tif,masked_impacts_pollution.tif","impact_layers_2013_redo/land_based/final_products/final_layers/global_plumes_pest_2007_2010_trans.tif,masked_impacts_inorganic.tif,masked_impacts_pollution.tif"
po_chemicals_3nm,rgn_offshore_3nm_mol.tif,,score-max-plus10,,"impact_layers_2013_redo/land_based/final_products/final_layers/global_plumes_pest_2003_2006_trans.tif,masked_impacts_inorganic.tif,masked_impacts_pollution.tif","impact_layers_2013_redo/land_based/final_products/final_layers/global_plumes_pest_2007_2010_trans.tif,masked_impacts_inorganic.tif,masked_impacts_pollution.tif"
po_nutrients,rgn_fao_mol.tif,,,,impact_layers_2013_redo/land_based/final_products/final_layers/global_plumes_fert_2003_2006_trans.tif,impact_layers_2013_redo/land_based/final_products/final_layers/global_plumes_fert_2007_2010_trans.tif
po_nutrients_3nm,rgn_offshore_3nm_mol.tif,,,,impact_layers_2013_redo/land_based/final_products/final_layers/global_plumes_fert_2003_2006_trans.tif,impact_layers_2013_redo/land_based/final_products/final_layers/global_plumes_fert_2007_2010_trans.tif
