"rgn_id","area_km2"
1,18
2,142
3,43
4,129
5,19141
6,12575
7,29192
8,501
9,817
10,23
11,282
12,9
13,1062
14,29192
15,245871
16,775947
17,209072
18,19155
19,42
20,56796
21,51787
24,16169
25,87086
26,7800
28,1701
29,396
30,4
31,487
32,2536
33,6
34,2
35,25
36,1
37,2062
38,69
39,305
40,39050
41,109610
42,165891
43,22734
44,117707
45,37501
46,12426
47,70558
48,66937
49,23375
50,107192
51,10208
52,687
53,39401
54,27274
55,2399
56,4149
57,820
58,7535
59,6027
60,8
61,35532
62,66255
63,35308
64,25628
65,6221
66,27917
67,68815
68,325
69,18931
70,22097
71,12116
72,10866
73,13874
74,12459
75,66707
76,148755
77,6571
78,7840
79,9230
80,97577
81,9339
82,13222
84,43526
85,102
86,129
88,203
89,3972
90,341
91,365
92,73
93,7385
94,391
95,12401
96,17969
97,21787
98,3196
99,4623
100,6986
101,57989
102,102930
103,989
104,8852
105,51
106,19909
107,9
108,72
110,13460
111,1018
112,101904
113,289
114,24134
115,33836
116,9415
117,177
118,86
119,271
120,455
121,101
122,622
123,766
124,444
125,374
126,5213
127,410
129,69307
130,33154
131,34818
132,87629
133,31945
134,12029
135,379567
136,15063
137,49713
138,93291
139,100726
140,2829
141,1451
143,66608
144,370
145,632946
146,46
147,3780
148,620
149,4
150,338
151,211
152,2894
153,258
154,268
155,766
156,15
157,55
158,4
159,3
161,181
162,176543
163,921288
164,13640
166,11059
167,26013
168,18213
169,15684
171,416489
172,177292
173,27087
174,60944
175,41938
176,43619
177,22718
178,20719
179,105474
180,182111
181,50607
182,100395
183,31689
184,151242
185,11
186,4663
187,23308
188,3671
189,4748
190,11156
191,77703
192,3177
193,19015
194,17371
195,22972
196,45306
197,20868
198,32583
199,2649
200,62956
202,38558
203,230176
204,30015
205,108943
206,138586
207,107203
208,605
209,300274
210,266720
212,357
214,106848
215,3728
216,947295
218,2223671
219,237
220,40
221,81
222,111478
223,268088
224,346930
227,125
228,86
231,14308
232,4995
237,802
244,451
245,287
247,4270
248,14
249,22
250,189
