Norway,0.955,81.3,12.6,17.5,48688,4,0.977
Australia,0.938,82.0,12.0,19.6,34340,15,0.978
United States,0.937,78.7,13.3,16.8,43480,6,0.958
Netherlands,0.921,80.8,11.6,16.9,37282,8,0.945
Germany,0.920,80.6,12.2,16.4,35431,10,0.948
New Zealand,0.919,80.8,12.5,19.7,24358,26,0.978
Ireland,0.916,80.7,11.6,18.3,28671,19,0.960
Sweden,0.916,81.6,11.7,16.0,36143,6,0.940
Switzerland,0.913,82.5,11.0,15.7,40527,2,0.926
Japan,0.912,83.6,11.6,15.3,32545,11,0.942
Canada,0.911,81.1,12.3,15.1,35369,5,0.934
Korea Republic of,0.909,80.7,11.6,17.2,28231,15,0.949
Hong Kong China (SAR),0.906,83.0,10.0,15.5,45598,–6,0.907
Iceland,0.906,81.9,10.4,18.3,29176,12,0.943
Denmark,0.901,79.0,11.4,16.8,33518,4,0.924
Israel,0.900,81.9,11.9,15.7,26224,13,0.942
Belgium,0.897,80.0,10.9,16.4,33429,3,0.917
Austria,0.895,81.0,10.8,15.3,36438,–5,0.908
Singapore,0.895,81.2,10.1,14.4,52613,–15,0.880
France,0.893,81.7,10.6,16.1,30277,4,0.919
Finland,0.892,80.1,10.3,16.9,32510,2,0.912
Slovenia,0.892,79.5,11.7,16.9,23999,12,0.936
Spain,0.885,81.6,10.4,16.4,25947,8,0.919
Liechtenstein,0.883,79.8,10.3,11.9,84880,–22,0.832
Italy,0.881,82.0,10.1,16.2,26158,5,0.911
Luxembourg,0.875,80.1,10.1,13.5,48285,–20,0.858
United Kingdom,0.875,80.3,9.4,16.4,32538,–5,0.886
Czech Republic,0.873,77.8,12.3,15.3,22067,10,0.913
Greece,0.860,80.0,10.1,16.3,20511,13,0.899
Brunei Darussalam,0.855,78.1,8.6,15.0,45690,–23,0.832
Cyprus,0.848,79.8,9.8,14.9,23825,4,0.869
Malta,0.847,79.8,9.9,15.1,21184,9,0.876
Andorra,0.846,81.1,10.4,11.7,33918,–15,0.839
Estonia,0.846,75.0,12.0,15.8,17402,13,0.892
Slovakia,0.840,75.6,11.6,14.7,19696,9,0.872
Qatar,0.834,78.5,7.3,12.2,87478,–35,0.761
Hungary,0.831,74.6,11.7,15.3,16088,13,0.874
Barbados,0.825,77.0,9.3,16.3,17308,10,0.859
Poland,0.821,76.3,10.0,15.2,17776,7,0.851
Chile,0.819,79.3,9.7,14.7,14987,13,0.863
Lithuania,0.818,72.5,10.9,15.7,16858,7,0.850
United Arab Emirates,0.818,76.7,8.9,12.0,42716,–31,0.783
Portugal,0.816,79.7,7.7,16.0,19907,0,0.835
Latvia,0.814,73.6,11.5,14.8,14724,10,0.856
Argentina,0.811,76.1,9.3,16.1,15347,7,0.848
Seychelles,0.806,73.8,9.4,14.3,22615,–9,0.808
Croatia,0.805,76.8,9.8,14.1,15419,4,0.837
