Bahrain,0.796,75.2,9.4,13.4,19154,–3,0.806
Bahamas,0.794,75.9,8.5,12.6,27401,–21,0.777
Belarus,0.793,70.6,11.5,14.7,13385,11,0.830
Uruguay,0.792,77.2,8.5,15.5,13333,11,0.829
Montenegro,0.791,74.8,10.5,15.0,10471,24,0.850
Palau,0.791,72.1,12.2,13.7,11463,18,0.840
Kuwait,0.790,74.7,6.1,14.2,52793,–51,0.730
Russian Federation,0.788,69.1,11.7,14.3,14461,0,0.816
Romania,0.786,74.2,10.4,14.5,11011,16,0.836
Bulgaria,0.782,73.6,10.6,14.0,11474,12,0.826
Saudi Arabia,0.782,74.1,7.8,14.3,22616,–21,0.774
Cuba,0.780,79.3,10.2,16.2,5539,44,0.894
Panama,0.780,76.3,9.4,13.2,13519,1,0.810
Mexico,0.775,77.1,8.5,13.7,12947,4,0.805
Costa Rica,0.773,79.4,8.4,13.7,10863,12,0.816
Grenada,0.770,76.1,8.6,15.8,9257,21,0.827
Libya,0.769,75.0,7.3,16.2,13765,–8,0.791
Malaysia,0.769,74.5,9.5,12.6,13676,–7,0.791
Serbia,0.769,74.7,10.2,13.6,9533,16,0.823
Antigua and Barbuda,0.760,72.8,8.9,13.3,13883,–12,0.776
Trinidad and Tobago,0.760,70.3,9.2,11.9,21941,–28,0.743
Kazakhstan,0.754,67.4,10.4,15.3,10451,8,0.791
Albania,0.749,77.1,10.4,11.4,7822,21,0.807
Venezuela Bolivarian Republic of,0.748,74.6,7.6,14.4,11475,–2,0.774
Dominica,0.745,77.6,7.7,12.7,10977,–1,0.771
Georgia,0.745,73.9,12.1,13.2,5005,37,0.845
Lebanon,0.745,72.8,7.9,13.9,12364,–5,0.762
Saint Kitts and Nevis,0.745,73.3,8.4,12.9,12460,–5,0.763
Iran Islamic Republic of,0.742,73.2,7.8,14.4,10695,–1,0.769
Peru,0.741,74.2,8.7,13.2,9306,6,0.780
The former Yugoslav Republic of Macedonia,0.740,75.0,8.2,13.4,9377,2,0.777
Ukraine,0.740,68.8,11.3,14.8,6428,22,0.813
Mauritius,0.737,73.5,7.2,13.6,13300,–17,0.745
Bosnia and Herzegovina,0.735,75.8,8.3,13.4,7713,13,0.787
Azerbaijan,0.734,70.9,11.2,11.7,8153,5,0.780
Saint Vincent and the Grenadines,0.733,72.5,8.6,13.3,9367,–1,0.767
Oman,0.731,73.2,5.5,13.5,24092,–51,0.694
Brazil,0.730,73.8,7.2,14.2,10152,–8,0.755
Jamaica,0.730,73.3,9.6,13.1,6701,14,0.792
Armenia,0.729,74.4,10.8,12.2,5540,16,0.808
Saint Lucia,0.725,74.8,8.3,12.7,7971,1,0.768
Ecuador,0.724,75.8,7.6,13.7,7471,7,0.772
Turkey,0.722,74.2,6.5,12.9,13710,–32,0.720
Colombia,0.719,73.9,7.3,13.6,8711,–6,0.751
Sri Lanka,0.715,75.1,9.3,12.7,5170,18,0.792
Algeria,0.713,73.4,7.6,13.6,7418,4,0.755
Tunisia,0.712,74.7,6.5,14.5,8103,–6,0.746
Tonga,0.710,72.5,10.3,13.7,4153,26,0.807
Belize,0.702,76.3,8.0,12.5,5327,8,0.767
Dominican Republic,0.702,73.6,7.2,12.3,8506,–11,0.726
Fiji,0.702,69.4,10.7,13.9,4087,24,0.794
Samoa,0.702,72.7,10.3,13.0,3928,28,0.800
Jordan,0.700,73.5,8.6,12.7,5272,8,0.766
China,0.699,73.7,7.5,11.7,7945,–11,0.728
Turkmenistan,0.698,65.2,9.9,12.6,7782,–10,0.727
Thailand,0.690,74.3,6.6,12.3,7722,–10,0.715
Maldives,0.688,77.1,5.8,12.5,7478,–9,0.715
Suriname,0.684,70.8,7.2,12.4,7327,–7,0.710
Gabon,0.683,63.1,7.5,13.0,12521,–40,0.668
El Salvador,0.680,72.4,7.5,12.0,5915,–5,0.723
Bolivia Plurinational State of,0.675,66.9,9.2,13.5,4444,7,0.740
Mongolia,0.675,68.8,8.3,14.3,4245,10,0.746
Palestine State of,0.670,73.0,8.0,13.5,3359,20,0.761
Paraguay,0.669,72.7,7.7,12.1,4497,4,0.730
Egypt,0.662,73.5,6.4,12.1,5401,–6,0.702
Moldova Republic of,0.660,69.6,9.7,11.8,3319,19,0.747
Philippines,0.654,69.0,8.9,11.7,3752,11,0.724
Uzbekistan,0.654,68.6,10.0,11.6,3201,19,0.740
Syrian Arab Republic,0.648,76.0,5.7,11.7,4674,–2,0.692
Micronesia Federated States of,0.645,69.2,8.8,11.4,3352,14,0.719
Guyana,0.636,70.2,8.5,10.3,3387,11,0.703
Botswana,0.634,53.0,8.9,11.8,13102,–55,0.596
Honduras,0.632,73.4,6.5,11.4,3426,8,0.695
Indonesia,0.629,69.8,5.8,12.9,4154,–3,0.672
Kiribati,0.629,68.4,7.8,12.0,3079,13,0.701
South Africa,0.629,53.4,8.5,13.1,9594,–42,0.608
Vanuatu,0.626,71.3,6.7,10.6,3960,–1,0.672
Kyrgyzstan,0.622,68.0,9.3,12.6,2009,24,0.738
Tajikistan,0.622,67.8,9.8,11.5,2119,19,0.731
Viet Nam,0.617,75.4,5.5,11.9,2970,9,0.686
Namibia,0.608,62.6,6.2,11.3,5973,–27,0.611
Nicaragua,0.599,74.3,5.8,10.8,2551,10,0.671
Morocco,0.591,72.4,4.4,10.4,4384,–13,0.608
Iraq,0.590,69.6,5.6,10.0,3557,–4,0.623
Cape Verde,0.586,74.3,3.5,12.7,3609,–6,0.617
Guatemala,0.581,71.4,4.1,10.7,4235,–14,0.596
Timor-Leste,0.576,62.9,4.4,11.7,5446,–29,0.569
Ghana,0.558,64.6,7.0,11.4,1684,22,0.646
Equatorial Guinea,0.554,51.4,5.4,7.9,21715,–97,0.463
India,0.554,65.8,4.4,10.7,3285,–3,0.575
Cambodia,0.543,63.6,5.8,10.5,2095,9,0.597
Lao People’s Democratic Republic,0.543,67.8,4.6,10.1,2435,2,0.584
Bhutan,0.538,67.6,2.3,12.4,5246,–31,0.516
Swaziland,0.536,48.9,7.1,10.7,5104,–30,0.515
Congo,0.534,57.8,5.9,10.1,2934,–5,0.553
Solomon Islands,0.530,68.2,4.5,9.3,2172,1,0.572
Sao Tome and Principe,0.525,64.9,4.7,10.8,1864,7,0.579
Kenya,0.519,57.7,7.0,11.1,1541,15,0.588
Bangladesh,0.515,69.2,4.8,8.1,1785,9,0.567
Pakistan,0.515,65.7,4.9,7.3,2566,–9,0.534
Angola,0.508,51.5,4.7,10.2,4812,–35,0.479
Myanmar,0.498,65.7,3.9,9.4,1817,5,0.537
Cameroon,0.495,52.1,5.9,10.9,2114,–4,0.520
Madagascar,0.483,66.9,5.2,10.4,828,28,0.601
Tanzania United Republic of,0.476,58.9,5.1,9.1,1383,10,0.527
Nigeria,0.471,52.3,5.2,9.0,2102,–6,0.482
Senegal,0.470,59.6,4.5,8.2,1653,4,0.501
Mauritania,0.467,58.9,3.7,8.1,2174,–12,0.473
Papua New Guinea,0.466,63.1,3.9,5.8,2386,–15,0.464
Nepal,0.463,69.1,3.2,8.9,1137,11,0.526
Lesotho,0.461,48.7,5.9,9.6,1879,–8,0.476
