iucn_sid,map_iucn_sid,subpop_sid,kingdom,phylum,class,order,family,sciname,map_sciname,alt_sciname,population,subpop,habitat,suitability,presence,spp_group,spatial_source
22679981.0,22679981.0,NA,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Chloephaga poliocephala,Chloephaga poliocephala,NA,NA,NA,Marine Coastal/Supratidal - Coastal Freshwater Lakes,Suitable,1,BOTW_marine,iucn
22728310.0,22728310.0,NA,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Circus maillardi,Circus maillardi,NA,NA,NA,Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes,Marginal,1,BOTW_marine,iucn
22728303.0,22728303.0,NA,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas chlorotis,Anas chlorotis,NA,NA,NA,"Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc",Marginal,4,BOTW_marine,iucn
22728303.0,22728303.0,NA,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas chlorotis,Anas chlorotis,NA,NA,NA,"Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc",Marginal,1,BOTW_marine,iucn
22680395.0,22680395.0,NA,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Aythya novaeseelandiae,Aythya novaeseelandiae,NA,NA,NA,Marine Coastal/Supratidal - Coastal Freshwater Lakes,Suitable,1,BOTW_marine,iucn
22724271.0,22724271.0,NA,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ICTERIDAE,Curaeus curaeus,Curaeus curaeus,NA,NA,NA,Marine Intertidal - Rocky Shoreline,Marginal,1,BOTW_marine,iucn
22724271.0,22724271.0,NA,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ICTERIDAE,Curaeus curaeus,Curaeus curaeus,NA,NA,NA,Marine Intertidal - Tidepools,Marginal,1,BOTW_marine,iucn
22683658.0,22683658.0,NA,ANIMALIA,CHORDATA,AVES,CORACIIFORMES,ALCEDINIDAE,Chloroceryle aenea,Chloroceryle aenea,NA,NA,NA,Marine Intertidal - Rocky Shoreline,Marginal,1,BOTW_marine,iucn
22683658.0,22683658.0,NA,ANIMALIA,CHORDATA,AVES,CORACIIFORMES,ALCEDINIDAE,Chloroceryle aenea,Chloroceryle aenea,NA,NA,NA,"Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc",Marginal,1,BOTW_marine,iucn
22683658.0,22683658.0,NA,ANIMALIA,CHORDATA,AVES,CORACIIFORMES,ALCEDINIDAE,Chloroceryle aenea,Chloroceryle aenea,NA,NA,NA,Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches,Marginal,1,BOTW_marine,iucn
22733821.0,22733821.0,NA,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,HIRUNDINIDAE,Tachycineta albilinea,Tachycineta albilinea,NA,NA,NA,Marine Intertidal - Rocky Shoreline,Marginal,1,BOTW_marine,iucn
22733821.0,22733821.0,NA,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,HIRUNDINIDAE,Tachycineta albilinea,Tachycineta albilinea,NA,NA,NA,"Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc",Marginal,1,BOTW_marine,iucn
22733821.0,22733821.0,NA,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,HIRUNDINIDAE,Tachycineta albilinea,Tachycineta albilinea,NA,NA,NA,Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches,Marginal,1,BOTW_marine,iucn
22733821.0,22733821.0,NA,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,HIRUNDINIDAE,Tachycineta albilinea,Tachycineta albilinea,NA,NA,NA,Marine Intertidal - Tidepools,Marginal,1,BOTW_marine,iucn
22696734.0,22696734.0,NA,ANIMALIA,CHORDATA,AVES,SULIFORMES,PHALACROCORACIDAE,Microcarbo pygmaeus,Microcarbo pygmaeus,NA,NA,NA,Marine Coastal/Supratidal - Coastal Freshwater Lakes,Suitable,1,BOTW_marine,iucn
199610.0,199610.0,NA,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Acanthodactylus felicis,Acanthodactylus felicis,Acanthodactylus felicis,NA,NA,Marine Coastal/Supratidal - Coastal Sand Dunes,Marginal,1,REPTILES_marine,iucn
22702487.0,22702487.0,NA,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FURNARIIDAE,Asthenes pyrrholeuca,Asthenes pyrrholeuca,NA,NA,NA,Marine Coastal/Supratidal - Coastal Sand Dunes,Marginal,1,BOTW_marine,iucn
198158.0,NA,NA,ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,PALAEMONIDAE,Macrobrachium veliense,NA,NA,NA,NA,Marine Coastal/Supratidal - Coastal Freshwater Lakes,Suitable,NA,NA,NA
197851.0,NA,NA,ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,ATYIDAE,Dugastella valentina,NA,NA,NA,NA,Marine Coastal/Supratidal - Coastal Freshwater Lakes,Suitable,NA,NA,NA
22692418.0,22692418.0,NA,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Hypotaenidia torquata,Hypotaenidia torquata,NA,NA,NA,Marine Coastal/Supratidal - Coastal Freshwater Lakes,Suitable,1,BOTW_marine,iucn
22694021.0,22694021.0,NA,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,CHARADRIIDAE,Vanellus albiceps,Vanellus albiceps,NA,NA,NA,Marine Coastal/Supratidal - Coastal Freshwater Lakes,Suitable,1,BOTW_marine,iucn
16084409.0,NA,NA,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Sphingonotus picteti,NA,NA,NA,NA,Marine Coastal/Supratidal - Coastal Sand Dunes,Marginal,NA,NA,NA
22697641.0,22697641.0,NA,ANIMALIA,CHORDATA,AVES,CATHARTIFORMES,CATHARTIDAE,Vultur gryphus,Vultur gryphus,NA,NA,NA,Marine Intertidal - Rocky Shoreline,Marginal,1,BOTW_marine,iucn
22697641.0,22697641.0,NA,ANIMALIA,CHORDATA,AVES,CATHARTIFORMES,CATHARTIDAE,Vultur gryphus,Vultur gryphus,NA,NA,NA,"Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc",Marginal,1,BOTW_marine,iucn
22697641.0,22697641.0,NA,ANIMALIA,CHORDATA,AVES,CATHARTIFORMES,CATHARTIDAE,Vultur gryphus,Vultur gryphus,NA,NA,NA,Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches,Marginal,1,BOTW_marine,iucn
196403.0,NA,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Stiphodon rutilaureus,NA,NA,NA,NA,Marine Neritic - Estuaries,Marginal,NA,NA,NA
198134.0,NA,NA,ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,ATYIDAE,Caridina lanceifrons,NA,NA,NA,NA,Marine Coastal/Supratidal - Coastal Freshwater Lakes,Suitable,NA,NA,NA
198067.0,NA,NA,ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,ATYIDAE,Caridina macrophora,NA,NA,NA,NA,Marine Coastal/Supratidal - Coastal Freshwater Lakes,Suitable,NA,NA,NA
197038.0,NA,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,MUGILIFORMES,MUGILIDAE,Liza abu,NA,NA,NA,NA,Marine Intertidal - Salt Marshes (Emergent Grasses),Marginal,NA,NA,NA
197038.0,NA,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,MUGILIFORMES,MUGILIDAE,Liza abu,NA,NA,NA,NA,Marine Intertidal - Mangrove Submerged Roots,Marginal,NA,NA,NA
197038.0,NA,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,MUGILIFORMES,MUGILIDAE,Liza abu,NA,NA,NA,NA,Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes,Marginal,NA,NA,NA
197038.0,NA,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,MUGILIFORMES,MUGILIDAE,Liza abu,NA,NA,NA,NA,Marine Coastal/Supratidal - Coastal Freshwater Lakes,Suitable,NA,NA,NA
22717428.0,22717428.0,NA,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ALAUDIDAE,Alauda razae,Alauda razae,NA,NA,NA,Marine Intertidal - Tidepools,Marginal,1,BOTW_marine,iucn
